Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.29,10.40,10.27,10.29,73000,8.100629
2013-03-01,10.33,10.51,10.07,10.35,34100,8.147863
2013-02-01,10.58,10.70,10.19,10.28,37600,8.043288
2013-01-02,10.25,10.79,10.25,10.64,44600,8.273828
2012-12-03,10.00,10.43,9.97,10.20,44000,7.883967
2012-11-01,10.10,10.29,9.13,10.10,56100,7.758307
2012-10-01,10.80,10.99,10.08,10.10,42200,7.706096
2012-09-04,10.86,11.02,10.46,10.82,41000,8.205313
2012-08-01,10.57,10.95,10.46,10.90,40400,8.216951
2012-07-02,10.25,10.70,10.08,10.59,54200,7.932994
2012-06-01,9.92,10.27,9.69,10.25,37100,7.628095
2012-05-01,10.13,10.39,9.85,9.98,39900,7.370607
2012-04-02,10.07,10.16,9.75,10.15,35500,7.441309
2012-03-01,10.45,10.50,10.07,10.09,33600,7.342336
2012-02-01,10.51,10.74,10.32,10.49,41700,7.578885
2012-01-03,10.21,10.57,10.10,10.55,29900,7.567425
2011-12-01,10.00,10.79,9.85,10.23,34800,7.283989
2011-11-01,9.87,10.25,9.61,9.96,40000,7.011534
2011-10-03,9.07,9.92,8.35,9.88,44500,6.903312
2011-09-01,9.71,9.77,9.06,9.21,30700,6.38254
2011-08-01,10.14,10.45,8.90,9.65,42100,6.635269
2011-07-01,10.76,10.85,9.95,10.06,40400,6.86446
2011-06-01,11.37,11.51,10.08,10.79,51600,7.310433
2011-05-02,10.18,11.40,10.18,11.33,39400,7.622184
2011-04-01,10.19,10.33,9.98,10.21,51900,6.821012
2011-03-01,10.15,10.30,9.95,10.14,36700,6.724143
2011-02-01,9.87,10.28,9.78,10.15,38300,6.68099
2011-01-03,9.43,9.85,9.36,9.84,47400,6.432403
2010-12-01,10.01,10.07,8.94,9.39,54600,6.094528
2010-11-01,10.11,10.30,9.55,10.02,41600,6.289041
2010-10-01,10.18,10.42,9.90,10.10,53400,6.295833
2010-09-01,9.56,10.17,9.54,10.11,42400,6.258258
2010-08-02,9.48,9.90,9.42,9.58,45500,5.88795
2010-07-01,8.91,9.50,8.80,9.47,39900,5.778854
2010-06-01,8.47,9.00,8.34,8.90,35500,5.390618
2010-05-03,9.45,9.45,7.76,8.54,73800,5.132555
2010-04-01,9.19,9.65,9.10,9.38,38900,5.59541
2010-03-01,8.75,9.17,8.71,9.11,37600,5.395449
2010-02-01,8.64,8.75,8.11,8.75,44800,5.143641
2010-01-04,8.47,8.82,8.47,8.67,39600,5.057362
2009-12-01,8.18,8.64,8.18,8.47,37100,4.904287
2009-11-02,8.26,8.38,8.10,8.18,37000,4.669716
2009-10-01,8.22,9.55,8.07,8.25,44000,4.675341
2009-09-01,7.51,8.27,7.40,8.21,65700,4.619907
2009-08-03,3.76,7.80,3.71,7.45,52700,4.160682
2009-07-01,3.51,3.80,3.40,3.79,29300,4.200082
2009-06-01,3.42,3.67,3.35,3.52,38600,3.867903
2009-05-01,3.20,3.47,3.07,3.39,41600,3.693033
2009-04-01,2.94,3.28,2.90,3.21,31300,3.464262
2009-03-02,2.88,3.14,2.50,2.94,32100,3.136702
2009-02-02,3.20,3.40,2.59,2.93,42500,3.081376
2009-01-02,2.90,4.03,2.76,3.20,44900,3.323258
2008-12-01,2.52,2.99,2.12,2.92,45400,2.991782
2008-11-03,2.91,3.07,2.10,2.52,49600,2.521336
2008-10-01,3.33,3.46,2.01,2.86,49100,2.81964
2008-09-02,4.29,4.29,2.56,3.34,56000,3.244169
2008-08-01,4.30,4.35,4.10,4.28,28000,4.112884
2008-07-01,4.60,4.97,4.11,4.30,34600,4.091743
2008-06-02,5.02,5.04,4.60,4.60,21000,4.334657
2008-05-01,4.86,5.19,4.85,5.03,26200,4.698637
2008-04-01,4.58,4.92,4.50,4.87,35600,4.511492
2008-03-03,4.95,5.28,3.95,4.57,31300,4.196143
2008-02-01,5.24,5.31,4.76,4.91,29200,4.466804
2008-01-02,4.85,5.34,4.80,5.28,40300,4.763139
2007-12-03,4.99,5.03,4.70,4.80,54300,4.292986
2007-11-01,5.23,5.35,4.59,4.91,42900,4.352723
2007-10-01,5.53,5.63,5.22,5.23,26800,4.596404
2007-09-04,5.50,5.69,5.12,5.49,24100,4.786446
2007-08-01,5.71,5.94,4.53,5.52,39800,4.774652
2007-07-02,6.04,6.09,5.40,5.72,42400,4.906181
2007-06-01,6.32,6.34,5.89,6.04,24100,5.142725
2007-05-01,6.31,6.40,6.21,6.32,21400,5.343367
2007-04-02,6.31,6.39,6.27,6.32,27000,5.306632
2007-03-01,6.30,6.38,6.08,6.31,24400,5.261465
2007-02-01,6.20,6.38,6.12,6.36,35600,5.265642
2007-01-03,5.93,6.25,5.92,6.21,41000,5.105601
2006-12-01,6.12,6.17,5.87,6.01,53700,4.905411
2006-11-01,6.32,6.32,6.00,6.12,36300,4.959162
2006-10-02,6.40,6.45,5.92,6.30,39800,5.068908
2006-09-01,6.70,6.94,6.21,6.42,30300,5.128795
2006-08-01,6.54,6.78,6.46,6.71,23700,5.323359
2006-07-03,7.02,7.10,6.12,6.56,39200,5.166449
2006-06-01,7.11,7.41,6.93,7.09,24200,5.544387
2006-05-01,7.06,7.25,6.98,7.13,20900,5.531875
2006-04-03,7.38,7.41,6.83,7.06,29200,5.434116
2006-03-01,7.67,7.83,6.73,7.38,39600,5.636118
2006-02-01,7.72,7.84,7.65,7.74,23800,5.864559
2006-01-03,7.43,7.80,7.43,7.72,28400,5.807193
2005-12-01,7.67,7.79,7.43,7.47,20800,5.619136
2005-11-01,7.57,7.75,7.42,7.67,24800,5.684701
2005-10-03,7.55,7.73,7.35,7.51,28900,5.525477
2005-09-01,7.33,7.55,7.32,7.45,23500,5.440459
2005-08-01,7.40,7.44,7.30,7.33,24900,5.313072
2005-07-01,7.30,7.44,7.28,7.35,25200,5.28736
2005-06-01,7.10,7.47,7.07,7.30,29200,5.211865
2005-05-02,6.98,7.18,6.90,7.08,26500,5.016748
2005-04-01,7.00,7.07,6.66,6.97,22200,4.899685
2005-03-01,7.13,7.21,6.20,7.00,32400,4.883249
2005-02-01,7.11,7.26,7.01,7.16,29000,4.958048
2005-01-03,7.05,7.20,6.70,7.13,33600,4.901131
2004-12-01,7.47,7.49,7.03,7.04,33000,4.839265
2004-11-01,7.40,7.52,7.22,7.39,32100,5.005895
2004-10-01,7.21,7.50,7.12,7.40,29500,4.977104
2004-09-01,7.07,7.32,7.03,7.19,22700,4.801038
2004-08-02,6.74,7.11,6.73,7.07,27500,4.686303
2004-07-01,6.45,6.84,6.37,6.84,21800,4.499521
2004-06-01,5.81,6.69,5.76,6.48,26000,4.228883
2004-05-03,6.18,6.36,5.60,5.76,37600,3.727829
2004-04-01,6.92,7.05,5.95,6.21,35700,3.983084
2004-03-01,7.20,7.38,6.70,6.89,30400,4.383422
2004-02-02,7.42,7.72,7.13,7.18,31900,4.534801
2004-01-02,7.45,7.64,7.21,7.46,27400,4.678614
2003-12-01,7.20,7.53,7.06,7.47,27900,4.684886
2003-11-03,6.99,7.45,6.82,7.17,23500,4.432194
2003-10-01,6.50,6.98,6.40,6.98,20500,4.28258
2003-09-02,6.28,6.80,6.20,6.44,19900,3.919772
2003-08-01,6.39,6.39,5.81,6.20,25000,3.742047
2003-07-01,6.60,6.75,6.22,6.39,28100,3.824329
2003-06-02,6.73,6.82,6.54,6.65,26500,3.948023
2003-05-01,6.49,6.70,6.25,6.70,32200,3.9461
2003-04-01,6.79,6.98,6.42,6.44,27600,3.761801
2003-03-03,6.38,6.81,6.18,6.75,21600,3.912684
2003-02-03,6.04,6.39,6.00,6.34,22000,3.644543
2003-01-02,5.39,6.17,5.39,5.98,25400,3.408164
2002-12-02,5.40,5.62,5.21,5.36,26100,3.028267
2002-11-01,5.16,5.40,4.95,5.40,25300,3.02136
2002-10-01,5.06,5.30,4.48,5.06,18300,2.802436
2002-09-03,5.58,5.89,4.96,5.16,17200,2.82633
2002-08-01,5.27,5.74,4.71,5.55,26900,3.010386
2002-07-01,5.98,6.35,4.82,5.30,31500,2.844002
