Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.51,10.57,10.13,10.48,568000,9.727249
2013-03-01,11.19,11.50,10.48,10.53,309800,9.773659
2013-02-01,10.87,11.74,10.43,11.27,391900,10.460506
2013-01-02,10.82,11.28,10.21,10.78,373400,10.005701
2012-12-03,10.97,11.63,10.43,10.82,304600,10.042829
2012-11-01,9.79,11.19,9.68,10.85,319600,10.070674
2012-10-01,11.46,12.13,9.75,9.80,264400,9.096093
2012-09-04,11.18,12.76,11.07,11.38,363800,10.562606
2012-08-01,9.51,11.73,9.00,11.16,383400,10.358407
2012-07-02,9.88,10.40,8.80,9.47,377900,8.789796
2012-06-01,8.10,9.84,7.92,9.83,570300,9.123938
2012-05-01,9.62,10.87,7.75,8.27,825300,7.675989
2012-04-02,8.63,10.69,7.60,9.64,1004000,8.947585
2012-03-01,10.32,10.41,8.63,8.64,818000,8.019412
2012-02-01,12.38,13.62,10.26,10.29,790800,9.550898
2012-01-03,11.80,13.46,10.07,12.27,922800,11.38868
2011-12-01,12.37,13.12,10.70,11.77,695400,10.924593
2011-11-01,11.54,12.40,10.48,12.40,916500,11.509341
2011-10-03,8.60,11.65,7.67,11.65,1652700,10.813211
2011-09-01,12.98,13.26,8.62,8.62,920200,8.000849
2011-08-01,14.06,15.06,10.88,12.94,1954800,12.010554
2011-07-01,21.459999,23.690001,17.91,18.84,1060200,17.486774
2011-06-01,24.68,25.280001,20.530001,21.469999,927400,19.927868
2011-05-02,25.790001,26.15,23.26,24.540001,837100,22.777359
2011-04-01,24.139999,28.99,22.59,25.219999,1326000,23.408516
2011-03-01,25.16,26.27,22.09,23.879999,724700,22.164764
2011-02-01,18.82,25.790001,18.82,24.92,1345500,23.130064
2011-01-03,18.58,20.969999,17.85,18.709999,557600,17.36611
2010-12-01,16.450001,19.59,16.389999,18.370001,453800,17.050533
2010-11-01,13.83,16.40,13.11,16.139999,591600,14.980707
2010-10-01,13.15,14.31,12.52,13.72,304600,12.734529
2010-09-01,11.98,13.30,11.58,13.02,323400,12.084809
2010-08-02,13.48,13.63,11.52,11.75,379200,10.90603
2010-07-01,12.70,13.75,11.50,13.30,292800,12.344697
2010-06-01,15.43,16.15,12.75,12.84,326100,11.917738
2010-05-03,17.889999,18.700001,13.87,15.51,387100,14.395959
2010-04-01,18.299999,18.83,16.60,17.84,315300,16.558601
2010-03-01,17.370001,19.76,16.91,18.049999,261000,16.753517
2010-02-01,16.92,19.540001,16.01,17.42,365400,16.168768
2010-01-04,18.790001,19.08,16.67,16.91,397800,15.6954
2009-12-01,15.08,20.00,14.83,18.459999,305700,17.134068
2009-11-02,14.81,15.86,13.80,14.86,332500,13.792646
2009-10-01,16.110001,16.73,14.35,14.70,337800,13.644138
2009-09-01,14.37,17.27,13.95,16.23,371400,15.064242
2009-08-03,13.97,16.280001,13.08,14.28,311200,13.254306
2009-07-01,12.46,14.94,11.83,14.04,291600,13.031545
2009-06-01,13.14,13.55,10.70,12.37,532900,11.481496
2009-05-01,12.93,17.83,11.91,13.13,725700,12.186908
2009-04-01,14.74,16.42,12.81,13.02,637300,12.084809
2009-03-02,14.39,15.85,12.25,14.95,427900,13.876182
2009-02-02,13.17,18.57,13.13,14.39,609000,13.356405
2009-01-02,13.12,14.52,11.51,13.57,355700,12.595304
2008-12-01,10.40,13.13,9.67,13.02,423600,12.084809
2008-11-03,14.89,15.15,8.12,10.73,584200,9.959292
2008-10-01,27.49,28.299999,12.96,14.49,525700,13.449223
2008-09-02,31.27,32.450001,25.799999,27.57,405500,25.589722
2008-08-01,27.809999,33.25,27.629999,30.93,452700,28.708382
2008-07-01,28.48,32.299999,26.43,26.969999,393700,25.032818
2008-06-02,27.889999,32.34,27.110001,28.76,494300,26.694248
2008-05-01,23.74,28.74,23.74,27.59,351800,25.608286
2008-04-01,21.889999,24.059999,21.34,23.73,231400,22.025537
2008-03-03,21.00,23.219999,20.25,21.870001,419800,20.299137
2008-02-01,27.530001,28.00,21.040001,21.09,576100,19.575163
2008-01-02,25.18,28.74,22.84,27.540001,608000,25.561876
2007-12-03,24.67,26.02,21.200001,24.98,578100,23.185753
2007-11-01,21.15,25.84,19.790001,24.57,563600,22.805202
2007-10-01,17.860001,21.25,17.35,21.24,304400,19.714388
2007-09-04,19.790001,20.049999,17.35,17.91,347900,16.623573
2007-08-01,21.190001,21.530001,18.25,19.82,784700,18.396383
2007-07-02,30.969999,31.799999,26.459999,26.780001,543100,19.163055
2007-06-01,32.00,33.00,30.559999,30.719999,363700,21.982414
2007-05-01,34.709999,35.099998,31.51,32.00,811000,22.898348
2007-04-02,32.880001,36.669998,32.779999,34.919998,437100,24.987822
2007-03-01,32.200001,34.290001,31.209999,32.779999,470400,23.456493
2007-02-01,28.809999,34.439999,28.75,32.889999,797200,23.535208
2007-01-03,25.26,30.00,24.459999,28.700001,754700,20.536957
2006-12-01,25.809999,27.17,24.950001,25.25,366900,18.068228
2006-11-01,27.10,27.26,25.110001,25.719999,485100,18.404547
2006-10-02,29.84,29.99,26.799999,27.00,470900,19.32048
2006-09-01,31.139999,32.07,29.58,29.73,461500,21.273996
2006-08-01,27.00,32.00,27.00,31.139999,593000,22.282955
2006-07-03,26.00,27.27,24.91,26.43,366900,18.912605
2006-06-01,25.35,26.450001,23.780001,26.00,696100,18.604908
2006-05-01,24.450001,27.40,22.940001,25.360001,1018700,18.14694
2006-04-03,25.379999,25.60,22.76,24.26,646600,17.35981
2006-03-01,21.77,25.74,21.48,25.15,674700,17.99667
2006-02-01,22.90,23.700001,20.82,21.620001,681400,15.470696
2006-01-03,26.00,29.50,19.700001,22.90,1418600,16.386629
2005-12-01,27.83,28.17,24.74,25.76,434100,18.43317
2005-11-01,28.049999,28.60,25.860001,27.73,575200,19.84285
2005-10-03,29.700001,33.259998,27.77,28.00,457300,20.036055
2005-09-01,30.57,31.559999,28.559999,29.799999,327200,21.324085
2005-08-01,36.75,38.02,29.969999,30.60,803800,21.896545
2005-07-01,39.610001,42.110001,36.299999,36.740002,439800,26.290167
2005-06-01,38.799999,42.02,38.209999,39.610001,432900,28.343863
2005-05-02,33.599998,39.400002,33.209999,38.580002,580200,27.606821
2005-04-01,35.099998,35.970001,30.15,32.900002,757300,23.542364
2005-03-01,32.450001,35.32,31.82,35.099998,452500,25.116625
2005-02-01,27.389999,33.099998,27.379999,32.700001,501200,23.39925
2005-01-03,29.90,29.950001,26.75,27.389999,249500,19.599554
2004-12-01,27.299999,30.26,26.50,29.950001,293500,21.431423
2004-11-01,24.10,27.360001,22.73,27.299999,315900,19.535152
2004-10-01,24.40,25.77,23.25,24.10,306700,17.245319
