Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.11,9.17,8.83,8.89,10080400,8.89
2013-03-01,8.56,9.65,8.56,9.09,4732500,9.09
2013-02-01,9.23,9.38,8.61,8.90,5726000,8.90
2013-01-01,8.85,9.74,8.85,9.20,6251900,9.20
2012-12-03,8.62,9.37,8.03,8.85,5620800,8.85
2012-11-01,9.23,9.47,8.40,8.58,5207200,8.58
2012-10-01,9.37,9.97,8.97,9.24,4798400,9.24
2012-09-03,8.94,9.92,8.76,9.36,5408900,9.36
2012-08-01,8.39,9.35,7.50,8.94,6311500,8.94
2012-07-02,8.13,9.56,7.90,8.35,6999400,8.2413
2012-06-01,7.69,8.35,6.92,8.21,8084800,8.1031
2012-05-01,8.84,9.28,7.80,8.11,7282300,8.0044
2012-04-02,9.92,10.15,8.45,8.85,7845600,8.6224
2012-03-01,9.78,10.69,8.82,9.96,10024400,9.7038
2012-02-01,9.12,10.90,8.58,9.69,12223100,9.4408
2012-01-02,9.50,10.41,8.68,9.07,9554000,8.7223
2011-12-01,8.92,9.95,8.01,9.50,7502900,9.1358
2011-11-01,6.48,9.08,6.25,8.88,10824500,8.5396
2011-10-03,5.14,7.32,3.59,6.91,7789000,6.5387
2011-09-01,6.03,6.64,5.18,5.21,4374100,4.93
2011-08-01,7.01,7.03,5.02,6.00,4081900,5.6776
2011-07-01,5.69,6.92,5.61,6.79,5556600,6.2978
2011-06-01,6.78,6.861,4.90,5.77,4376100,5.3518
2011-05-02,7.13,7.13,5.75,6.85,3496000,6.3535
2011-04-01,6.73,7.44,5.84,7.02,4601200,6.4007
2011-03-01,7.65,7.70,5.51,6.70,5175600,6.1089
2011-02-01,6.40,7.60,5.86,7.57,4144600,6.9022
2011-01-03,6.82,6.85,5.44,6.35,4315400,5.6888
2010-12-01,5.09,6.95,5.02,6.60,5454100,5.9128
2010-11-01,4.19,5.07,4.04,5.00,2948000,4.4794
2010-10-01,3.46,4.55,3.37,4.13,3112900,3.6068
2010-09-01,2.57,3.51,2.51,3.39,2219600,2.9606
2010-08-02,3.19,3.63,2.429,2.46,2941500,2.1484
2010-07-01,3.19,3.45,2.90,3.35,1249000,2.9256
2010-06-01,3.18,3.88,3.01,3.19,2207200,2.7859
2010-05-03,4.08,4.34,2.47,3.24,2468500,2.8296
2010-04-01,3.50,4.06,3.25,3.98,2064100,3.4758
2010-03-01,2.40,3.45,2.35,3.41,1754400,2.978
2010-02-01,2.37,2.669,2.20,2.39,956600,2.0872
2010-01-04,2.23,2.94,2.19,2.36,1830700,2.061
2009-12-01,2.35,2.53,2.03,2.22,1374500,1.9388
2009-11-02,2.35,2.74,2.26,2.38,1279500,2.0785
2009-10-01,2.46,2.78,2.11,2.41,2036100,2.1047
2009-09-01,1.27,2.89,1.21,2.40,3079300,2.096
2009-08-03,1.04,1.49,0.98,1.28,1547700,1.1178
2009-07-01,1.10,1.11,0.70,1.00,671200,0.8733
2009-06-01,1.18,1.23,0.9201,1.09,884500,0.9519
2009-05-01,0.8873,1.49,0.66,1.16,2090400,1.0131
2009-04-01,0.37,0.95,0.33,0.8499,1309700,0.7422
2009-03-02,0.25,0.38,0.16,0.355,1023800,0.31
2009-02-02,0.34,0.35,0.23,0.25,693000,0.2183
2009-01-02,0.34,0.58,0.31,0.34,667000,0.2969
2008-12-01,0.49,0.58,0.29,0.31,688000,0.2707
2008-11-03,0.77,0.85,0.36,0.48,868800,0.4192
2008-10-01,1.45,1.55,0.55,0.75,1121100,0.655
2008-09-02,2.85,2.90,1.11,1.50,1025500,1.31
2008-08-01,3.30,3.50,2.44,2.90,1082200,2.5326
2008-07-01,4.52,4.84,2.91,3.57,999600,3.1177
2008-06-02,3.62,5.50,3.25,4.78,2180800,4.1745
2008-05-01,3.22,4.17,3.01,3.65,1134900,3.1876
2008-04-01,1.70,3.87,1.57,3.22,1319800,2.8121
2008-03-03,2.23,2.332,1.56,1.67,396300,1.4584
2008-02-01,2.05,2.40,1.87,2.21,513100,1.93
2008-01-02,2.17,2.63,1.74,2.01,1034500,1.7554
2007-12-03,2.38,2.40,1.54,2.20,854400,1.9213
2007-11-01,2.25,2.85,2.05,2.38,561500,2.0785
2007-10-01,3.30,3.60,2.15,2.30,1187500,2.0086
2007-09-04,3.65,3.95,3.10,3.30,620900,2.882
2007-08-01,4.50,4.75,3.40,3.64,476000,3.1789
2007-07-02,5.85,5.85,4.30,4.60,761500,4.0173
2007-06-01,6.23,6.50,5.15,5.80,526200,5.0653
2007-05-01,6.27,6.809,5.67,6.20,689500,5.4146
2007-04-02,5.23,6.38,4.75,6.20,835500,5.4146
2007-03-01,5.46,5.60,4.62,5.22,552600,4.5587
2007-02-01,4.65,5.79,4.30,5.50,806700,4.8033
2007-01-03,3.92,4.79,3.57,4.59,537100,4.0085
2006-12-01,4.35,4.60,3.87,3.96,472800,3.4583
2006-11-01,3.77,4.39,3.15,4.30,192700,3.7553
2006-10-02,3.55,3.82,3.08,3.81,204500,3.3273
2006-09-01,4.20,4.65,3.25,3.49,167100,3.0479
2006-08-01,3.99,4.44,3.85,4.20,150500,3.6679
2006-07-03,3.96,4.24,3.17,3.99,79800,3.4845
2006-06-21,3.51,4.06,3.32,3.96,99500,3.4583
