Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.58,15.81,15.24,15.35,482400,13.047241
2013-03-01,17.01,17.620001,15.27,15.65,392300,13.302236
2013-02-01,19.469999,20.200001,16.549999,17.110001,459800,14.417694
2013-01-02,19.98,20.52,18.50,19.389999,618500,16.338928
2012-12-03,16.129999,19.91,15.57,19.50,590900,16.43162
2012-11-01,13.40,16.129999,12.65,16.110001,937800,13.448256
2012-10-01,14.95,15.56,13.31,13.35,517800,11.144272
2012-09-04,17.01,17.90,14.72,14.94,557900,12.471566
2012-08-01,17.02,20.139999,16.16,16.969999,939000,14.040131
2012-07-02,15.90,17.16,13.25,16.92,998800,13.998763
2012-06-01,16.59,17.50,15.06,15.79,1002500,13.063858
2012-05-01,23.700001,24.389999,16.50,16.879999,1013300,13.842587
2012-04-02,24.950001,25.110001,21.23,23.74,700800,19.468187
2012-03-01,23.610001,25.549999,22.34,24.940001,791200,20.452259
2012-02-01,23.25,25.17,21.440001,23.370001,778700,19.043369
2012-01-03,18.610001,23.879999,18.459999,23.02,991300,18.758167
2011-12-01,19.40,20.40,16.51,18.040001,677300,14.700145
2011-11-01,20.719999,23.17,17.450001,19.51,726200,15.772813
2011-10-03,16.059999,23.209999,14.16,22.190001,1021800,17.939453
2011-09-01,21.809999,22.16,15.92,16.08,899400,12.999837
2011-08-01,31.66,31.85,19.309999,21.889999,946200,17.564455
2011-07-01,31.60,34.50,28.90,30.959999,562000,24.84219
2011-06-01,29.90,31.85,24.040001,31.450001,778300,25.235367
2011-05-02,61.509998,66.00,27.51,30.139999,895700,24.053829
2011-04-01,59.130001,62.52,55.130001,61.560001,321500,24.564596
2011-03-01,49.82,59.799999,48.119999,58.450001,364900,23.323597
2011-02-01,44.150002,53.25,44.150002,49.50,326000,19.659603
2011-01-03,42.93,46.939999,40.040001,43.830002,248200,17.07189
2010-12-01,42.50,45.209999,40.59,42.490002,222900,16.549957
2010-11-01,41.00,45.450001,38.110001,42.18,436500,16.331533
2010-10-01,39.75,42.00,35.25,40.450001,388600,15.6617
2010-09-01,30.889999,40.00,30.10,39.84,43000,15.425516
2010-08-02,23.75,43.50,23.48,30.459999,91900,11.793705
2010-07-01,19.50,24.00,18.01,23.309999,12000,9.02532
2010-06-01,18.82,20.40,17.83,19.50,18000,7.550139
2010-05-03,18.860001,21.01,15.35,18.950001,18200,7.337187
2010-04-01,14.66,19.059999,14.53,19.00,14000,7.356546
2010-03-01,16.00,16.08,13.22,14.65,8800,5.672284
2010-02-01,14.79,16.780001,14.31,15.74,10900,6.094318
2010-01-04,16.26,17.299999,14.52,14.61,5700,5.656797
2009-12-01,13.18,17.459999,12.90,16.25,13400,6.291783
2009-11-02,13.40,14.80,12.51,13.11,12800,5.076017
2009-10-01,10.23,14.00,9.50,13.37,12200,5.176685
2009-09-01,8.41,10.44,8.25,10.31,15800,3.991894
2009-08-03,8.22,10.25,8.00,8.41,18700,3.25624
2009-07-01,6.65,8.50,5.44,8.11,16900,3.140084
