Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.34,15.52,15.22,15.47,10000,12.189639
2013-03-01,15.21,16.09,14.98,15.34,12000,12.087205
2013-02-01,14.85,15.94,14.84,15.21,17700,11.910308
2013-01-02,14.35,15.09,14.35,14.85,13500,11.554761
2012-12-03,14.24,14.33,14.09,14.26,9500,11.024604
2012-11-01,14.82,14.82,12.75,14.26,22300,10.951004
2012-10-01,14.83,15.08,14.61,14.83,10400,11.31005
2012-09-04,14.52,15.14,14.47,14.84,10400,11.246331
2012-08-01,14.67,15.19,14.39,14.53,13800,10.942078
2012-07-02,14.39,14.92,14.37,14.67,10800,10.977727
2012-06-01,13.68,14.45,13.46,14.41,11400,10.713761
2012-05-01,14.32,14.50,13.05,13.73,11200,10.136614
2012-04-02,14.55,14.55,13.93,14.32,11300,10.500868
2012-03-01,14.41,14.55,13.95,14.55,20700,10.597743
2012-02-01,13.70,14.53,13.61,14.37,29900,10.396416
2012-01-03,13.37,13.74,13.23,13.72,17500,9.858459
2011-12-01,12.86,13.36,12.78,13.35,11300,9.525093
2011-11-01,13.09,13.22,12.50,12.83,8700,9.05345
2011-10-03,12.93,13.16,11.94,13.15,13800,9.211759
2011-09-01,12.92,13.18,12.57,12.93,13600,8.989301
2011-08-01,13.14,13.53,11.28,12.93,27300,8.923253
2011-07-01,13.73,13.96,12.97,13.04,18800,8.931903
2011-06-01,13.78,13.90,13.40,13.72,13100,9.333263
2011-05-02,13.70,14.02,13.64,13.75,20700,9.288236
2011-04-01,13.20,13.75,13.18,13.71,13000,9.199651
2011-03-01,13.27,13.40,13.04,13.21,11700,8.803213
2011-02-01,12.79,13.20,12.79,13.17,16500,8.714582
2011-01-03,12.66,12.95,12.53,12.77,21500,8.389545
2010-12-01,13.23,13.27,12.09,12.68,27600,8.270175
2010-11-01,13.64,13.69,12.35,13.21,36900,8.411355
2010-10-01,13.06,13.70,12.99,13.66,15600,8.636747
2010-09-01,12.90,13.17,12.70,13.06,19300,8.201171
2010-08-02,12.72,13.23,12.56,12.88,18000,8.032228
2010-07-01,11.73,12.71,11.73,12.65,14300,7.832978
2010-06-01,11.88,12.30,11.65,11.76,17500,7.228165
2010-05-03,12.47,12.53,10.75,11.87,22200,7.241284
2010-04-01,11.95,12.65,11.95,12.45,15500,7.539494
2010-03-01,11.58,12.13,11.58,11.99,12700,7.208731
2010-02-01,11.78,11.81,10.87,11.65,19400,6.953288
2010-01-04,11.56,11.95,11.54,11.77,15600,6.97054
2009-12-01,11.14,11.89,10.96,11.57,14800,6.802735
2009-11-02,10.90,11.33,10.72,11.09,10800,6.428367
2009-10-01,10.90,11.20,10.58,10.94,12900,6.295466
2009-09-01,10.38,11.00,10.26,10.90,13700,6.230219
2009-08-03,10.08,10.48,10.07,10.35,8200,5.874616
2009-07-01,9.80,10.14,9.60,10.04,7800,5.657683
2009-06-01,9.45,9.89,9.28,9.84,14500,5.505414
2009-05-01,8.81,9.44,8.73,9.40,15900,5.220402
2009-04-01,8.14,8.75,8.02,8.75,12300,4.821496
2009-03-02,7.98,8.21,7.00,8.18,17900,4.469848
2009-02-02,8.55,8.84,7.65,8.10,16800,4.383922
2009-01-02,7.95,8.56,7.95,8.56,19200,4.595567
2008-12-01,6.69,7.99,6.13,7.99,22400,4.253376
2008-11-03,7.73,8.12,5.53,7.09,16900,3.734899
2008-10-01,8.97,9.11,5.85,7.80,24200,4.070152
2008-09-02,10.47,10.49,8.39,9.15,17100,4.727922
2008-08-01,10.66,10.74,10.29,10.46,7300,5.366092
2008-07-01,11.27,11.29,10.23,10.69,9400,5.447523
2008-06-02,11.63,11.80,10.90,11.45,10700,5.796605
2008-05-01,11.41,11.83,11.41,11.65,17500,5.862265
2008-04-01,10.98,11.79,10.94,11.39,16900,5.696937
2008-03-03,11.30,11.39,10.57,10.95,15400,5.43721
2008-02-01,11.88,11.90,11.02,11.37,11300,5.604701
2008-01-02,11.62,11.94,10.90,11.88,23300,5.815642
2007-12-03,11.55,11.59,11.20,11.59,19900,5.630331
2007-11-01,11.76,11.77,10.97,11.51,8800,5.54786
2007-10-01,12.07,12.18,11.66,11.79,15200,5.638691
2007-09-04,11.98,12.14,11.90,12.08,11000,5.734591
2007-08-01,12.36,12.45,10.00,11.99,26100,5.64946
2007-07-02,13.10,13.22,12.20,12.39,13900,5.795112
2007-06-01,14.19,14.19,13.01,13.16,29800,6.113069
2007-05-01,14.57,14.65,14.01,14.17,30400,6.538706
2007-04-02,16.48,17.25,14.16,14.57,27100,6.681669
2007-03-01,15.84,16.450001,15.28,16.450001,11000,7.497821
2007-02-01,15.38,16.65,15.38,15.80,5900,7.159685
2007-01-03,15.90,15.90,14.95,15.50,7200,6.983884
2006-12-01,15.40,16.09,15.25,15.95,4500,7.143949
2006-11-01,15.06,15.50,14.91,15.32,4100,6.821673
2006-10-02,14.80,15.55,14.40,15.06,5200,6.666964
2006-09-01,14.83,15.38,14.55,14.75,4700,6.490498
2006-08-01,14.35,14.91,14.03,14.85,2700,6.494791
2006-07-03,13.51,14.70,13.20,14.30,4400,6.214322
2006-06-01,13.95,13.95,13.00,13.46,6300,5.810719
2006-05-01,14.28,14.55,13.82,13.92,4000,5.968422
2006-04-03,13.85,14.82,13.75,14.21,5800,6.054391
2006-03-01,14.50,14.91,13.92,13.95,4500,5.906723
2006-02-01,14.34,14.98,14.22,14.80,4100,6.227868
2006-01-03,13.35,14.40,13.31,14.40,6200,6.022499
2005-12-01,13.94,14.03,13.20,13.20,5900,5.484436
2005-11-01,14.17,14.32,13.83,13.92,3200,5.745895
2005-10-03,14.44,14.55,14.10,14.15,5400,5.803894
2005-09-01,14.44,14.73,14.20,14.44,3200,5.88608
2005-08-01,14.64,14.98,13.95,14.50,4700,5.873902
2005-07-01,14.23,14.66,13.76,14.65,6400,5.898723
2005-06-01,13.41,14.30,13.36,14.15,4700,5.662304
2005-05-02,13.26,13.47,12.96,13.36,5200,5.312002
2005-04-01,13.13,13.51,12.92,13.26,4300,5.236779
2005-03-01,13.90,14.33,12.73,13.09,6100,5.134124
2005-02-01,13.91,14.20,13.70,14.00,6400,5.456091
2005-01-03,13.75,13.99,13.46,13.88,6400,5.374124
2004-12-01,13.33,13.85,13.28,13.80,5500,5.308302
2004-11-01,13.55,13.55,12.95,13.32,5100,5.090055
2004-10-01,13.47,13.75,13.25,13.52,5500,5.131123
2004-09-01,12.70,13.48,12.55,13.44,6300,5.06703
2004-08-02,12.08,12.75,12.02,12.70,5400,4.755347
2004-07-01,11.68,12.15,11.67,12.09,4200,4.49432
2004-06-01,11.70,11.89,11.34,11.60,5200,4.280042
2004-05-03,11.95,11.95,10.61,11.67,9400,4.272972
2004-04-01,13.71,13.82,11.50,11.91,9900,4.32568
2004-03-01,13.35,13.78,13.28,13.65,3200,4.924346
2004-02-02,13.74,13.75,13.24,13.40,4600,4.801952
2004-01-02,13.48,13.85,13.30,13.67,6300,4.86605
2003-12-01,14.15,14.22,13.37,13.53,5000,4.784918
2003-11-03,13.32,14.35,13.08,14.25,6200,5.006824
2003-10-01,12.38,13.30,12.25,13.27,5600,4.631504
2003-09-02,11.65,12.41,11.57,12.31,4600,4.265559
2003-08-01,12.21,12.21,11.31,11.72,7300,4.030531
2003-07-01,12.40,12.56,12.04,12.25,6000,4.180991
2003-06-02,12.42,12.78,12.15,12.30,5200,4.167902
2003-05-01,11.82,12.49,11.75,12.35,7400,4.154953
2003-04-01,11.30,12.15,11.30,11.79,6600,3.937761
2003-03-03,11.32,11.60,11.10,11.28,3500,3.73917
2003-02-03,11.16,11.42,11.05,11.30,4800,3.716434
2003-01-02,10.76,11.50,10.72,11.15,7600,3.637867
2002-12-02,10.85,10.85,10.41,10.73,3900,3.472704
2002-11-01,10.10,10.85,10.10,10.85,6600,3.482197
2002-10-01,10.30,10.60,9.92,10.15,5600,3.229907
2002-09-03,10.51,10.75,10.30,10.30,6400,3.248719
2002-08-01,9.88,10.55,9.80,10.51,6800,3.286941
2002-07-01,10.40,10.70,9.55,9.85,6300,3.052861
2002-06-03,12.06,12.12,10.31,10.33,7900,3.174446
2002-05-01,12.19,12.35,11.96,11.96,4800,3.64767
2002-04-01,12.07,12.32,11.79,12.22,5100,3.696318
2002-03-01,12.44,12.80,12.07,12.23,3200,3.668895
2002-02-01,12.25,12.86,12.13,12.41,4400,3.693418
2002-01-02,11.73,12.33,11.67,12.14,7100,3.584612
2001-12-03,12.16,12.30,11.40,11.50,3900,3.367293
2001-11-01,11.75,12.14,11.60,12.09,4300,3.509793
2001-10-01,11.09,12.10,11.09,11.85,3700,3.411452
2001-09-04,12.36,12.56,10.50,11.09,7100,3.165986
2001-08-01,13.75,13.97,12.06,12.30,8700,3.511419
2001-07-02,14.55,14.60,13.55,13.80,5500,3.90748
2001-06-01,14.45,14.80,14.20,14.53,2500,4.076778
2001-05-01,14.25,14.60,13.92,14.40,3400,4.003955
2001-04-02,14.70,14.75,14.04,14.20,4200,3.912699
2001-03-01,14.40,14.95,14.20,14.75,6500,4.027557
2001-02-01,14.00,14.50,13.86,14.35,6400,3.884102
2001-01-02,12.375,14.31,12.25,14.31,7400,3.837564
2000-12-01,12.5625,12.5625,11.875,12.25,7800,3.253196
2000-11-01,12.75,12.8125,12.125,12.4375,4500,3.268292
2000-10-02,13.9375,14.00,12.5625,12.6875,4200,3.299825
2000-09-01,14.625,14.875,13.8125,13.875,3500,3.574402
2000-08-01,14.875,14.875,13.875,14.5625,5400,3.716985
2000-07-03,14.9375,15.375,14.50,14.8125,5200,3.746152
2000-06-01,13.9375,14.9375,13.9375,14.9375,5300,3.745693
2000-05-01,13.875,14.25,13.50,13.9375,4900,3.458466
2000-04-03,13.9375,14.50,13.125,13.875,4900,3.406556
2000-03-01,14.375,14.50,13.375,13.875,4600,3.371009
2000-02-01,14.25,14.625,13.75,14.25,5800,3.424689
2000-01-03,12.125,14.875,12.125,14.375,6700,3.419145
