Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.62,14.77,14.55,14.60,180800,11.964161
2013-03-01,14.82,14.96,13.87,14.69,103200,12.037912
2013-02-01,15.11,15.19,14.48,14.89,80900,12.142076
2013-01-02,14.42,15.54,14.41,15.10,92600,12.255629
2012-12-03,15.44,15.44,13.86,14.39,145900,11.626386
2012-11-01,14.75,15.49,14.39,15.39,93900,12.365777
2012-10-01,15.14,15.25,14.65,14.74,88800,11.78779
2012-09-04,14.91,15.26,14.36,15.11,83400,12.027181
2012-08-01,15.47,15.53,13.97,14.84,98800,11.75655
2012-07-02,14.46,15.34,14.46,15.32,106300,12.079528
2012-06-01,14.51,14.67,13.63,14.40,103500,11.300495
2012-05-01,13.78,14.55,13.67,14.54,98400,11.354701
2012-04-02,13.82,14.06,13.65,13.81,65100,10.731461
2012-03-01,13.99,14.11,12.63,13.82,116400,10.684716
2012-02-01,14.34,14.34,13.38,14.00,105300,10.768455
2012-01-03,13.83,14.29,13.54,14.21,107700,10.874176
2011-12-01,13.28,13.90,13.11,13.80,85700,10.506818
2011-11-01,12.69,13.50,12.38,13.18,120900,9.974368
2011-10-03,12.79,12.84,12.01,12.64,74300,9.514631
2011-09-01,12.30,12.87,12.11,12.75,65400,9.544071
2011-08-01,11.99,12.30,11.10,12.27,80400,9.133494
2011-07-01,11.86,12.00,11.71,11.88,62600,8.791731
2011-06-01,11.94,12.00,11.64,11.90,59300,8.755074
2011-05-02,11.78,11.99,11.62,11.94,49800,8.732568
2011-04-01,11.66,11.79,11.15,11.71,52700,8.5141
2011-03-01,11.50,11.99,11.43,11.65,81300,8.41777
2011-02-01,11.04,11.49,10.99,11.45,71600,8.223762
2011-01-03,11.36,11.54,10.21,11.04,133900,7.880167
2010-12-01,12.20,12.20,10.81,11.42,123800,8.098766
2010-11-01,12.73,12.73,10.80,12.12,156900,8.54113
2010-10-01,13.34,13.39,12.41,12.70,71000,8.895434
2010-09-01,13.18,13.34,12.83,13.34,63900,9.29355
2010-08-02,12.59,13.24,12.58,13.11,65800,9.084288
2010-07-01,12.58,12.84,12.51,12.63,63700,8.704303
2010-06-01,12.34,12.69,12.13,12.63,72100,8.65606
2010-05-03,12.23,12.51,11.84,12.30,72000,8.382151
2010-04-01,11.99,12.31,11.99,12.18,77300,8.253854
2010-03-01,11.79,12.02,11.71,11.99,80500,8.078518
2010-02-01,11.77,11.89,11.46,11.78,92800,7.890259
2010-01-04,11.75,11.84,11.67,11.79,75700,7.850151
2009-12-01,11.38,11.92,11.30,11.78,75500,7.796884
2009-11-02,11.27,11.48,11.15,11.36,75100,7.474293
2009-10-01,11.64,12.03,10.96,11.35,117900,7.421657
