Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,47.50,47.66,46.75,47.169998,605000,45.922256
2013-03-01,40.860001,47.630001,40.580002,47.48,244000,46.22406
2013-02-01,43.490002,44.799999,39.02,41.099998,347700,40.012821
2013-01-02,38.02,43.470001,37.540001,43.27,294500,42.125423
2012-12-03,36.00,37.799999,34.00,37.419998,265200,36.430164
2012-11-01,34.34,36.41,31.60,35.779999,263700,34.733562
2012-10-01,33.50,37.150002,32.669998,34.200001,368700,33.104866
2012-09-04,29.209999,34.00,28.76,33.310001,494000,32.243366
2012-08-01,28.17,30.00,27.530001,29.209999,642000,28.274651
2012-07-02,23.18,28.24,22.08,27.860001,346300,26.875015
2012-06-01,23.67,25.24,21.450001,23.049999,376300,22.235071
2012-05-01,27.07,27.99,22.059999,24.42,405900,23.556637
2012-04-02,26.219999,27.969999,24.190001,26.83,407700,25.778889
2012-03-01,23.91,26.75,23.459999,26.200001,334000,25.173571
2012-02-01,22.459999,27.51,22.459999,23.610001,561600,22.619068
2012-01-03,22.540001,23.940001,20.620001,22.209999,284100,21.277824
2011-12-01,22.219999,24.85,21.24,21.860001,366900,20.942516
2011-11-01,19.530001,22.459999,18.58,22.209999,416100,21.277824
2011-10-03,14.22,23.23,13.57,20.57,532100,19.641558
2011-09-01,18.83,19.030001,13.80,14.38,661700,13.730948
2011-08-01,21.02,21.290001,15.40,18.870001,308400,18.01829
2011-07-01,19.65,23.84,18.719999,20.639999,295600,19.624786
2011-06-01,17.93,20.309999,16.51,19.629999,215600,18.664465
2011-05-02,18.120001,19.09,16.02,17.90,190800,17.019558
2011-04-01,14.73,18.27,14.12,18.190001,199100,17.223103
2011-03-01,15.45,15.60,13.28,14.58,189200,13.804993
2011-02-01,13.56,16.07,13.40,15.14,219200,14.287089
2011-01-03,14.50,15.61,13.44,13.50,224600,12.739479
2010-12-01,13.31,14.45,12.50,14.29,210200,13.484974
2010-11-01,10.96,14.20,10.52,12.96,355500,12.229899
2010-10-01,9.70,11.26,9.45,10.90,245300,10.24669
2010-09-01,7.82,9.94,7.78,9.59,189100,9.015207
2010-08-02,9.02,9.25,7.50,7.64,210300,7.182084
2010-07-01,6.19,8.84,5.87,8.80,233200,8.22401
2010-06-01,8.00,8.37,6.09,6.18,277800,5.775497
2010-05-03,8.28,8.94,6.87,8.17,365800,7.635245
2010-04-01,6.48,9.36,6.48,7.98,411400,7.413342
2010-03-01,6.42,7.13,6.27,6.40,299700,5.945538
2010-02-01,7.78,8.23,5.18,6.38,622500,5.926958
2010-01-04,8.27,9.55,7.65,7.80,420300,7.246125
2009-12-01,7.47,8.54,7.04,8.22,464300,7.636301
2009-11-02,8.55,9.72,7.07,7.26,435600,6.74447
2009-10-01,15.42,15.42,8.06,8.34,929900,7.747779
2009-09-01,12.61,16.49,12.00,15.59,304700,14.482959
2009-08-03,12.21,15.00,11.71,12.81,336000,11.900366
2009-07-01,9.33,12.98,8.43,11.99,290600,11.138594
2009-06-01,5.80,9.58,5.78,9.24,355400,8.58387
2009-05-01,2.92,6.59,2.90,5.51,228300,5.118737
2009-04-01,2.17,3.50,1.85,2.92,236300,2.712652
2009-03-02,2.60,3.30,1.98,2.25,118000,2.090228
2009-02-02,2.94,3.41,2.57,2.64,78100,2.452534
2009-01-02,3.28,3.90,2.91,3.06,105000,2.84271
2008-12-01,2.48,4.17,2.10,3.26,159600,3.028508
2008-11-03,4.19,4.83,1.89,2.66,158500,2.471114
2008-10-01,4.31,4.99,1.53,4.10,200100,3.80886
2008-09-02,5.00,6.45,3.70,4.31,185200,3.910398
2008-08-01,4.67,6.76,4.05,4.85,260000,4.400332
2008-07-01,4.75,5.22,3.51,4.65,410600,4.218875
2008-06-02,7.04,7.53,4.89,4.92,528600,4.330876
2008-05-01,8.95,9.66,6.82,6.83,425700,6.012172
2008-04-01,10.32,10.94,7.59,9.00,432400,7.922335
2008-03-03,10.25,11.52,8.91,10.16,364100,8.815017
2008-02-01,15.47,15.72,9.53,10.28,448900,8.919131
2008-01-02,13.74,15.59,11.32,15.24,259600,13.222526
2007-12-03,15.70,16.50,13.21,13.73,193700,11.784525
2007-11-01,16.559999,18.690001,15.41,15.60,254200,13.389556
2007-10-01,17.120001,21.309999,15.61,16.98,267700,14.574017
2007-09-04,17.799999,19.34,16.540001,17.059999,217900,14.537768
2007-08-01,20.709999,22.24,17.17,17.91,342400,15.262101
2007-07-02,25.360001,26.190001,18.76,20.59,315200,17.545877
2007-06-01,26.91,27.58,25.219999,25.34,176800,21.469463
2007-05-01,26.950001,27.860001,25.85,26.879999,165600,22.774237
2007-04-02,27.450001,29.02,26.01,26.950001,334300,22.833546
2007-03-01,29.389999,29.59,26.059999,27.41,161000,23.100824
2007-02-01,28.74,31.559999,28.43,29.450001,288200,24.820114
2007-01-03,28.139999,29.10,26.00,28.74,139800,24.221733
2006-12-01,25.860001,29.58,25.200001,28.76,168600,24.110342
2006-11-01,25.48,27.889999,25.049999,25.860001,167500,21.67919
2006-10-02,24.73,25.90,21.75,25.50,253900,21.37739
2006-09-01,25.52,25.75,23.33,24.719999,165200,20.604977
2006-08-01,28.040001,28.049999,24.530001,25.52,210900,21.271805
2006-07-03,30.219999,30.59,27.299999,28.18,72200,23.489006
2006-06-01,32.049999,32.630001,28.50,30.32,123500,25.147036
2006-05-01,33.889999,33.959999,30.85,32.00,121100,26.540407
2006-04-03,34.599998,36.009998,32.73,33.889999,165200,28.10795
2006-03-01,32.040001,36.799999,30.950001,34.700001,145900,28.682798
2006-02-01,30.35,32.919998,29.32,32.040001,129000,26.484058
2006-01-03,31.549999,33.32,30.24,30.43,106200,25.054861
2005-12-01,28.65,32.040001,28.49,31.440001,124400,25.886456
2005-11-01,27.200001,28.59,26.690001,28.549999,88500,23.506941
2005-10-03,29.10,29.719999,25.10,27.24,123500,22.329391
