Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.790001,23.940001,23.32,23.450001,1360200,22.917711
2013-03-01,20.799999,24.15,20.799999,23.77,1473500,23.230448
2013-02-01,18.41,21.18,18.41,20.969999,1517000,20.494003
2013-01-02,16.709999,18.51,16.709999,18.32,1063200,17.904156
2012-12-03,16.60,16.809999,15.26,16.40,915500,16.027739
2012-11-01,16.58,17.02,14.58,16.379999,1651000,16.008192
2012-10-01,15.29,16.700001,14.87,16.68,852900,16.301382
2012-09-04,14.85,15.97,14.56,15.27,1216700,14.923388
2012-08-01,13.46,14.96,12.75,14.78,1562700,14.44451
2012-07-02,14.80,14.99,13.44,13.45,1055100,13.1447
2012-06-01,13.16,15.05,11.63,14.74,2996100,14.405418
2012-05-01,12.19,13.50,11.26,13.32,2589200,13.017651
2012-04-02,13.80,13.83,11.46,12.23,3593300,11.952393
2012-03-01,13.80,16.190001,13.13,13.92,6412600,13.604032
2012-02-01,10.09,14.46,10.04,13.68,1774600,13.369479
2012-01-03,8.38,11.28,8.14,10.08,939500,9.851195
2011-12-01,8.79,8.87,7.97,8.32,716400,8.131145
2011-11-01,8.01,8.84,7.99,8.79,736100,8.590477
2011-10-03,6.83,8.28,6.73,8.22,744600,8.033416
2011-09-01,7.08,7.39,6.38,6.90,627100,6.743378
2011-08-01,7.13,7.58,6.17,6.96,741300,6.802016
2011-07-01,6.64,7.21,6.50,7.10,390100,6.938838
2011-06-01,6.32,6.68,5.88,6.62,599400,6.469733
2011-05-02,6.37,6.39,5.76,5.93,371100,5.795395
2011-04-01,6.27,6.75,6.20,6.34,369500,6.196089
2011-03-01,6.13,6.40,5.69,6.25,346600,6.108132
2011-02-01,6.20,6.38,5.80,6.12,265000,5.981083
2011-01-03,6.55,6.87,5.95,6.20,315600,6.059267
2010-12-01,7.37,7.49,6.40,6.51,316200,6.36223
2010-11-01,7.23,7.75,6.94,7.21,266000,7.046341
2010-10-01,7.41,7.84,7.20,7.23,225900,7.065887
2010-09-01,7.31,7.42,7.03,7.35,324200,7.183163
2010-08-02,6.68,7.40,6.10,7.14,601800,6.97793
2010-07-01,7.00,7.29,5.90,6.60,933900,6.450187
2010-06-01,6.63,7.38,6.59,6.98,1419600,6.821562
2010-05-03,6.90,7.05,5.47,6.80,570800,6.645648
2010-04-01,6.24,7.18,6.03,6.92,1129200,6.762924
2010-03-01,5.45,6.64,5.36,6.24,1315300,6.098359
2010-02-01,5.21,6.00,4.81,5.45,1269900,5.326291
2010-01-04,5.82,6.00,5.13,5.20,521500,5.081965
2009-12-01,5.02,6.08,4.99,5.81,983900,5.67812
2009-11-02,5.23,5.84,4.86,4.99,816200,4.876732
2009-10-01,6.11,6.16,5.17,5.19,554000,5.072193
2009-09-01,6.54,6.80,6.06,6.16,787700,6.020175
2009-08-03,6.02,7.29,5.75,6.56,1243600,6.411095
2009-07-01,5.65,6.25,5.29,5.86,794900,5.726985
2009-06-01,5.96,6.29,5.15,5.60,893200,5.472886
2009-05-01,4.88,6.20,4.50,6.20,691900,6.059267
2009-04-01,4.95,5.43,4.41,4.91,849800,4.798548
2009-03-02,4.99,5.59,4.65,5.05,801100,4.935371
2009-02-02,5.53,5.73,3.65,5.06,1878200,4.945144
2009-01-02,5.61,6.50,5.14,5.61,808100,5.482659
2008-12-01,6.40,7.04,5.25,5.50,641800,5.375156
2008-11-03,6.91,7.03,5.15,6.47,667500,6.323138
2008-10-01,8.99,9.19,5.59,7.00,1148000,6.841108
2008-09-02,10.15,10.15,8.54,9.10,728800,8.89344
2008-08-01,9.95,10.97,9.74,10.06,634600,9.83165
2008-07-01,10.20,10.49,9.26,9.85,421500,9.626416
2008-06-02,9.92,10.76,9.58,10.36,733200,10.124839
2008-05-01,10.20,10.65,9.53,10.65,396100,10.408257
2008-04-01,9.73,10.46,9.50,10.27,406200,10.036883
2008-03-03,9.31,9.89,8.43,9.75,447800,9.528686
2008-02-01,9.50,9.79,8.90,9.41,801700,9.196404
2008-01-02,9.39,9.66,8.90,9.45,484100,9.235496
2007-12-03,9.28,9.73,8.94,9.42,554600,9.206177
2007-11-01,10.47,10.90,9.17,9.23,495100,9.020489
2007-10-01,10.33,10.85,10.01,10.70,523100,10.457122
2007-09-04,9.45,10.35,8.89,10.31,620500,10.075975
2007-08-01,10.99,11.04,8.85,9.50,911100,9.284361
2007-07-02,11.03,11.59,10.66,10.99,579600,10.74054
2007-06-01,11.81,11.95,10.77,11.03,908800,10.779631
2007-05-01,11.38,11.97,11.15,11.85,947900,11.581018
2007-04-02,11.42,11.97,11.05,11.43,639500,11.170552
2007-03-01,10.94,12.11,10.52,11.42,695300,11.160779
2007-02-01,10.89,11.79,10.46,11.01,890400,10.760085
2007-01-03,10.77,10.98,10.00,10.87,822300,10.623263
2006-12-01,11.14,11.45,10.18,10.73,514200,10.486441
2006-11-01,10.13,11.65,9.98,11.10,1060400,10.848042
2006-10-02,9.97,10.42,9.62,10.13,663100,9.900061
2006-09-01,9.22,10.52,9.19,10.01,601300,9.782784
2006-08-01,9.19,9.45,8.90,9.21,432100,9.000943
2006-07-03,8.57,9.52,8.52,9.29,640100,9.079127
2006-06-01,9.63,9.80,8.48,8.55,773400,8.355925
2006-05-01,9.47,9.51,8.50,9.50,826100,9.284361
2006-04-03,10.35,10.40,9.27,9.77,873900,9.548232
2006-03-01,9.13,10.43,9.01,10.15,1275200,9.919606
2006-02-01,8.86,9.33,8.03,9.03,1290400,8.825028
2006-01-03,7.67,9.32,7.66,8.90,1238700,8.69798
2005-12-01,9.14,9.38,7.47,7.68,1721100,7.505672
2005-11-01,9.53,10.11,9.05,9.14,874200,8.932532
2005-10-03,9.54,9.79,8.19,9.60,1340800,9.382092
2005-09-01,9.57,10.68,8.90,9.54,1804400,9.323453
2005-08-01,10.25,10.50,9.18,9.55,1505100,9.333226
2005-07-01,10.22,10.44,9.24,10.25,1174500,10.017337
2005-06-01,10.41,11.33,9.99,10.26,1304500,10.02711
2005-05-02,9.60,10.64,9.28,10.41,1057600,10.173704
2005-04-01,11.12,11.43,9.23,9.66,1246400,9.440729
2005-03-01,10.62,11.63,10.57,11.05,1241900,10.799177
2005-02-01,9.98,10.84,9.60,10.62,1491900,10.378938
2005-01-03,10.60,10.60,9.09,9.98,731400,9.753465
2004-12-01,10.72,11.22,9.88,10.62,661200,10.378938
2004-11-01,9.87,11.82,9.45,10.75,1692500,10.505987
2004-10-01,8.75,10.02,8.70,9.81,831100,9.587324
2004-09-01,6.57,8.97,6.57,8.70,1180500,8.50252
2004-08-02,7.66,7.78,6.20,6.64,776500,6.489279
2004-07-01,6.99,7.95,6.71,7.66,863800,7.486126
2004-06-01,6.60,7.15,6.30,6.98,650600,6.821562
2004-05-03,6.30,6.90,5.75,6.60,725800,6.450187
2004-04-01,6.30,6.55,5.45,6.25,585200,6.108132
2004-03-01,6.70,6.78,5.20,6.25,555200,6.108132
2004-02-02,5.24,6.60,4.91,6.50,1156500,6.352457
2004-01-02,4.50,5.60,4.36,5.15,757500,5.033101
2003-12-01,4.06,4.71,3.62,4.48,545100,4.378309
2003-11-03,4.05,4.68,3.78,4.06,571000,3.967843
2003-10-01,3.00,4.25,2.60,4.10,639100,4.006935
2003-09-02,2.99,3.24,2.76,2.99,222500,2.92213
2003-08-01,2.50,3.07,2.21,2.99,209900,2.92213
2003-07-01,1.97,2.50,1.94,2.50,128100,2.443253
2003-06-02,2.00,2.25,1.80,1.90,207500,1.856872
2003-05-01,1.87,2.11,1.71,2.03,44600,1.983921
2003-04-01,1.90,2.14,1.85,1.90,41900,1.856872
