Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,63.610001,64.019997,62.810001,63.290001,537600,60.950848
2013-03-01,58.720001,65.50,57.669998,63.490002,353700,61.143456
2013-02-01,57.970001,59.98,55.189999,59.07,456100,56.708515
2013-01-02,53.77,58.48,53.77,57.509998,439600,55.21088
2012-12-03,52.959999,54.200001,50.419998,52.52,491800,50.420368
2012-11-01,50.610001,53.52,47.419998,52.59,399100,50.291576
2012-10-01,48.490002,51.599998,44.970001,50.049999,541400,47.862587
2012-09-04,47.650002,51.299999,45.240002,48.360001,730600,46.050697
2012-08-01,43.919998,47.900002,41.82,47.509998,415800,45.241283
2012-07-02,46.669998,48.75,41.700001,43.669998,680300,41.584652
2012-06-01,41.57,46.779999,38.73,46.630001,581700,44.403309
2012-05-01,43.330002,44.619999,40.360001,42.889999,540500,40.669449
2012-04-02,39.970001,44.099998,36.77,43.400002,593500,41.153049
2012-03-01,39.290001,42.810001,38.150002,40.299999,546800,38.213543
2012-02-01,36.759998,40.080002,36.279999,39.130001,443500,36.937317
2012-01-03,34.880001,38.57,33.810001,36.200001,499200,34.171501
2011-12-01,32.959999,35.200001,31.959999,33.75,467300,31.858789
2011-11-01,31.690001,33.650002,29.10,33.130001,623000,31.106443
2011-10-03,25.610001,34.93,24.52,32.189999,939600,30.223856
2011-09-01,31.34,31.780001,24.370001,25.780001,808400,24.205376
2011-08-01,37.419998,37.630001,27.559999,31.219999,937700,29.135925
2011-07-01,43.150002,44.360001,35.040001,36.98,1037400,34.511421
2011-06-01,46.540001,46.610001,42.310001,43.07,558000,40.194885
2011-05-02,48.689999,50.439999,45.330002,46.610001,492700,43.317204
2011-04-01,52.889999,54.099998,48.259998,48.610001,457600,45.175915
2011-03-01,48.830002,52.669998,47.830002,52.580002,291700,48.865452
2011-02-01,49.419998,52.900002,48.349998,48.50,506000,44.914852
2011-01-03,47.77,49.98,46.700001,49.139999,346100,45.507542
2010-12-01,44.639999,49.32,44.529999,47.290001,395200,43.794296
2010-11-01,41.389999,44.580002,39.139999,43.990002,687200,40.612808
2010-10-01,41.98,43.93,39.240002,41.009998,546900,37.861584
2010-09-01,43.029999,44.25,40.099998,41.689999,459200,38.48938
2010-08-02,44.259998,46.529999,41.32,42.389999,473200,38.99456
2010-07-01,41.66,46.990002,40.810001,43.669998,615500,40.172031
2010-06-01,44.419998,45.25,40.599998,41.57,409300,38.240242
2010-05-03,45.32,46.259998,40.310001,44.75,594300,41.022953
2010-04-01,44.580002,51.09,44.310001,45.259998,469700,41.490475
2010-03-01,42.43,45.50,42.299999,44.32,395400,40.628765
2010-02-01,38.630001,44.200001,38.060001,42.200001,679000,38.557518
2010-01-04,39.310001,40.50,38.220001,38.220001,395700,34.921051
2009-12-01,37.48,41.110001,36.360001,39.040001,372000,35.670273
2009-11-02,33.959999,40.00,33.16,37.119999,481900,33.797291
2009-10-01,35.84,37.169998,33.630001,33.669998,535900,30.656107
2009-09-01,35.82,38.029999,34.689999,36.119999,459100,32.759335
2009-08-03,35.27,37.889999,33.439999,35.880001,320800,32.541668
2009-07-01,32.419998,36.490002,30.07,34.849998,534300,31.607496
2009-06-01,31.49,34.700001,30.07,32.110001,502500,29.122433
2009-05-01,31.82,33.310001,28.02,31.01,670300,27.997477
2009-04-01,26.00,32.950001,25.209999,31.889999,810600,28.791986
2009-03-02,25.33,29.299999,23.469999,26.459999,1091300,23.889494
2009-02-02,27.709999,30.67,24.60,25.90,788800,23.259703
2009-01-02,32.360001,34.970001,27.18,28.110001,649300,25.244411
2008-12-01,26.559999,32.799999,25.18,32.290001,715900,28.998293
2008-11-03,29.65,30.610001,19.719999,27.639999,618300,24.706369
2008-10-01,32.939999,33.98,25.10,29.82,920900,26.654989
2008-09-02,37.310001,40.990002,32.130001,33.27,734800,29.738817
2008-08-01,35.700001,41.619999,35.02,37.00,614700,33.072926
2008-07-01,28.85,38.169998,27.860001,35.700001,1027000,31.791515
2008-06-02,33.07,33.939999,28.34,28.959999,741500,25.789417
2008-05-01,33.470001,35.860001,31.379999,32.220001,580000,28.692511
2008-04-01,36.299999,38.48,25.17,33.139999,712500,29.385475
2008-03-03,37.400002,37.75,33.419998,35.970001,916900,31.894859
2008-02-01,37.240002,40.060001,35.029999,37.639999,753100,33.251617
2008-01-02,41.41,42.220001,26.51,37.139999,718900,32.809914
2007-12-03,33.82,41.959999,32.599998,41.419998,632700,36.590912
