Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.119999,32.130001,31.459999,31.559999,1725400,30.151705
2013-03-01,28.299999,32.59,27.879999,32.150002,1809500,30.71538
2013-02-01,27.450001,28.98,26.360001,28.50,2295100,27.13002
2013-01-02,26.309999,28.52,25.43,27.65,1970300,26.320879
2012-12-03,25.60,26.629999,24.91,25.719999,1381600,24.483652
2012-11-01,25.59,26.129999,24.60,25.530001,1484800,24.19957
2012-10-01,24.68,25.879999,23.879999,25.48,1454200,24.152174
2012-09-04,24.59,27.139999,24.370001,24.68,1852600,23.287968
2012-08-01,24.620001,26.690001,24.129999,24.58,1448400,23.193607
2012-07-02,26.40,27.00,23.309999,24.52,1664000,23.136992
2012-06-01,24.57,26.370001,23.93,26.370001,1760900,24.882647
2012-05-01,26.35,27.00,22.360001,25.450001,3196400,23.911348
2012-04-02,27.90,28.469999,24.99,26.07,1872000,24.493864
2012-03-01,27.459999,29.49,26.49,27.93,1741600,26.241413
2012-02-01,25.74,27.889999,25.58,27.389999,1878200,25.659765
2012-01-03,24.67,28.27,23.75,25.469999,2384200,23.861052
2011-12-01,26.32,27.299999,22.84,24.049999,1726800,22.530754
2011-11-01,26.059999,27.870001,23.049999,26.530001,2482300,24.777969
2011-10-03,25.389999,29.559999,22.610001,27.50,2868200,25.68391
2011-09-01,28.440001,29.35,24.26,25.709999,2845600,23.930931
2011-08-01,29.610001,29.99,24.110001,28.469999,3690000,26.499945
2011-07-01,32.889999,34.32,28.190001,29.42,1915200,27.384209
2011-06-01,33.529999,33.650002,30.860001,32.759998,1977700,30.493088
2011-05-02,37.290001,37.580002,32.560001,33.84,2003200,31.418913
2011-04-01,36.450001,37.82,35.849998,37.150002,1599900,34.4921
2011-03-01,36.400002,36.52,32.209999,36.09,1471300,33.507938
2011-02-01,33.380001,37.290001,33.330002,36.25,1663200,33.598793
2011-01-03,36.75,37.189999,32.939999,33.130001,2274700,30.70698
2010-12-01,33.349998,37.720001,33.049999,36.27,1534700,33.617332
2010-11-01,31.35,35.57,30.940001,32.619999,2116100,30.182655
2010-10-01,30.639999,31.99,29.68,31.030001,1681400,28.71146
2010-09-01,25.719999,31.040001,25.549999,30.309999,1549300,28.008099
2010-08-02,29.280001,29.709999,24.940001,25.33,2642100,23.406307
2010-07-01,28.129999,30.299999,26.82,28.889999,3496900,26.69594
2010-06-01,29.42,33.50,27.99,28.030001,3238400,25.901255
2010-05-03,31.85,34.830002,27.360001,29.719999,3924800,27.428032
2010-04-01,29.629999,33.459999,29.43,31.690001,2586300,29.246109
2010-03-01,25.950001,30.57,25.76,28.67,2104400,26.459007
2010-02-01,25.85,26.639999,24.00,25.85,2589600,23.831692
2010-01-04,30.370001,31.950001,25.629999,25.780001,3192100,23.767159
2009-12-01,28.549999,30.549999,26.99,30.16,2255700,27.805178
2009-11-02,29.389999,32.130001,27.43,28.290001,2137100,26.052782
2009-10-01,30.860001,33.700001,28.389999,29.110001,2632100,26.807936
2009-09-01,28.51,33.09,26.280001,31.030001,2874400,28.547789
2009-08-03,28.280001,29.59,26.459999,28.76,2340400,26.459373
2009-07-01,24.559999,29.01,22.059999,28.139999,3296600,25.888969
2009-06-01,19.52,26.74,19.51,24.379999,5003400,22.429747
2009-05-01,19.98,22.530001,17.32,19.280001,4484400,17.715773
2009-04-01,15.53,20.780001,15.52,20.07,4252600,18.441679
2009-03-02,12.56,16.99,10.35,15.90,5362200,14.609999
2009-02-02,16.030001,16.77,12.78,12.83,3765100,11.526852
2009-01-02,21.950001,25.540001,15.29,16.059999,3526300,14.42878
2008-12-01,17.379999,22.08,14.91,21.91,3270300,19.684593
2008-11-03,22.66,23.00,11.94,18.02,4722800,15.975624
2008-10-01,37.02,38.880001,11.09,22.190001,4704400,19.672537
2008-09-02,45.369999,51.66,26.559999,38.060001,4280500,33.742077
2008-08-01,39.50,45.790001,38.369999,44.529999,2294800,39.222946
2008-07-01,41.310001,42.32,27.57,40.349998,5243400,35.541115
2008-06-02,53.689999,54.799999,43.360001,43.57,2550900,38.377357
2008-05-01,60.759998,65.519997,52.349998,53.810001,3194700,47.188278
2008-04-01,57.00,62.900002,54.639999,60.279999,1542200,52.862095
2008-03-03,66.019997,66.440002,51.509998,55.98,2837500,49.09124
2008-02-01,72.559998,74.32,65.639999,66.040001,1781000,57.699356
2008-01-02,73.25,75.330002,66.150002,71.949997,2996200,62.862938
2007-12-03,75.849998,79.940002,69.82,73.150002,1824400,63.911385
2007-11-01,81.900002,82.199997,68.349998,76.309998,2561300,66.462593
2007-10-01,84.099998,88.209999,77.940002,82.940002,1996400,72.23703
2007-09-04,86.209999,87.900002,76.800003,84.290001,2150200,73.412819
2007-08-01,90.00,97.059998,81.989998,86.82,2514000,75.394424
2007-07-02,98.75,103.089996,89.900002,90.00,1277400,78.155937
2007-06-01,101.629997,103.089996,95.879997,98.379997,1327100,85.433121
2007-05-01,97.690002,106.360001,97.279999,101.029999,1290700,87.517479
2007-04-02,94.709999,101.239998,92.82,99.190002,931900,85.923576
2007-03-01,99.900002,103.120003,93.160004,94.209999,1199800,81.609642
2007-02-01,105.00,110.169998,100.550003,102.739998,1278100,88.806213
2007-01-03,95.629997,109.68,95.629997,104.849998,1614300,90.630051
2006-12-01,95.470001,98.75,93.830002,95.050003,846800,82.159149
