Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,56.349998,56.700001,55.209999,55.360001,7585000,49.439392
2013-03-01,51.279999,56.830002,49.830002,56.349998,5617400,50.323513
2013-02-01,54.759998,55.939999,48.290001,51.490002,8385100,45.682396
2013-01-02,48.080002,55.369999,47.990002,55.25,9340200,49.018299
2012-12-03,46.93,48.099998,42.669998,46.16,6686400,40.953571
2012-11-01,46.419998,47.25,40.279999,46.650002,7866900,38.667625
2012-10-01,46.669998,47.09,42.630001,46.439999,5865500,38.493557
2012-09-04,42.189999,47.59,40.50,46.369999,8632300,38.435535
2012-08-01,36.889999,43.869999,36.290001,42.389999,9047400,34.947937
2012-07-02,43.259998,43.84,34.720001,36.419998,11494000,30.026041
2012-06-01,44.689999,48.599998,41.279999,43.490002,10205800,35.85482
2012-05-01,55.48,56.639999,45.00,46.18,11640900,37.861889
2012-04-02,57.290001,62.09,54.669998,55.490002,12003300,45.494938
2012-03-01,56.290001,59.849998,52.709999,57.57,9818800,47.200279
2012-02-01,49.360001,56.00,49.080002,55.610001,10878400,45.395126
2012-01-03,43.689999,50.68,41.77,49.110001,11234800,40.089096
2011-12-01,46.299999,47.290001,40.029999,42.73,9147600,34.881023
2011-11-01,45.169998,49.25,42.23,46.709999,13483000,38.129944
2011-10-03,37.049999,49.439999,36.200001,46.950001,19316100,38.325859
2011-09-01,46.970001,50.490002,37.75,38.34,21723600,31.297413
2011-08-01,48.400002,48.75,36.080002,46.57,22440600,38.015663
2011-07-01,42.59,48.470001,42.279999,47.18,16529800,38.513611
2011-06-01,41.639999,43.220001,37.23,42.209999,14973600,34.456539
2011-05-02,47.369999,48.25,39.59,41.540001,15510100,33.909611
2011-04-01,43.799999,47.080002,42.419998,47.009998,16394500,38.374836
2011-03-01,45.279999,45.939999,36.049999,42.220001,27915000,34.464703
2011-02-01,47.34,50.650002,43.650002,46.639999,24726700,38.072803
2011-01-03,47.259998,51.049999,44.110001,46.490002,28885200,37.950359
2010-12-01,51.759998,52.080002,41.700001,45.950001,33056700,37.509548
2010-11-01,46.349998,55.470001,44.099998,50.080002,44028200,40.88092
