Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.790001,18.92,18.299999,18.59,636000,17.977417
2013-03-01,18.18,19.43,17.76,18.870001,401300,18.248192
2013-02-01,15.73,18.52,15.00,18.32,487800,17.716314
2013-01-02,14.54,15.93,14.54,15.64,396000,15.090427
2012-12-03,14.79,15.26,13.30,14.15,544100,13.652784
2012-11-01,16.290001,17.059999,14.11,14.92,506900,14.355933
2012-10-01,14.71,17.129999,14.62,16.219999,431300,15.606785
2012-09-04,13.73,15.54,13.55,14.63,507000,14.076897
2012-08-01,12.09,14.76,11.46,13.80,436200,13.278276
2012-07-02,12.32,12.76,11.28,11.96,411100,11.507839
2012-06-01,13.65,14.03,10.95,12.29,916400,11.825363
2012-05-01,15.04,16.43,13.21,14.11,541500,13.576555
2012-04-02,14.87,15.44,13.43,15.07,534400,14.500262
2012-03-01,14.36,15.44,13.15,14.96,535900,14.394421
2012-02-01,13.33,15.00,13.19,14.29,567900,13.749751
2012-01-03,12.22,13.74,11.58,13.18,581100,12.681716
2011-12-01,10.22,13.85,10.22,11.90,800400,11.450108
2011-11-01,9.65,10.80,9.11,9.90,509000,9.52572
2011-10-03,7.40,11.00,6.76,10.16,643000,9.77589
2011-09-01,8.78,9.04,7.00,7.41,590100,7.129857
2011-08-01,8.98,9.04,6.86,8.80,848400,8.467306
2011-07-01,9.84,10.36,8.41,8.77,536800,8.438441
2011-06-01,11.01,11.13,8.88,9.87,1022800,9.496854
2011-05-02,11.84,11.84,10.50,11.07,558700,10.651486
2011-04-01,9.61,11.79,9.46,11.76,691600,11.3154
2011-03-01,10.04,10.06,8.52,9.55,682600,9.188952
2011-02-01,8.40,11.44,7.77,10.04,1076200,9.660427
2011-01-03,9.12,9.50,8.08,8.32,437500,8.005453
2010-12-01,7.74,9.41,7.67,9.02,478000,8.678989
2010-11-01,7.85,8.77,7.28,7.53,743200,7.24532
2010-10-01,8.46,8.99,7.55,7.77,655900,7.476247
2010-09-01,6.87,8.79,6.73,8.44,640800,8.120916
2010-08-02,8.81,8.92,6.47,6.70,827300,6.446699
2010-07-01,7.47,9.15,6.44,8.56,1038200,8.236381
2010-06-01,11.68,12.84,7.38,7.43,1336500,7.149101
2010-05-03,13.14,13.49,9.25,11.87,746100,11.421242
2010-04-01,12.74,14.93,12.50,13.04,762500,12.547009
2010-03-01,12.76,15.46,12.26,12.54,835700,12.065911
2010-02-01,10.24,13.72,9.04,12.61,884200,12.133265
2010-01-04,9.81,11.63,9.18,10.15,579600,9.766268
2009-12-01,9.65,11.07,9.37,9.53,560500,9.169707
2009-11-02,7.15,9.89,6.57,9.55,910700,9.188952
2009-10-01,8.61,9.50,7.00,7.10,685800,6.831577
2009-09-01,8.42,10.29,8.05,8.65,672600,8.322977
2009-08-03,6.86,9.90,6.70,8.47,1112600,8.149782
2009-07-01,4.68,6.83,4.30,6.77,774100,6.514053
