Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.59,15.62,15.55,15.56,75400,12.328387
2013-03-01,15.90,16.18,15.11,15.51,114400,12.288772
2013-02-01,16.200001,16.299999,15.81,15.87,62400,12.49897
2013-01-02,15.51,16.309999,15.51,16.15,76100,12.645317
2012-12-03,15.80,15.89,15.00,15.47,90000,12.041762
2012-11-01,15.96,16.34,14.29,15.77,112300,12.201146
2012-10-01,15.98,16.16,15.66,15.90,61300,12.229047
2012-09-04,15.70,16.00,15.61,15.99,60700,12.224834
2012-08-01,15.37,15.78,15.25,15.67,65400,11.90806
2012-07-02,15.08,15.51,15.07,15.39,60900,11.624242
2012-06-01,15.24,15.38,14.46,15.07,86100,11.312188
2012-05-01,15.24,15.70,15.04,15.22,61000,11.353049
2012-04-02,14.73,15.28,14.70,15.26,67800,11.312759
2012-03-01,15.19,15.37,14.00,14.72,102200,10.843966
2012-02-01,15.11,15.36,14.45,15.20,95200,11.127402
2012-01-03,14.41,15.24,14.38,15.07,89300,10.963644
2011-12-01,13.83,14.49,13.69,14.40,72600,10.408872
2011-11-01,13.63,14.05,13.62,13.75,56100,9.751363
2011-10-03,13.86,14.00,13.33,13.63,56300,9.599475
2011-09-01,13.51,13.90,13.38,13.86,49700,9.693375
2011-08-01,13.12,13.61,12.70,13.53,54900,9.396626
2011-07-01,13.61,13.78,12.78,12.97,66500,8.944223
2011-06-01,13.35,13.74,13.19,13.66,53500,9.354875
2011-05-02,12.83,13.48,12.80,13.34,66400,9.071675
2011-04-01,12.66,12.84,12.45,12.84,44200,8.669054
2011-03-01,12.53,12.75,12.30,12.65,45300,8.47996
2011-02-01,12.20,12.58,12.16,12.52,71000,8.332676
2011-01-03,12.41,12.52,11.34,12.21,109000,8.067469
2010-12-01,13.21,13.25,12.08,12.42,113300,8.145284
2010-11-01,14.03,14.31,12.07,13.24,116900,8.621426
2010-10-01,14.12,14.32,13.83,13.97,41800,9.03604
2010-09-01,14.19,14.40,13.70,14.08,43800,9.049672
2010-08-02,13.53,14.43,13.48,14.15,46900,9.037182
2010-07-01,13.33,13.55,13.11,13.48,35700,8.554937
2010-06-01,12.83,13.32,12.80,13.32,38800,8.399693
2010-05-03,13.47,13.60,10.12,12.83,60300,8.038713
2010-04-01,13.10,13.65,13.06,13.45,38300,8.373199
2010-03-01,12.82,13.59,12.72,13.10,48900,8.104488
2010-02-01,13.02,13.25,12.31,12.75,55700,7.835697
2010-01-04,12.65,13.17,12.49,13.00,47000,7.937578
2009-12-01,12.51,12.84,12.08,12.67,55200,7.685928
2009-11-02,12.07,12.62,11.91,12.56,53100,7.568205
2009-10-01,12.22,12.93,11.17,11.96,74100,7.157504
2009-09-01,11.43,12.79,11.39,12.22,68100,7.265342
2009-08-03,10.66,11.48,10.52,11.42,40000,6.745366
2009-07-01,9.92,10.64,9.91,10.63,35100,6.2355
2009-06-01,10.30,10.69,9.83,9.92,36700,5.77644
2009-05-01,9.81,10.76,9.79,10.34,32200,5.978526
2009-04-01,9.03,9.90,8.87,9.75,40800,5.597766
2009-03-02,9.55,9.65,8.30,9.04,148900,5.148005
2009-02-02,10.30,10.55,8.54,9.79,46400,5.52916
2009-01-02,7.72,10.22,7.71,10.22,50800,5.730388
2008-12-01,8.21,8.47,6.80,7.64,101200,4.250548
2008-11-03,9.34,10.90,7.50,8.27,58500,4.557316
2008-10-01,10.22,11.09,6.88,9.35,93000,5.11495
2008-09-02,13.42,13.48,9.50,10.34,63900,5.607881
2008-08-01,13.25,13.53,13.08,13.39,27300,7.221578
2008-07-01,13.60,13.77,13.05,13.24,34400,7.10026
2008-06-02,14.30,14.38,13.22,13.64,37600,7.274725
2008-05-01,14.53,14.60,14.23,14.26,33300,7.565055
2008-04-01,13.80,14.78,13.78,14.56,37300,7.683949
2008-03-03,13.45,14.14,13.21,13.74,56200,7.213432
2008-02-01,14.96,15.06,13.36,13.46,70500,7.027974
2008-01-02,13.68,14.98,13.60,14.93,60000,7.756669
2007-12-03,14.30,14.48,13.25,13.65,92000,7.055603
2007-11-01,15.21,15.27,13.66,14.29,53500,7.34781
2007-10-01,15.48,15.57,14.93,15.17,27200,7.759869
2007-09-04,15.06,15.50,14.99,15.43,27500,7.854378
2007-08-01,15.05,15.49,13.98,15.00,56100,7.598331
2007-07-02,15.59,15.85,14.94,15.05,39600,7.585207
2007-06-01,15.71,15.77,14.87,15.61,58100,7.82984
