Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.15,10.19,10.07,10.09,258000,7.564766
2013-03-01,10.21,10.38,9.89,10.14,142700,7.602252
2013-02-01,10.18,10.36,10.07,10.26,138200,7.652868
2013-01-02,10.18,10.60,10.06,10.20,181300,7.568927
2012-12-03,10.13,10.31,9.95,10.12,156900,7.471513
2012-11-01,10.38,10.46,9.37,10.19,184000,7.483404
2012-10-01,10.13,10.39,10.10,10.33,157300,7.546904
2012-09-04,9.96,10.23,9.92,10.12,176700,7.354795
2012-08-01,9.96,10.05,9.81,9.97,136400,7.207118
2012-07-02,9.83,9.96,9.75,9.96,108600,7.160775
2012-06-01,9.45,9.89,9.29,9.81,150000,7.01355
2012-05-01,9.56,9.64,9.30,9.54,117200,6.781112
2012-04-02,9.53,9.65,9.34,9.53,115200,6.735114
2012-03-01,9.67,9.78,9.35,9.57,146200,6.72439
2012-02-01,9.50,9.76,9.48,9.67,131500,6.756248
2012-01-03,9.16,9.60,9.13,9.51,114400,6.606313
2011-12-01,8.88,9.23,8.88,9.15,107300,6.318841
2011-11-01,8.84,9.10,8.69,8.93,137400,6.129844
2011-10-03,8.41,9.31,8.25,9.04,123500,6.16709
2011-09-01,9.16,9.18,8.49,8.53,127100,5.782465
2011-08-01,9.27,9.35,8.49,9.12,142300,6.143654
2011-07-01,9.37,9.57,8.90,9.18,137700,6.143557
2011-06-01,9.43,9.54,9.10,9.36,132500,6.225775
2011-05-02,9.26,9.44,9.22,9.43,123800,6.233469
2011-04-01,9.14,9.35,9.07,9.26,127400,6.083002
2011-03-01,9.17,9.32,8.95,9.14,164500,5.966113
2011-02-01,9.25,9.34,9.06,9.22,147700,5.981287
2011-01-03,9.46,9.47,9.03,9.26,178900,5.970098
2010-12-01,9.54,9.60,8.91,9.42,167800,6.03615
2010-11-01,9.83,9.85,8.98,9.51,163200,6.014421
2010-10-01,9.75,9.93,9.71,9.77,127500,6.141502
2010-09-01,9.65,9.80,9.48,9.78,140300,6.110775
2010-08-02,9.52,9.77,9.50,9.63,135000,5.980378
