Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.89,12.94,12.48,12.59,318000,12.104367
2013-03-01,13.25,14.02,12.60,12.88,184300,12.383181
2013-02-01,9.70,13.24,9.61,13.11,259300,12.604309
2013-01-02,10.29,10.57,9.56,9.62,95900,9.248928
2012-12-03,9.12,10.15,8.50,10.03,140500,9.643113
2012-11-01,10.11,10.17,8.38,9.03,99800,8.613936
2012-10-01,9.80,10.17,9.35,10.12,71300,9.653714
2012-09-04,9.40,10.71,9.34,9.71,132500,9.194355
2012-08-01,8.84,10.04,8.64,9.39,96500,8.891348
2012-07-02,8.52,9.56,8.30,8.80,77100,8.33268
2012-06-01,7.35,9.27,7.23,8.51,110500,7.992414
2012-05-01,8.42,8.70,6.94,7.51,99200,7.053236
2012-04-02,9.25,9.49,8.17,8.45,102800,7.936063
2012-03-01,9.75,10.08,8.63,9.28,102100,8.644559
2012-02-01,10.04,10.79,9.15,9.15,91000,8.52346
2012-01-03,8.56,10.69,8.23,9.93,143300,9.250051
2011-12-01,8.87,8.90,7.83,8.29,154100,7.664534
2011-11-01,8.91,9.64,7.68,8.88,109500,8.21002
2011-10-03,7.42,9.94,7.08,9.29,160800,8.589086
2011-09-01,8.84,9.09,7.03,7.43,224500,6.811969
2011-08-01,10.72,10.72,8.32,9.77,195200,8.957328
2011-07-01,11.61,11.77,10.40,10.58,129200,9.699951
2011-06-01,11.95,12.04,9.84,11.61,114100,10.574639
2011-05-02,12.45,12.57,11.06,11.96,110900,10.893427
2011-04-01,12.12,12.59,11.33,12.36,98800,11.257755
2011-03-01,11.73,12.74,11.32,12.08,117600,10.935518
2011-02-01,11.92,12.43,11.26,11.70,108000,10.59152
2011-01-03,13.14,13.70,11.49,11.82,128800,10.700151
2010-12-01,10.38,13.73,10.33,12.97,152200,11.675396
2010-11-01,9.32,10.79,9.10,10.21,149000,9.190886
2010-10-01,9.19,9.69,8.86,9.29,160800,8.362716
2010-09-01,9.09,9.52,7.85,9.08,328300,8.110595
2010-08-02,10.90,11.01,8.79,8.93,182400,7.976609
2010-07-01,10.18,11.32,9.74,10.68,208200,9.539775
2010-06-01,10.04,10.76,9.57,9.74,190700,8.642405
2010-05-03,11.22,11.78,9.31,10.15,226900,9.006202
2010-04-01,9.96,11.97,9.80,11.10,270200,9.849148
