Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.84,15.92,15.81,15.87,85400,12.70146
2013-03-01,16.51,16.51,15.35,15.87,103500,12.70146
2013-02-01,16.52,16.620001,16.32,16.459999,47400,13.096409
2013-01-02,15.81,16.889999,15.81,16.48,82800,13.037101
2012-12-03,15.82,16.00,15.15,15.79,99100,12.420448
2012-11-01,16.00,16.50,14.78,15.82,103500,12.369367
2012-10-01,16.370001,16.42,15.73,16.040001,67600,12.468108
2012-09-04,16.049999,16.42,15.91,16.389999,60000,12.665177
2012-08-01,15.44,16.049999,15.44,16.049999,81100,12.329309
2012-07-02,15.60,15.81,15.30,15.43,86400,11.78127
2012-06-01,15.51,15.75,14.97,15.62,72100,11.854129
2012-05-01,15.52,15.92,15.46,15.65,58100,11.804846
2012-04-02,14.72,15.53,14.72,15.49,63500,11.61417
2012-03-01,15.28,15.33,14.10,14.73,107300,10.975352
2012-02-01,15.24,15.44,14.54,15.25,105500,11.292159
2012-01-03,15.00,15.32,14.81,15.24,88400,11.214869
2011-12-01,14.24,14.99,14.22,14.87,52100,10.873656
2011-11-01,14.36,14.63,14.15,14.25,52600,10.311728
2011-10-03,14.48,14.50,14.06,14.36,51300,10.322342
2011-09-01,14.21,14.50,14.02,14.50,45000,10.353198
2011-08-01,13.81,14.35,13.01,14.21,60900,10.077918
2011-07-01,14.04,14.44,13.48,13.67,54900,9.629156
2011-06-01,13.85,14.31,13.80,14.05,41900,9.830988
2011-05-02,13.42,14.06,13.38,13.85,52200,9.625797
2011-04-01,13.02,13.43,13.01,13.40,50400,9.249714
2011-03-01,13.10,13.21,12.85,13.00,57100,8.912233
2011-02-01,13.23,13.60,12.97,13.10,57100,8.919417
2011-01-03,13.44,13.63,12.32,13.24,100800,8.954819
2010-12-01,14.07,14.11,12.85,13.42,121500,9.014011
2010-11-01,15.20,15.32,12.81,14.06,110400,9.380366
2010-10-01,14.95,15.40,14.93,15.14,58900,10.037731
2010-09-01,15.15,15.48,14.49,14.95,72800,9.85361
2010-08-02,14.64,15.43,14.57,15.14,62100,9.920824
2010-07-01,14.07,14.63,13.96,14.60,44900,9.51018
