Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,53.330002,53.91,52.16,53.240002,831600,25.874281
2013-03-01,52.700001,55.029999,52.380001,53.290001,226500,25.898581
2013-02-01,53.68,55.529999,51.810001,53.18,353900,25.845121
2013-01-02,51.139999,53.830002,50.189999,53.360001,316200,25.870665
2012-12-03,48.02,51.029999,46.650002,50.029999,286100,24.256172
2012-11-01,44.099998,48.48,42.43,47.759998,654000,23.155602
2012-10-01,46.41,51.41,43.540001,43.799999,737400,21.179068
2012-09-04,43.209999,48.48,42.52,45.470001,295900,21.98658
2012-08-01,42.740002,45.75,41.32,43.099998,219600,20.84059
2012-07-02,42.450001,44.369999,39.720001,42.630001,272100,20.566156
2012-06-01,41.619999,43.549999,39.889999,42.59,501900,20.546858
2012-05-01,45.599998,47.130001,42.00,42.48,514100,20.49379
2012-04-02,45.360001,47.279999,43.290001,45.709999,325300,22.001577
2012-03-01,46.369999,48.02,44.43,45.450001,340900,21.876432
2012-02-01,44.459999,49.860001,44.209999,46.00,373900,22.141165
2012-01-03,39.790001,44.98,38.16,44.209999,252600,21.233721
2011-12-01,37.830002,40.119999,36.599998,38.419998,265400,18.452829
2011-11-01,38.77,42.549999,35.560001,38.139999,435400,18.318348
2011-10-03,38.419998,46.330002,35.509998,40.450001,666400,19.375187
2011-09-01,46.970001,47.240002,38.220001,38.59,1016600,18.484264
2011-08-01,37.900002,47.720001,36.139999,47.130001,2329500,22.574848
2011-07-01,37.939999,46.25,36.43,37.529999,1235700,17.937572
2011-06-01,37.060001,37.939999,34.860001,37.91,375300,18.119196
2011-05-02,39.549999,39.549999,34.650002,37.18,425700,17.77029
2011-04-01,36.91,40.130001,34.599998,39.119999,342400,18.644789
2011-03-01,34.00,36.759998,32.369999,36.619999,425800,17.453278
2011-02-01,33.040001,34.189999,32.290001,33.98,308400,16.19504
2011-01-03,33.139999,33.68,31.08,32.700001,318800,15.537659
2010-12-01,31.15,33.860001,30.93,32.700001,239400,15.537659
2010-11-01,29.530001,31.15,28.90,30.49,273000,14.487559
2010-10-01,26.780001,30.25,25.65,29.40,326400,13.924355
2010-09-01,24.030001,26.59,23.68,26.49,283900,12.546127
2010-08-02,25.209999,26.290001,23.10,23.58,313900,11.1679
2010-07-01,24.48,25.85,23.360001,24.719999,491500,11.659345
2010-06-01,26.299999,27.35,23.92,24.60,440400,11.602746
2010-05-03,29.91,30.540001,24.60,26.51,445100,12.50361
2010-04-01,26.950001,31.200001,26.950001,29.65,406900,13.93009
2010-03-01,22.48,27.08,22.34,26.790001,431200,12.586412
2010-02-01,24.67,24.90,21.879999,22.379999,435000,10.514516
2010-01-04,25.26,26.620001,24.00,24.59,310400,11.503124
2009-12-01,23.799999,25.58,23.43,24.84,280500,11.620073
2009-11-02,23.780001,25.65,22.549999,23.51,284000,10.997904
2009-10-01,23.84,27.75,22.889999,23.66,332100,11.022262
2009-09-01,23.940001,25.799999,23.360001,23.870001,342100,11.120092
2009-08-03,24.00,25.32,22.780001,24.190001,397600,11.269168
2009-07-01,20.969999,24.790001,19.48,23.76,365400,11.02365
2009-06-01,22.639999,24.65,20.01,20.799999,356900,9.650332
2009-05-01,21.860001,24.440001,21.09,21.969999,593100,10.193164
2009-04-01,21.15,24.84,20.299999,21.969999,585700,10.14617
2009-03-02,17.639999,23.360001,16.01,21.690001,507200,10.016861
2009-02-02,19.860001,24.34,17.530001,18.07,581300,8.345075
2009-01-02,25.16,26.26,19.85,20.120001,627900,9.240807
2008-12-01,22.629999,25.530001,18.48,25.08,609700,11.518858
2008-11-03,22.75,25.030001,15.69,23.299999,521500,10.701331
2008-10-01,22.82,24.18,16.280001,22.870001,877400,10.451633
2008-09-02,28.190001,31.120001,22.700001,23.01,692700,10.515613
2008-08-01,25.83,28.60,24.85,28.049999,533300,12.818902
2008-07-01,31.92,33.330002,25.190001,25.67,597900,11.687563
2008-06-02,35.779999,36.02,31.76,32.200001,466800,14.660675
2008-05-01,32.41,36.73,32.150002,35.790001,485200,16.295204
2008-04-01,29.42,33.00,28.809999,32.369999,473300,14.696896
2008-03-03,28.809999,30.120001,26.459999,28.85,503300,13.098717
2008-02-01,28.07,31.209999,27.52,28.73,447300,13.044233
2008-01-02,29.139999,29.139999,23.57,28.00,545800,12.670753
2007-12-03,30.110001,30.41,27.15,28.99,498600,13.118754
2007-11-01,35.16,35.299999,28.809999,30.23,503800,13.679888
2007-10-01,36.060001,38.59,31.50,35.959999,471000,16.217592
