Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,33.52,33.669998,32.490002,32.82,454600,31.647242
2013-03-01,35.759998,38.43,31.530001,33.52,290200,32.322227
2013-02-01,36.810001,39.119999,34.490002,36.040001,147500,34.698978
2013-01-02,31.26,37.50,30.120001,36.560001,221400,35.199631
2012-12-03,35.099998,35.48,28.25,30.68,205900,29.53842
2012-11-01,31.85,36.419998,28.809999,34.689999,194200,32.549358
2012-10-01,35.110001,35.110001,30.860001,31.690001,109800,29.734482
2012-09-04,35.02,37.310001,33.700001,33.720001,192800,31.639215
2012-08-01,23.610001,36.119999,21.75,35.16,362900,32.944866
2012-07-02,25.09,25.77,22.459999,23.440001,147100,21.963243
2012-06-01,27.129999,27.629999,23.17,25.02,280500,23.443701
2012-05-01,28.52,29.969999,23.809999,27.700001,425000,25.905886
2012-04-02,24.52,29.879999,24.35,28.35,328500,26.513784
2012-03-01,21.370001,24.82,20.58,24.549999,149100,22.503616
2012-02-01,18.49,21.82,18.370001,21.40,171900,19.616188
2012-01-03,18.76,20.23,17.98,18.41,195600,16.875422
2011-12-01,17.58,19.66,17.01,18.17,179900,16.655426
2011-11-01,16.00,17.75,13.92,15.73,104500,14.395381
2011-10-03,12.03,17.799999,11.55,16.73,127700,15.310535
2011-09-01,14.52,16.08,12.11,12.18,149600,11.146583
2011-08-01,16.540001,16.870001,10.93,13.76,147400,12.566492
2011-07-01,17.18,17.969999,15.64,16.18,100600,14.776587
2011-06-01,16.549999,17.469999,14.99,17.110001,123000,15.625921
2011-05-02,16.690001,17.209999,15.53,16.559999,96600,15.09458
2011-04-01,14.84,17.559999,14.43,16.690001,128700,15.213077
2011-03-01,14.13,15.00,12.68,14.68,85900,13.35722
2011-02-01,14.55,15.03,13.49,14.07,78500,12.802185
2011-01-03,16.389999,16.700001,14.08,14.41,137000,13.111548
2010-12-01,12.30,17.09,12.30,16.139999,193300,14.685661
2010-11-01,11.23,12.50,10.77,12.00,66500,10.918708
2010-10-01,10.99,11.74,10.65,11.24,79000,10.227189
2010-09-01,10.38,11.65,9.50,10.88,115600,9.899629
2010-08-02,11.55,11.87,10.00,10.14,80900,9.226309
2010-07-01,10.66,12.76,9.51,11.36,123600,10.336376
2010-06-01,12.16,12.64,10.45,10.68,168700,9.71765
2010-05-03,12.50,13.97,10.65,12.28,192800,11.173477
2010-04-01,11.83,13.76,10.96,12.41,199500,11.291763
2010-03-01,12.85,14.63,10.92,11.28,186200,10.263585
2010-02-01,10.95,13.35,10.01,12.80,135600,11.646622
2010-01-04,9.92,11.95,9.73,10.93,167700,9.945124
2009-12-01,10.43,10.95,8.66,9.72,253600,8.844153
2009-11-02,10.66,11.43,10.13,10.29,132000,9.362792
2009-10-01,14.39,15.06,10.18,10.48,144500,9.535671
2009-09-01,12.81,15.10,11.43,14.53,159200,13.220736
2009-08-03,14.30,14.45,11.48,12.85,118600,11.692117
2009-07-01,10.61,15.56,9.12,14.28,155200,12.993262
2009-06-01,7.73,13.00,7.73,10.54,228800,9.590265
2009-05-01,9.23,9.62,6.99,7.58,157400,6.896984
2009-04-01,7.43,9.70,6.13,9.17,264700,8.343713
2009-03-02,5.59,8.38,4.65,7.54,183700,6.860588
2009-02-02,7.55,8.65,5.49,5.71,193700,5.195485
2009-01-02,9.52,11.05,7.35,7.68,283600,6.987973
2008-12-01,13.39,13.78,5.94,9.39,607500,8.491601
2008-11-03,15.33,15.76,10.42,13.50,193100,12.208371
2008-10-01,22.34,22.34,11.54,15.21,226200,13.754766
2008-09-02,23.66,26.17,21.030001,22.35,247700,20.117136
2008-08-01,21.709999,25.91,20.15,23.190001,167400,20.873215
2008-07-01,19.690001,23.18,18.41,21.50,140900,19.352055
2008-06-02,22.17,22.32,19.620001,19.799999,225500,17.747902
2008-05-01,21.639999,23.09,20.40,22.200001,156600,19.899164
2008-04-01,19.75,22.549999,18.84,21.84,232000,19.576475
2008-03-03,19.23,23.08,17.16,19.49,323100,17.397051
2008-02-01,24.280001,26.50,19.219999,19.26,272500,17.19175
2008-01-02,25.129999,25.77,20.299999,24.219999,324100,21.619116
2007-12-03,27.57,32.93,24.65,25.290001,223200,22.497004
2007-11-01,29.940001,30.040001,26.280001,27.700001,175900,24.640844
2007-10-01,31.92,34.830002,29.40,30.09,155300,26.766895
2007-09-04,29.35,34.990002,28.68,31.92,173900,28.324509
2007-08-01,28.16,32.00,26.540001,29.50,212700,26.177099
2007-07-02,34.02,34.889999,27.709999,28.24,143700,25.059027
2007-06-01,33.75,34.740002,32.23,33.740002,180500,29.868599
2007-05-01,32.889999,34.02,32.009998,33.330002,173500,29.505644
2007-04-02,29.719999,33.50,29.469999,32.919998,241000,29.142685
2007-03-01,28.799999,35.400002,27.43,29.450001,388900,26.005297
2007-02-01,28.889999,30.50,27.75,29.50,152500,26.049448
2007-01-03,28.51,29.32,27.33,28.700001,191600,25.343023
2006-12-01,25.030001,29.68,24.60,29.00,379800,25.554302
2006-11-01,25.809999,26.84,24.51,25.01,105200,22.038383
2006-10-02,25.50,27.290001,25.25,25.75,138200,22.690458
2006-09-01,22.40,25.950001,20.549999,25.42,230400,22.348488
2006-08-01,22.59,23.950001,20.82,22.49,112800,19.772522
2006-07-03,22.50,23.799999,20.860001,22.530001,174400,19.807688
2006-06-01,20.15,24.959999,20.09,22.950001,318700,20.124029
2006-05-01,19.77,20.26,17.91,18.690001,117400,16.388588
2006-04-03,23.58,24.98,19.09,19.67,214000,17.247913
2006-03-01,21.870001,23.17,19.700001,23.08,135600,20.181959
2006-02-01,18.90,22.84,18.84,21.799999,141200,19.062683
2006-01-03,18.40,19.57,18.00,18.889999,63400,16.518076
2005-12-01,18.85,19.450001,17.60,18.299999,97300,15.959003
2005-11-01,17.530001,18.77,17.01,18.450001,95300,16.089817
2005-10-03,18.620001,18.75,16.49,17.530001,95100,15.287506
2005-09-01,19.59,20.379999,17.68,18.719999,90600,16.277374
2005-08-01,19.370001,20.00,18.16,19.49,63700,16.946903
2005-07-01,18.879999,19.60,17.299999,19.32,77900,16.799086
2005-06-01,16.860001,19.700001,16.860001,18.879999,92200,16.372152
2005-05-02,16.15,17.700001,15.24,16.860001,49100,14.620471
2005-04-01,18.690001,18.690001,15.81,16.07,81100,13.935407
2005-03-01,18.620001,19.799999,17.68,18.50,79100,15.997052
2005-02-01,18.25,19.700001,17.379999,18.620001,64200,16.100817
2005-01-03,18.82,19.01,17.25,18.23,57400,15.763581
2004-12-01,18.379999,18.950001,17.00,18.65,69300,16.09104
2004-11-01,17.450001,19.40,17.209999,18.40,65900,15.875342
2004-10-01,17.049999,17.860001,15.26,17.25,59700,14.883134
2004-09-01,14.30,17.629999,14.30,17.00,59500,14.630161
2004-08-02,15.06,15.06,12.99,14.35,44500,12.349578
2004-07-01,17.049999,17.15,14.09,15.01,49600,12.917572
2004-06-01,30.49,33.00,15.90,17.25,64300,14.808127
2004-05-03,29.40,31.52,29.40,30.700001,44800,13.177088
2004-04-01,29.799999,30.60,29.200001,30.00,45400,12.876633
2004-03-01,30.51,30.85,27.559999,29.940001,75900,12.816264
2004-02-02,28.52,31.50,25.57,30.51,91200,13.060262
2004-01-02,28.48,32.50,28.40,28.52,79700,12.208412
2003-12-01,27.24,30.75,27.10,28.23,48600,12.060989
2003-11-03,24.200001,27.629999,24.10,27.190001,38500,11.61666
2003-10-01,21.860001,24.40,21.799999,24.049999,35300,10.275126
2003-09-02,24.00,24.530001,20.15,21.90,47800,9.333217
2003-08-01,23.049999,24.120001,21.50,23.90,17500,10.185565
2003-07-01,21.799999,24.43,21.50,23.10,33800,9.844626
2003-06-02,22.90,22.98,19.459999,21.75,42800,9.245379
2003-05-01,20.50,23.139999,20.41,22.98,36400,9.768222
2003-04-01,19.00,20.50,18.26,20.50,32100,8.714036
2003-03-03,19.549999,19.58,17.719999,19.00,29800,8.063583
2003-02-03,18.299999,20.219999,17.530001,19.50,28500,8.275784
2003-01-02,19.059999,19.91,17.299999,18.34,34800,7.78348
2002-12-02,17.85,19.200001,17.85,18.809999,67800,7.970685
2002-11-01,17.10,17.799999,16.200001,17.799999,70000,7.542701
2002-10-01,16.290001,17.43,14.60,17.059999,31800,7.229128
2002-09-03,18.40,18.700001,15.95,16.25,43900,6.872075
2002-08-01,20.15,20.18,17.90,18.209999,35500,7.700952
2002-07-01,24.40,24.41,17.799999,19.99,45600,8.453709
2002-06-03,21.799999,25.15,19.51,25.15,60300,10.62158
2002-05-01,22.799999,25.200001,20.110001,21.50,58200,9.080079
2002-04-01,21.799999,22.90,21.35,22.799999,46000,9.629107
2002-03-01,18.299999,22.17,18.299999,21.950001,61000,9.25793
2002-02-01,17.60,18.549999,17.200001,18.40,73400,7.760633
2002-01-02,19.25,19.25,16.75,17.700001,52300,7.465392
2001-12-03,18.299999,19.59,18.299999,19.200001,34200,8.08417
2001-11-01,16.50,18.50,15.90,18.50,25400,7.789434
2001-10-01,15.75,19.799999,15.15,16.299999,36200,6.863123
2001-09-04,18.049999,19.50,14.00,15.50,60200,6.515841
2001-08-01,18.98,19.40,18.049999,18.25,56600,7.671877
2001-07-02,20.00,20.00,18.200001,18.940001,73900,7.961937
2001-06-01,17.85,21.00,16.27,20.200001,92200,8.477894
2001-05-01,15.44,19.17,14.97,17.85,80100,7.491604
2001-04-02,13.9375,15.45,12.50,15.38,60400,6.454951
2001-03-01,15.01562,16.0625,13.125,13.9375,43600,5.836392
2001-02-01,13.875,17.00,12.50,15.0625,54900,6.307491
2001-01-02,15.21876,15.875,11.50,13.875,42700,5.81022
2000-12-01,12.00,16.25,11.75,15.25,108200,6.37268
2000-11-01,14.50,14.75,11.625,11.9375,62600,4.988451
2000-10-02,17.375,17.50,13.4375,14.375,110000,6.007034
2000-09-01,14.00,17.4375,13.75,17.375,91500,7.247826
2000-08-01,13.5625,14.50,12.875,14.00,50300,5.839975
2000-07-03,11.78124,14.9375,10.875,13.75,176100,5.73569
2000-06-01,9.625,12.50,9.4375,12.00,132200,4.994185
2000-05-01,8.75,9.75,7.5625,9.5625,350200,3.979741
2000-04-03,10.50,10.5625,8.46876,8.625,135800,3.589571
2000-03-01,17.625,18.9375,9.8125,10.0625,485700,4.176812
2000-02-01,19.00,19.25,16.125,18.00,130300,7.471563
2000-01-03,22.00,24.50,18.4375,19.00,83200,7.886651
