Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.46,14.48,14.34,14.41,8400,11.099005
2013-03-01,14.77,14.83,14.02,14.35,10800,11.052792
2013-02-01,14.38,14.88,14.31,14.79,11500,11.391692
2013-01-02,14.04,14.50,13.82,14.38,13800,11.075898
2012-12-03,14.36,14.53,13.78,13.91,13200,10.71389
2012-11-01,14.41,14.79,14.00,14.37,14700,10.855497
2012-10-01,15.61,15.65,14.39,14.45,14800,10.915932
2012-09-04,14.88,16.139999,14.88,15.59,6100,11.566396
2012-08-01,14.93,15.41,14.64,14.78,8400,10.965446
2012-07-02,14.40,15.29,14.06,14.90,7700,11.054476
2012-06-01,14.34,15.06,14.10,14.40,7100,10.491857
2012-05-01,14.28,14.78,13.70,14.29,8800,10.411711
2012-04-02,15.00,15.65,14.11,14.18,10400,10.137173
2012-03-01,15.17,15.34,14.75,14.96,9900,10.694788
2012-02-01,15.55,15.62,15.20,15.20,6800,10.866363
2012-01-03,15.74,16.200001,15.00,15.43,14200,11.030787
2011-12-01,15.95,16.35,15.65,15.85,7200,11.331042
2011-11-01,15.66,16.33,15.20,15.89,11000,11.066035
2011-10-03,14.90,16.309999,14.81,15.67,7300,10.912824
2011-09-01,15.23,15.39,14.61,15.12,5000,10.353538
2011-08-01,15.67,15.67,13.06,15.18,12200,10.394623
2011-07-01,14.90,16.23,14.90,15.38,9800,10.531574
2011-06-01,15.05,15.40,14.35,14.94,8100,10.053445
2011-05-02,14.55,15.34,14.48,15.05,8400,10.127466
2011-04-01,14.81,14.90,13.90,14.62,7500,9.83811
2011-03-01,15.60,15.84,14.25,14.80,7900,9.774426
2011-02-01,14.36,16.00,14.00,15.68,7400,10.355608
2011-01-03,14.13,14.93,13.69,14.10,9900,9.312122
2010-12-01,13.99,14.20,13.25,13.88,9900,9.166826
2010-11-01,13.87,14.34,13.25,13.99,8500,9.074366
2010-10-01,13.88,14.29,13.50,14.00,6100,9.080853
2010-09-01,13.18,13.84,12.92,13.83,9900,8.812874
2010-08-02,12.69,13.93,12.52,13.05,8200,8.315836
2010-07-01,13.00,13.19,12.36,12.67,5000,8.073689
2010-06-01,12.66,13.50,12.00,12.91,10700,8.066821
2010-05-03,12.26,13.41,12.05,12.56,11600,7.848124
2010-04-01,12.41,12.95,12.11,12.33,9100,7.704408
2010-03-01,12.37,12.63,12.10,12.50,7200,7.657483
2010-02-01,12.61,12.75,11.95,12.36,6100,7.571719
2010-01-04,12.00,14.00,11.79,12.62,9000,7.730994
2009-12-01,11.50,12.53,11.25,12.20,8400,7.473703
