Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.30,14.34,14.10,14.12,131000,11.486817
2013-03-01,14.66,14.67,13.32,14.23,79700,11.576303
2013-02-01,15.01,15.14,14.54,14.61,40600,11.826349
2013-01-02,14.54,15.26,14.44,14.90,58900,12.004661
2012-12-03,15.96,15.96,14.21,14.44,73400,11.579755
2012-11-01,15.25,16.34,14.73,15.69,60600,12.523907
2012-10-01,15.14,15.47,14.63,15.13,49300,12.07691
2012-09-04,14.61,15.14,14.31,15.09,45300,11.988011
2012-08-01,14.89,14.95,14.10,14.53,51900,11.488347
2012-07-02,14.06,14.85,14.05,14.78,57500,11.629047
2012-06-01,13.93,14.28,13.87,14.05,50400,11.00131
2012-05-01,13.94,14.03,13.75,13.91,45900,10.837654
2012-04-02,13.69,14.11,13.53,13.93,32400,10.798698
2012-03-01,14.28,14.35,12.91,13.56,69300,10.459235
2012-02-01,14.57,14.60,13.53,14.20,57900,10.899233
2012-01-03,13.70,14.32,13.53,14.29,57600,10.916301
2011-12-01,13.17,13.85,13.04,13.70,43500,10.413188
2011-11-01,12.53,13.20,12.50,13.04,45200,9.859715
2011-10-03,12.88,12.96,12.07,12.47,45000,9.379107
2011-09-01,12.32,12.84,12.14,12.84,50400,9.604264
2011-08-01,11.77,12.27,11.05,12.26,49400,9.120818
2011-07-01,11.85,12.26,11.50,11.62,37500,8.595333
2011-06-01,11.82,12.15,11.65,11.78,38600,8.664917
2011-05-02,11.59,11.81,11.44,11.79,39900,8.621827
2011-04-01,11.33,11.65,11.06,11.59,31100,8.426227
2011-03-01,11.27,11.47,11.03,11.27,48400,8.144575
2011-02-01,10.96,11.30,10.80,11.27,50300,8.095171
2011-01-03,11.34,11.36,10.25,10.93,83700,7.803348
2010-12-01,12.17,12.21,10.73,11.35,97000,8.05353
2010-11-01,12.97,13.01,11.01,12.19,66300,8.5974
2010-10-01,13.38,13.47,12.82,12.97,39400,9.099489
2010-09-01,13.56,13.62,12.94,13.41,48000,9.360285
2010-08-02,13.03,13.56,13.03,13.56,49000,9.418116
2010-07-01,12.50,13.27,12.50,13.03,56400,9.004345
2010-06-01,12.40,12.66,12.37,12.55,39500,8.626817
2010-05-03,12.50,12.60,12.09,12.39,45100,8.471581
2010-04-01,12.32,12.54,12.07,12.52,53100,8.514065
2010-03-01,11.92,12.27,11.85,12.27,55800,8.298492
2010-02-01,11.77,11.97,11.74,11.94,43400,8.030738
2010-01-04,11.73,11.92,11.72,11.78,48200,7.881981
2009-12-01,11.65,11.83,11.60,11.76,47400,7.827396
2009-11-02,11.65,11.67,11.15,11.57,46800,7.66047
2009-10-01,11.97,12.28,11.15,11.58,72500,7.626042
2009-09-01,11.14,12.07,11.14,11.97,68900,7.841282
2009-08-03,10.84,11.22,10.72,11.16,44500,7.271763
2009-07-01,10.24,11.20,10.11,10.79,37700,6.993837
2009-06-01,10.57,10.66,10.10,10.30,43400,6.639837
2009-05-01,10.20,10.71,10.16,10.57,33600,6.77567
2009-04-01,9.55,10.34,9.55,10.16,33200,6.481953
2009-03-02,9.81,10.00,9.33,9.61,60200,6.099905
2009-02-02,9.62,10.33,8.82,9.74,53000,6.150555
2009-01-02,8.51,9.83,8.51,9.65,60300,6.063733
2008-12-01,8.05,8.63,6.59,8.58,85000,5.363761
2008-11-03,8.62,9.61,7.75,8.12,56600,5.040844
2008-10-01,8.80,9.50,5.99,8.75,68700,5.402164
2008-09-02,10.71,10.92,8.67,8.76,56600,5.372041
2008-08-01,10.66,10.84,10.60,10.67,31800,6.51316
2008-07-01,11.09,11.19,10.61,10.62,37300,6.452487
2008-06-02,11.37,11.55,10.69,11.01,39100,6.659364
2008-05-01,11.43,11.55,11.27,11.36,36200,6.840738
2008-04-01,10.99,11.53,10.99,11.46,26200,6.871056
2008-03-03,10.85,11.44,10.59,10.98,61200,6.554056
2008-02-01,11.95,12.05,10.75,10.85,55100,6.447127
2008-01-02,11.63,12.20,11.59,11.94,53900,7.065272
2007-12-03,11.55,11.63,11.29,11.60,95600,6.835791
2007-11-01,11.58,11.74,11.04,11.53,49400,6.76505
2007-10-01,12.00,12.03,11.55,11.60,38400,6.776191
2007-09-04,11.97,12.28,11.76,12.00,36300,6.980449
2007-08-01,12.10,12.20,11.28,11.94,31000,6.917104
2007-07-02,12.09,12.18,11.86,12.12,26500,6.991806
2007-06-01,12.40,12.42,11.95,12.10,33800,6.951257
2007-05-01,12.64,12.73,12.37,12.42,24800,7.105535
2007-04-02,12.59,12.69,12.48,12.67,19800,7.220023
2007-03-01,12.60,12.75,12.57,12.60,21100,7.151753
2007-02-01,12.51,12.65,12.48,12.65,34000,7.151931
2007-01-03,12.59,12.70,12.31,12.52,25200,7.050255
2006-12-01,12.85,12.99,12.43,12.64,41400,7.089517
2006-11-01,12.88,12.96,12.64,12.88,30500,7.19582
2006-10-02,12.84,12.95,12.72,12.93,22500,7.192468
2006-09-01,12.84,12.99,12.60,12.87,28100,7.128038
2006-08-01,12.25,12.89,12.24,12.86,27600,7.091628
2006-07-03,11.94,12.31,11.89,12.27,23400,6.735568
2006-06-01,12.44,12.59,11.85,11.96,24000,6.535034
2006-05-01,12.42,12.50,12.16,12.48,24900,6.788345
2006-04-03,12.74,12.74,12.22,12.47,35800,6.750502
2006-03-01,12.81,12.83,12.45,12.69,32400,6.837301
2006-02-01,12.67,12.82,12.59,12.81,38500,6.869508
2006-01-03,12.40,12.81,12.40,12.67,40700,6.763016
2005-12-01,12.59,12.90,12.31,12.43,57500,6.604133
2005-11-01,12.87,12.93,12.44,12.69,28300,6.70687
2005-10-03,13.31,13.31,12.59,12.86,31500,6.760861
2005-09-01,13.58,13.70,13.15,13.30,36700,6.956665
2005-08-01,13.50,13.62,13.32,13.58,33200,7.068178
2005-07-01,13.42,13.64,13.12,13.56,36700,7.020377
2005-06-01,13.04,13.50,13.03,13.47,37500,6.936643
2005-05-02,12.57,13.09,12.53,13.09,42600,6.704434
2005-04-01,12.32,12.62,12.32,12.58,29100,6.407092
2005-03-01,12.86,13.07,12.06,12.30,33100,6.228603
2005-02-01,12.93,13.20,12.64,12.87,38800,6.480729
2005-01-03,12.30,12.93,12.29,12.92,38700,6.470285
2004-12-01,12.40,12.57,12.23,12.33,40600,6.139475
2004-11-01,12.63,12.86,12.17,12.38,39300,6.129006
2004-10-01,12.51,12.75,12.46,12.69,29300,6.245613
2004-09-01,12.45,12.75,12.36,12.54,43800,6.136936
2004-08-02,12.04,12.46,12.03,12.44,37300,6.052761
2004-07-01,11.69,12.08,11.66,12.05,31100,5.828374
2004-06-01,11.80,11.87,11.50,11.67,36600,5.610848
2004-05-03,11.81,11.90,11.26,11.80,44900,5.638557
2004-04-01,13.01,13.05,11.75,11.80,71900,5.603101
2004-03-01,13.14,13.22,12.94,13.02,32700,6.146303
2004-02-02,12.88,13.20,12.82,13.11,41200,6.155006
2004-01-02,12.60,13.08,12.54,12.84,39500,5.994985
2003-12-01,12.30,12.65,12.26,12.63,31800,5.865608
2003-11-03,12.25,12.40,12.15,12.34,21600,5.699575
2003-10-01,12.41,12.45,12.08,12.18,30200,5.594522
2003-09-02,12.02,12.41,11.95,12.41,32100,5.668421
2003-08-01,12.04,12.16,11.84,12.03,29600,5.464047
2003-07-01,12.81,12.86,11.90,12.05,62300,5.442399
2003-06-02,12.80,13.25,12.55,12.81,59500,5.754245
2003-05-01,12.44,12.84,12.35,12.83,55500,5.733011
2003-04-01,12.10,12.40,11.97,12.40,30300,5.510965
2003-03-03,12.08,12.38,11.88,12.10,42300,5.347363
2003-02-03,11.90,12.13,11.87,12.12,25300,5.326663
2003-01-02,12.08,12.10,11.64,11.91,23300,5.204831
2002-12-02,11.65,12.14,11.61,12.14,40500,5.275041
2002-11-01,11.77,12.00,11.53,11.68,34400,5.046248
2002-10-01,12.45,12.45,11.47,11.75,41600,5.048147
2002-09-03,12.30,12.50,12.21,12.49,32700,5.336603
2002-08-01,11.89,12.27,11.89,12.27,27800,5.215034
2002-07-01,11.97,12.20,11.82,11.93,32300,5.043599
2002-06-03,11.63,11.98,11.61,11.97,29300,5.03346
2002-05-01,11.60,11.66,11.44,11.63,30400,4.863639
2002-04-01,11.26,11.63,11.25,11.61,23700,4.827927
2002-03-01,11.96,11.97,11.14,11.26,42300,4.656054
2002-02-01,12.02,12.12,11.83,11.96,23200,4.917699
2002-01-02,11.57,12.05,11.46,12.04,36500,4.923733
2001-12-03,11.87,11.95,11.25,11.54,45300,4.692087
2001-11-01,12.08,12.42,11.66,11.83,40100,4.782597
2001-10-01,12.03,12.45,11.96,12.07,28300,4.854487
2001-09-04,12.32,12.35,10.95,12.08,46300,4.833522
2001-08-01,11.85,12.38,11.82,12.32,32600,4.929553
2001-07-02,11.54,11.86,11.54,11.80,26700,4.697106
2001-06-01,11.39,11.60,11.33,11.53,26100,4.565843
2001-05-01,11.53,11.70,11.25,11.38,27000,4.483656
2001-04-02,11.77,11.82,11.51,11.60,19600,4.547365
2001-03-01,11.92,11.97,11.61,11.78,22400,4.594326
2001-02-01,12.85,12.95,11.56,11.82,51100,4.587901
2001-01-02,11.4375,12.88,11.4375,12.82,46100,4.953018
2000-12-01,11.1875,11.8125,11.0625,11.375,82400,4.371419
2000-11-01,11.50,11.5625,10.8125,11.25,37300,4.298055
2000-10-02,11.9375,12.00,11.1875,11.50,32300,4.366807
2000-09-01,11.9375,12.25,11.75,12.125,26000,4.57788
2000-08-01,11.9375,12.0625,11.625,11.875,23500,4.458716
2000-07-03,11.375,11.9375,11.3125,11.875,27400,4.433821
2000-06-01,10.6875,11.50,10.625,11.50,27500,4.269059
2000-05-01,10.9375,11.00,10.3125,10.6875,32700,3.943943
2000-04-03,10.875,11.25,10.6875,11.00,38900,4.033666
2000-03-01,10.8125,10.9375,10.25,10.9375,32400,3.986727
2000-02-01,10.9375,11.1875,10.75,10.875,37500,3.938802
2000-01-03,10.75,11.3125,10.75,10.9375,34600,3.937446
