Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.73,14.80,14.65,14.67,113800,12.019273
2013-03-01,15.31,15.38,14.14,14.80,48100,12.125783
2013-02-01,15.65,15.73,15.14,15.32,31700,12.489528
2013-01-02,15.11,16.059999,15.11,15.65,40100,12.697489
2012-12-03,16.57,16.629999,14.91,15.10,57000,12.193727
2012-11-01,17.00,17.120001,15.50,16.60,40800,13.343601
2012-10-01,15.69,16.950001,15.54,16.790001,41800,13.43468
2012-09-04,15.59,15.65,15.21,15.63,30300,12.448068
2012-08-01,15.40,15.56,14.96,15.43,45200,12.230266
2012-07-02,14.94,15.41,14.85,15.36,37000,12.115353
2012-06-01,14.75,15.05,14.52,14.81,29400,11.625036
2012-05-01,14.69,15.09,14.55,14.68,26100,11.465688
2012-04-02,14.19,14.76,14.07,14.52,27300,11.284662
2012-03-01,14.53,14.67,13.36,14.10,45700,10.901658
2012-02-01,14.80,15.04,14.15,14.44,49400,11.108178
2012-01-03,14.11,14.69,13.98,14.69,40600,11.244634
2011-12-01,13.75,14.12,13.63,14.12,28700,10.752389
2011-11-01,13.07,13.80,12.98,13.70,36400,10.376453
2011-10-03,13.53,13.53,12.72,12.99,34600,9.784282
2011-09-01,13.20,13.57,12.95,13.46,33100,10.079909
2011-08-01,12.39,13.18,11.69,13.06,32000,9.725612
2011-07-01,12.56,12.89,12.29,12.30,26300,9.105898
2011-06-01,12.85,12.95,12.53,12.57,22100,9.252151
2011-05-02,12.32,12.90,12.32,12.86,23500,9.410408
2011-04-01,12.12,12.33,11.92,12.29,18700,8.940279
2011-03-01,12.01,12.20,11.91,12.12,31500,8.762424
2011-02-01,11.66,12.01,11.55,12.01,39900,8.629353
2011-01-03,12.02,12.11,10.87,11.63,71400,8.303601
2010-12-01,13.15,13.27,11.56,12.10,80500,8.584624
2010-11-01,14.10,14.16,11.65,13.23,86900,9.32796
2010-10-01,14.56,14.56,13.74,14.09,36500,9.881878
2010-09-01,14.61,14.73,14.12,14.57,36200,10.165642
2010-08-02,14.12,14.56,14.12,14.54,41800,10.093745
2010-07-01,13.65,14.19,13.53,14.19,31000,9.79969
2010-06-01,13.56,13.92,13.37,13.63,28200,9.362476
2010-05-03,13.41,13.80,13.00,13.53,29900,9.244021
2010-04-01,13.40,13.80,13.13,13.40,30500,9.105388
2010-03-01,12.91,13.48,12.86,13.34,33800,9.014484
2010-02-01,12.89,12.98,12.74,12.87,39200,8.647605
