Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.450001,28.98,28.40,28.780001,113200,20.134405
2013-03-01,26.32,28.48,26.01,28.34,42400,19.826582
2013-02-01,26.26,26.99,25.25,26.440001,46800,18.497349
2013-01-02,24.040001,29.280001,24.040001,26.15,97200,18.294464
2012-12-03,27.16,27.41,22.549999,23.76,90900,16.207781
2012-11-01,30.15,30.40,22.16,27.16,142700,18.527077
2012-10-01,35.959999,36.939999,30.139999,30.299999,105900,20.669012
2012-09-04,33.860001,36.630001,31.68,35.84,65000,23.921505
2012-08-01,35.720001,36.470001,33.07,33.720001,58200,22.506506
2012-07-02,33.700001,38.169998,33.610001,35.099998,73400,23.427589
2012-06-01,35.349998,35.689999,31.299999,33.720001,79500,21.939365
2012-05-01,41.119999,41.34,34.25,35.709999,70400,23.234125
2012-04-02,41.540001,43.43,40.139999,40.959999,58600,26.64995
2012-03-01,41.950001,44.380001,40.099998,41.369999,55500,26.281324
2012-02-01,41.810001,42.00,38.00,41.950001,62000,26.649784
2012-01-03,40.099998,43.099998,40.040001,41.310001,71400,26.24321
2011-12-01,36.959999,39.970001,36.25,39.639999,43500,24.69062
2011-11-01,35.91,39.110001,34.07,36.959999,50600,23.021324
2011-10-03,36.959999,38.900002,32.740002,36.549999,81200,22.765947
2011-09-01,41.32,41.740002,37.00,37.119999,52800,22.567062
2011-08-01,44.790001,45.23,34.57,41.439999,118400,25.193401
2011-07-01,42.029999,46.759998,41.259998,43.529999,112200,26.464014
2011-06-01,39.900002,42.240002,38.23,41.84,71700,24.848089
2011-05-02,41.709999,41.91,36.400002,40.040001,107500,23.779099
2011-04-01,39.00,42.240002,38.810001,41.509998,136200,24.652105
2011-03-01,38.00,40.419998,35.049999,38.98,75800,22.690287
2011-02-01,39.16,40.720001,36.099998,37.98,100700,22.108187
2011-01-03,40.049999,43.73,34.110001,38.650002,285600,22.498196
2010-12-01,32.369999,40.00,31.65,39.869999,109100,22.83223
2010-11-01,29.450001,32.50,29.35,32.09,85500,18.376883
2010-10-01,30.02,31.549999,27.809999,29.280001,136800,16.767689
2010-09-01,27.84,31.379999,27.32,29.98,168000,16.832888
2010-08-02,28.58,29.17,27.00,27.290001,79200,15.322533
2010-07-01,25.719999,28.50,24.620001,28.50,90800,16.001911
2010-06-01,24.84,28.40,24.219999,25.780001,68600,13.975138
2010-05-03,26.389999,26.50,21.360001,24.85,88400,13.470991
2010-04-01,25.200001,27.73,24.719999,26.200001,88100,14.202816
2010-03-01,23.49,25.26,22.639999,25.26,64800,13.390898
2010-02-01,21.450001,23.469999,19.77,23.43,57600,12.420774
2010-01-04,20.75,23.07,20.52,21.459999,76900,11.376431
2009-12-01,18.99,20.709999,18.50,20.200001,40500,10.437347
2009-11-02,18.75,20.24,18.40,18.76,38900,9.693298
2009-10-01,16.60,19.700001,16.049999,18.83,56300,9.729467
2009-09-01,15.50,16.959999,14.33,16.799999,22200,8.406272
2009-08-03,13.75,15.54,13.75,15.35,15600,7.680731
2009-07-01,14.43,14.63,13.15,13.75,18100,6.880134
2009-06-01,14.74,14.84,12.98,14.44,21100,6.987129
2009-05-01,11.09,14.70,11.00,14.70,26900,7.112936
2009-04-01,11.40,12.91,10.27,11.15,22400,5.395186
2009-03-02,9.09,12.75,8.42,11.40,27900,5.323549
2009-02-02,10.70,11.08,8.75,9.44,22400,4.408272
2009-01-02,7.83,11.49,7.83,10.71,28300,5.001334
2008-12-01,10.20,10.48,6.79,7.85,38500,3.635348
2008-11-03,11.47,12.10,8.96,10.11,30200,4.681958
2008-10-01,14.82,15.38,9.06,11.45,61700,5.302515
2008-09-02,18.02,18.02,13.25,14.67,48400,6.793702
2008-08-01,19.18,19.50,16.41,18.450001,61600,8.544227
2008-07-01,27.76,29.50,18.00,19.17,160100,8.87766
2008-06-02,23.73,28.75,23.709999,28.75,67800,12.993685
2008-05-01,22.200001,24.10,21.860001,23.92,40200,10.810745
2008-04-01,21.50,24.889999,21.48,21.85,59000,9.8752
2008-03-03,23.790001,24.379999,20.559999,21.700001,38700,9.588439
2008-02-01,21.76,24.99,20.299999,23.889999,103100,10.55612
2008-01-02,24.65,25.299999,19.25,21.530001,51500,9.513322
2007-12-03,23.50,24.65,23.190001,24.639999,16900,10.599146
2007-11-01,24.40,24.860001,23.15,23.59,19400,10.147478
2007-10-01,24.700001,25.049999,23.09,24.389999,38800,10.491606
2007-09-04,24.549999,25.059999,23.549999,24.629999,54600,10.027613
2007-08-01,24.799999,25.74,21.50,24.549999,43900,9.995043
2007-07-02,24.799999,27.530001,24.15,25.25,50800,10.280034
2007-06-01,22.76,24.950001,22.700001,24.90,43600,9.869408
2007-05-01,23.00,23.60,21.809999,22.700001,43300,8.997413
2007-04-02,23.85,24.42,22.85,23.059999,69300,9.140102
2007-03-01,22.700001,25.00,20.52,23.84,101400,9.240109
2007-02-01,23.799999,25.00,22.059999,22.700001,56200,8.798259
2007-01-19,21.50,25.09,20.10,23.790001,321900,8.841868
