Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.91,6.00,5.74,5.74,2939600,5.576868
2013-03-01,5.57,6.21,5.45,5.93,1562200,5.761468
2013-02-01,5.96,6.19,5.37,5.62,2055400,5.460279
2013-01-02,5.83,6.22,5.71,5.91,1208200,5.724811
2012-12-03,5.44,5.75,5.24,5.61,1121900,5.434211
2012-11-01,5.21,5.58,4.65,5.58,983900,5.405151
2012-10-01,4.93,5.22,4.60,5.21,970800,5.029541
2012-09-04,3.85,4.93,3.85,4.90,1210500,4.730278
2012-08-01,3.57,4.24,3.57,3.83,747500,3.69734
2012-07-02,3.46,3.80,3.33,3.54,879100,3.40189
2012-06-01,3.34,3.55,3.12,3.46,1157900,3.325011
2012-05-01,3.58,4.06,3.20,3.49,1066900,3.353841
2012-04-02,3.33,3.84,3.15,3.59,1390800,3.433511
2012-03-01,2.99,3.57,2.75,3.33,1494600,3.184844
2012-02-01,2.85,3.22,2.69,2.97,1666100,2.840537
2012-01-03,2.47,2.94,2.47,2.74,1518900,2.604241
2011-12-01,2.21,2.49,2.01,2.44,1797000,2.319105
2011-11-01,2.70,2.95,1.96,2.24,1782000,2.129014
2011-10-03,2.44,3.15,2.11,2.75,2061800,2.594304
2011-09-01,2.31,2.84,2.05,2.48,2175100,2.339591
2011-08-01,3.33,3.35,1.94,2.32,2829400,2.188649
2011-07-01,3.99,4.09,3.18,3.27,1242600,3.059509
2011-06-01,4.04,4.07,3.49,3.98,1420600,3.723806
2011-05-02,4.42,4.80,4.01,4.04,1420100,3.779943
2011-04-01,4.50,4.55,3.90,4.40,1068300,4.09921
2011-03-01,4.09,4.50,3.72,4.48,1460900,4.173741
2011-02-01,4.05,4.43,3.61,4.06,2450200,3.782453
2011-01-03,4.24,4.73,3.93,4.00,2101500,3.709177
2010-12-01,3.61,4.45,3.51,4.17,1686500,3.866817
2010-11-01,3.03,3.63,2.88,3.52,1595200,3.264076
2010-10-01,3.04,3.28,2.80,3.02,1492200,2.785336
2010-09-01,2.42,3.10,2.41,3.02,2054600,2.785336
2010-08-02,3.90,3.98,2.21,2.37,3208500,2.185843
2010-07-01,3.69,4.15,3.50,3.80,1195200,3.484764
2010-06-01,4.28,4.36,3.33,3.71,1833600,3.402231
2010-05-03,5.64,5.75,4.00,4.33,1518400,3.970797
2010-04-01,4.83,5.99,4.74,5.60,1717100,5.117598
2010-03-01,4.70,5.08,4.51,4.78,1251700,4.368235
2010-02-01,4.56,5.43,4.50,4.63,1817600,4.231156
2010-01-04,5.24,5.80,4.23,4.51,1418500,4.106745
2009-12-01,5.12,5.70,4.91,5.20,1267900,4.735049
2009-11-02,4.44,5.39,4.26,5.04,2864700,4.589355
2009-10-01,5.53,5.93,4.32,4.48,2658300,4.064887
2009-09-01,4.55,5.81,4.42,5.48,4131100,4.972228
2009-08-03,3.91,5.04,3.50,4.60,1203900,4.173768
2009-07-01,3.73,4.10,2.52,3.86,909200,3.486575
2009-06-01,3.72,4.42,3.42,3.74,1157200,3.378184
2009-05-01,4.19,5.17,3.40,3.61,1025200,3.26076
2009-04-01,3.21,4.38,3.05,4.19,1281400,3.771025
2009-03-02,2.09,3.69,1.48,3.30,2496300,2.97002
2009-02-02,6.64,7.12,1.95,2.15,2120500,1.935013
2009-01-02,8.40,8.47,6.29,6.77,727900,6.061434
2008-12-01,5.93,8.55,5.02,8.40,987400,7.520833
2008-11-03,6.96,7.29,3.40,6.16,808300,5.515278
2008-10-01,8.91,9.07,5.45,7.00,894900,6.249224
2008-09-02,11.11,12.71,8.13,8.98,860100,8.016862
2008-08-01,9.14,12.19,8.63,10.87,571500,9.704152
2008-07-01,8.16,9.50,7.12,9.10,587200,8.108727
2008-06-02,10.00,10.25,7.99,8.07,736600,7.190926
2008-05-01,8.03,10.53,7.94,10.13,480500,9.026528
2008-04-01,8.34,8.59,7.50,8.05,348100,7.158727
2008-03-03,8.04,9.24,7.17,8.18,509600,7.274334
2008-02-01,8.54,9.09,7.92,8.06,394000,7.16762
2008-01-02,9.52,9.60,6.64,8.49,519700,7.533658
2007-12-03,10.32,11.12,9.10,9.52,553500,8.447636
2007-11-01,11.53,11.82,8.98,10.47,571100,9.290625
2007-10-01,12.65,14.18,11.00,11.75,629100,10.407578
2007-09-04,12.30,13.33,11.59,12.39,502200,10.97446
2007-08-01,14.05,16.290001,12.00,12.36,865800,10.947886
2007-07-02,17.110001,17.15,13.80,14.04,620600,12.420468
2007-06-01,16.52,19.35,15.80,17.059999,823200,15.092107
2007-05-01,14.50,16.639999,14.06,16.40,634600,14.508239
2007-04-02,13.81,14.95,13.44,14.40,436900,12.72442
2007-03-01,14.69,15.14,13.56,13.81,520000,12.203073
2007-02-01,13.90,16.35,13.80,14.90,654200,13.16624
2007-01-03,15.10,15.50,13.49,13.75,774300,12.135656
2006-12-01,15.61,16.790001,14.50,14.87,1396800,13.12416
2006-11-01,16.09,16.34,13.02,15.50,990000,13.680194
2006-10-02,14.75,16.549999,14.07,15.97,365500,14.07608
2006-09-01,17.049999,17.60,14.10,14.61,683900,12.877365
2006-08-01,15.85,17.440001,14.65,17.00,452700,14.98393
2006-07-03,17.41,17.950001,14.50,15.85,532100,13.970311
2006-06-01,17.209999,18.450001,13.80,17.41,1162500,15.345306
2006-05-26,16.50,17.60,16.120001,17.280001,6517400,15.230724
