Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,60.860001,60.860001,59.130001,59.549999,1644000,51.088322
2013-03-01,57.029999,61.970001,56.349998,60.75,712500,52.117809
2013-02-01,55.099998,58.75,53.919998,57.169998,784000,49.046505
2013-01-02,51.919998,55.50,51.77,55.220001,704000,46.672264
2012-12-03,51.91,52.240002,48.25,51.009998,651200,43.113945
2012-11-01,54.77,54.990002,46.029999,51.68,1462100,43.680237
2012-10-01,54.400002,55.950001,53.360001,54.23,414000,45.147976
2012-09-04,53.00,54.900002,52.66,54.419998,386600,45.306156
2012-08-01,52.599998,54.00,50.09,53.099998,813700,44.207218
2012-07-02,49.18,55.040001,49.009998,52.57,484500,43.110924
2012-06-01,47.73,52.48,45.360001,49.310001,736500,40.437508
2012-05-01,60.220001,60.32,47.040001,47.939999,1022200,39.314014
2012-04-02,58.419998,60.310001,56.849998,60.150002,353100,48.6768
2012-03-01,60.220001,61.599998,55.27,58.450001,883800,47.301064
2012-02-01,58.360001,60.73,57.50,59.810001,478400,48.401653
2012-01-03,55.330002,58.330002,53.509998,57.959999,515300,46.297867
2011-12-01,53.419998,56.82,52.700001,55.060001,1035200,43.981377
2011-11-01,48.939999,54.93,48.619999,53.639999,476900,42.847095
2011-10-03,45.32,50.439999,42.18,49.830002,799200,39.226727
2011-09-01,48.139999,49.700001,44.509998,45.950001,316600,36.172344
2011-08-01,46.740002,48.509998,39.00,48.049999,501100,37.825489
2011-07-01,48.060001,50.060001,44.639999,46.360001,448000,36.495102
2011-06-01,47.52,48.689999,44.369999,48.240002,270900,37.403393
2011-05-02,51.110001,51.32,42.799999,47.52,409000,36.845131
2011-04-01,48.77,51.700001,48.18,50.990002,256300,39.535633
2011-03-01,45.299999,48.50,41.93,48.470001,308400,37.093082
2011-02-01,43.740002,44.900002,41.91,44.900002,277400,34.361034
2011-01-03,43.48,45.139999,40.799999,43.57,417600,32.849522
2010-12-01,42.459999,43.509998,40.790001,43.310001,254000,32.653496
2010-11-01,38.09,43.330002,38.060001,42.330002,312500,31.914627
2010-10-01,36.00,38.82,35.700001,38.119999,232500,28.275894
2010-09-01,33.689999,35.990002,33.459999,35.919998,228600,26.64402
2010-08-02,34.959999,35.700001,32.50,33.32,335700,24.715445
2010-07-01,32.490002,37.00,31.50,34.82,373900,25.828085
