Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.209999,25.219999,25.120001,25.16,82800,20.872612
2013-03-01,25.219999,25.43,24.99,25.15,29900,20.864317
2013-02-01,25.15,25.32,25.00,25.18,35000,20.56802
2013-01-02,25.23,25.379999,24.959999,25.15,32300,20.543514
2012-12-03,25.08,25.190001,24.76,24.99,29700,20.412821
2012-11-01,25.07,25.190001,24.90,25.08,20700,20.167841
2012-10-01,24.959999,25.129999,24.879999,25.07,24300,20.1598
2012-09-04,25.02,25.129999,24.610001,24.889999,31600,20.015055
2012-08-01,24.799999,25.02,24.76,25.02,30700,19.804922
2012-07-02,24.200001,24.969999,24.049999,24.83,46100,19.654526
2012-06-01,23.049999,24.610001,22.969999,23.799999,59200,18.839214
2012-05-01,24.42,24.52,22.15,23.57,65500,18.354336
2012-04-02,24.35,24.68,23.68,24.450001,43100,19.039606
2012-03-01,24.360001,24.98,23.65,24.27,49700,18.899437
2012-02-01,23.639999,24.82,23.51,24.360001,100500,18.6726
2012-01-03,21.10,23.49,21.00,23.48,87200,17.998055
2011-12-01,20.870001,22.290001,20.24,20.76,44000,15.913102
2011-11-01,21.75,22.60,19.870001,20.790001,51000,15.650796
2011-10-03,20.389999,22.58,18.10,22.049999,63700,16.599327
2011-09-01,23.780001,24.09,20.41,20.639999,56500,15.537873
2011-08-01,23.870001,24.42,18.25,23.68,57900,17.533537
2011-07-01,24.25,24.469999,23.15,23.77,39300,17.600176
2011-06-01,24.540001,24.60,23.799999,24.139999,33600,17.874136
2011-05-02,24.190001,24.780001,24.059999,24.59,32000,17.916759
2011-04-01,23.959999,24.379999,23.200001,24.18,33000,17.618027
2011-03-01,23.66,24.32,23.23,23.870001,33900,17.392155
2011-02-01,23.02,23.700001,23.02,23.700001,46000,16.987194
2011-01-03,22.809999,23.190001,22.43,23.190001,47900,16.621647
2010-12-01,24.07,24.440001,21.85,22.799999,65400,16.34211
2010-11-01,24.120001,24.68,23.440001,24.02,63100,16.93395
2010-10-01,24.15,24.49,23.530001,24.139999,113200,17.018549
2010-09-01,24.10,24.50,23.48,24.10,74900,16.990349
2010-08-02,23.41,24.25,23.209999,24.10,81300,16.718864
2010-07-01,21.389999,23.42,21.049999,23.309999,53200,16.170818
2010-06-01,20.879999,21.66,20.75,21.32,44600,14.790298
2010-05-03,21.77,21.799999,18.780001,20.959999,54900,14.27612
