Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.66,16.709999,16.42,16.51,64400,13.594146
2013-03-01,16.52,16.620001,15.52,16.530001,34500,13.610614
2013-02-01,17.01,17.219999,16.450001,16.49,24500,13.51527
2013-01-02,16.65,17.610001,16.65,17.08,27000,13.93808
2012-12-03,17.870001,17.940001,16.41,16.60,37100,13.488701
2012-11-01,17.790001,18.25,17.360001,17.799999,28900,14.402764
2012-10-01,17.639999,18.00,17.17,17.66,24600,14.230804
2012-09-04,16.99,17.790001,16.940001,17.51,27700,14.050673
2012-08-01,17.120001,17.290001,16.040001,16.889999,24700,13.495189
2012-07-02,16.43,17.110001,16.42,17.07,26600,13.579183
2012-06-01,16.15,16.549999,15.71,16.389999,19900,12.979874
2012-05-01,16.01,16.370001,15.84,16.120001,15600,12.708272
2012-04-02,15.81,16.139999,15.45,15.96,18300,12.524696
2012-03-01,16.16,16.440001,14.88,15.77,31800,12.318069
2012-02-01,15.98,16.40,15.71,16.17,28800,12.572994
2012-01-03,15.66,15.90,15.21,15.90,38100,12.307379
2011-12-01,14.78,15.63,14.75,15.60,25700,12.017551
2011-11-01,14.31,14.75,14.27,14.73,18500,11.282109
2011-10-03,14.29,14.35,13.97,14.23,19500,10.844387
2011-09-01,14.11,14.28,13.81,14.28,26700,10.826348
2011-08-01,13.67,14.13,13.23,14.03,23600,10.581663
2011-07-01,13.88,14.25,13.44,13.53,19400,10.149861
2011-06-01,13.98,14.07,13.67,13.81,14100,10.306801
2011-05-02,13.28,13.96,13.19,13.94,21100,10.348948
2011-04-01,13.19,13.28,12.83,13.26,18600,9.791821
2011-03-01,13.27,13.50,13.21,13.24,15300,9.722692
2011-02-01,13.33,13.41,13.08,13.25,24000,9.677304
2011-01-03,13.78,13.78,12.59,13.30,34800,9.661077
2010-12-01,14.95,14.97,13.22,13.78,32900,9.955741
2010-11-01,15.73,15.97,13.79,14.89,27300,10.697075
2010-10-01,15.61,15.70,15.46,15.68,15100,11.212626
2010-09-01,15.60,15.98,15.22,15.52,30300,11.047053
2010-08-02,15.17,15.61,15.13,15.57,22100,11.031558
2010-07-01,14.68,15.19,14.51,15.19,22900,10.712478
2010-06-01,14.62,14.68,14.45,14.66,20100,10.289702
2010-05-03,14.49,14.69,14.28,14.62,22900,10.211759
2010-04-01,14.39,14.49,14.17,14.48,21500,10.064855
2010-03-01,14.46,14.75,14.17,14.35,15000,9.925074
2010-02-01,14.10,14.49,13.93,14.40,14300,9.910685
2010-01-04,13.83,14.15,13.74,14.07,20800,9.635418
2009-12-01,13.61,14.18,13.61,13.81,19700,9.409404
2009-11-02,14.00,14.29,13.51,13.63,20000,9.240031
2009-10-01,14.68,14.76,13.88,14.05,23000,9.477032
2009-09-01,14.14,14.76,14.07,14.76,20100,9.906127
2009-08-03,13.50,14.44,13.47,14.19,16900,9.476453
2009-07-01,13.06,13.66,12.70,13.49,21200,8.962184
2009-06-01,12.75,13.20,12.71,12.95,14700,8.55705
2009-05-01,12.18,12.81,12.16,12.80,14000,8.412058
2009-04-01,11.51,12.23,11.30,12.14,12600,7.940872
2009-03-02,11.22,11.68,10.69,11.51,14300,7.492089
2009-02-02,11.50,12.46,10.99,11.35,16300,7.348917
2009-01-02,10.12,12.05,10.12,11.72,20900,7.552876
2008-12-01,10.12,10.65,8.68,10.07,53700,6.457345
2008-11-03,10.91,11.90,9.40,10.17,22500,6.481016
2008-10-01,11.85,11.88,8.02,10.91,40200,6.916687
2008-09-02,13.90,13.96,11.24,11.64,13600,7.336603
2008-08-01,13.57,14.00,13.50,13.82,11600,8.674135
2008-07-01,13.85,14.22,13.37,13.52,15300,8.449862
2008-06-02,14.25,14.56,13.77,13.96,16000,8.689221
2008-05-01,13.88,14.40,13.66,14.23,16500,8.821604
2008-04-01,13.55,14.09,13.50,13.82,10600,8.53145
2008-03-03,13.41,13.72,12.97,13.57,25200,8.341987
2008-02-01,14.39,14.83,13.25,13.40,35700,8.202143
2008-01-02,13.58,14.62,13.54,14.45,19400,8.810045
2007-12-03,13.68,13.94,13.25,13.59,49300,8.25243
2007-11-01,13.85,14.35,13.31,13.66,21000,8.256045
2007-10-01,14.29,14.31,13.65,13.81,19300,8.311056
2007-09-04,14.45,14.68,14.06,14.27,11500,8.552489
2007-08-01,14.31,14.44,13.70,14.41,12200,8.602204
2007-07-02,14.50,14.85,14.24,14.36,15800,8.537342
2007-06-01,14.90,14.91,14.11,14.50,14300,8.586164
2007-05-01,15.39,15.68,14.81,14.85,11200,8.7575
2007-04-02,15.11,15.40,14.99,15.39,12600,9.041253
2007-03-01,15.17,15.28,15.01,15.15,11400,8.866163
2007-02-01,15.09,15.21,14.89,15.19,15400,8.855651
2007-01-03,15.10,15.29,14.99,15.08,16000,8.75782
2006-12-01,15.42,15.58,14.82,15.08,15500,8.724204
2006-11-01,15.41,15.57,15.25,15.47,13500,8.915724
2006-10-02,15.32,15.51,15.08,15.41,9400,8.844765
2006-09-01,15.15,15.55,15.11,15.35,17100,8.774121
2006-08-01,14.95,15.30,14.80,15.24,10900,8.675209
2006-07-03,14.43,14.88,14.23,14.88,11400,8.434896
2006-06-01,14.45,15.00,14.13,14.53,15800,8.20093
2006-05-01,14.98,15.00,14.44,14.52,11300,8.159555
2006-04-03,14.88,15.02,14.55,14.98,16300,8.382268
2006-03-01,14.95,15.00,14.56,14.87,15000,8.285129
2006-02-01,14.90,15.15,14.69,14.99,15200,8.316437
2006-01-03,14.40,14.95,14.40,14.88,14300,8.22041
2005-12-01,14.38,14.71,14.22,14.50,18200,7.976172
2005-11-01,14.32,14.51,14.18,14.38,13900,7.872679
2005-10-03,14.82,14.85,14.11,14.35,21100,7.819105
2005-09-01,15.70,15.82,14.61,14.79,24600,8.021138
2005-08-01,15.61,15.78,15.36,15.73,13500,8.493961
2005-07-01,15.42,15.70,15.40,15.61,18100,8.386827
2005-06-01,15.02,15.42,14.75,15.41,18200,8.237788
2005-05-02,14.62,15.06,14.60,15.02,17800,7.988129
2005-04-01,14.33,14.78,14.18,14.70,15800,7.776879
2005-03-01,14.70,15.05,13.77,14.30,22500,7.524227
2005-02-01,14.97,15.19,14.58,14.74,19000,7.715005
2005-01-03,14.64,14.99,14.60,14.99,12000,7.805461
2004-12-01,14.73,14.73,14.28,14.69,15800,7.608962
2004-11-01,14.71,14.78,14.20,14.73,12300,7.58796
2004-10-01,14.46,14.75,14.37,14.74,14900,7.55081
2004-09-01,14.37,14.62,14.23,14.55,16600,7.412638
2004-08-02,14.04,14.44,14.04,14.35,13900,7.26999
2004-07-01,13.76,14.37,13.76,14.04,13700,7.072921
2004-06-01,13.64,13.90,13.32,13.72,16400,6.872748
2004-05-03,13.82,13.94,12.80,13.62,23500,6.782255
2004-04-01,15.42,15.49,13.56,13.84,25500,6.850662
2004-03-01,15.39,15.50,15.05,15.39,13400,7.574827
2004-02-02,14.93,15.37,14.93,15.30,15700,7.491385
2004-01-02,14.54,15.25,14.51,14.99,17200,7.300917
2003-12-01,14.30,14.54,14.02,14.50,20900,7.02497
2003-11-03,14.20,14.45,14.13,14.34,10100,6.908667
2003-10-01,14.25,14.30,13.85,14.22,12600,6.812608
2003-09-02,13.65,14.33,13.56,14.20,13200,6.764318
2003-08-01,14.01,14.17,13.52,13.64,17900,6.460214
2003-07-01,15.22,15.35,13.97,14.05,19200,6.61683
2003-06-02,15.31,15.48,15.15,15.19,14600,7.116428
2003-05-01,14.78,15.32,14.68,15.32,14900,7.140216
2003-04-01,14.40,14.75,14.11,14.73,15000,6.828149
2003-03-03,14.36,14.61,13.92,14.42,12100,6.646895
2003-02-03,14.10,14.44,14.05,14.42,13700,6.610222
2003-01-02,14.50,14.60,13.96,14.20,14700,6.472855
2002-12-02,13.99,14.50,13.70,14.50,14200,6.571997
2002-11-01,13.94,14.28,13.80,14.07,12000,6.340584
2002-10-01,15.02,15.17,13.50,13.93,16500,6.242103
2002-09-03,15.01,15.25,14.66,15.02,19100,6.693094
2002-08-01,14.94,15.30,14.80,15.02,11700,6.657493
2002-07-01,14.91,15.12,14.71,14.92,18400,6.578476
2002-06-03,14.47,14.86,14.41,14.86,13600,6.517077
2002-05-01,14.24,14.56,14.13,14.56,16900,6.350803
2002-04-01,13.97,14.24,13.85,14.23,15800,6.172429
2002-03-01,14.93,14.97,13.37,13.97,26700,6.025512
2002-02-01,14.77,15.02,14.67,14.90,15300,6.390609
2002-01-02,14.35,14.86,14.30,14.76,18000,6.296687
2001-12-03,14.41,14.48,13.86,14.35,22900,6.087722
2001-11-01,14.49,14.85,14.00,14.41,21600,6.077391
2001-10-01,14.36,15.03,14.34,14.49,16800,6.077298
2001-09-04,15.04,15.09,13.75,14.30,19600,5.965537
2001-08-01,14.48,15.13,14.35,15.05,19700,6.278414
2001-07-02,14.42,14.64,14.31,14.48,10300,6.009178
2001-06-01,14.20,14.67,14.18,14.45,11500,5.967324
2001-05-01,14.18,14.65,14.13,14.18,16700,5.827052
2001-04-02,14.28,14.29,13.90,14.21,11100,5.810905
2001-03-01,14.29,14.50,14.00,14.27,13500,5.806471
2001-02-01,14.49,14.50,14.23,14.38,13300,5.822587
2001-01-02,13.1875,14.625,13.1875,14.45,21400,5.822646
2000-12-01,12.75,13.625,12.1875,13.125,44400,5.264132
2000-11-01,12.0625,12.875,11.875,12.8125,15700,5.112955
2000-10-02,13.0625,13.125,11.50,12.0625,13500,4.787729
2000-09-01,13.125,13.3125,12.875,13.0625,12900,5.159551
2000-08-01,12.9375,13.50,12.6875,13.1875,9700,5.183128
2000-07-03,12.6875,13.25,12.625,12.9375,10700,5.05966
2000-06-01,12.125,12.9375,12.125,12.6875,14600,4.936439
2000-05-01,11.75,12.0625,11.25,12.0625,15200,4.667129
2000-04-03,11.5625,12.00,11.50,11.75,21400,4.518151
2000-03-01,12.0625,12.125,11.375,11.5625,15200,4.419747
2000-02-01,11.9375,12.375,11.6875,12.0625,14700,4.590074
2000-01-03,11.50,12.0625,11.4375,12.0625,16300,4.559151
