Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,77.610001,77.68,77.239998,77.480003,1990200,70.638069
2013-03-01,71.849998,77.790001,71.510002,77.68,2199700,70.820404
2013-02-01,72.449997,73.50,71.419998,71.870003,2841200,65.52346
2013-01-02,69.989998,72.870003,69.809998,72.050003,1681000,65.087677
2012-12-03,68.809998,71.190002,67.75,69.190002,1727800,62.504047
2012-11-01,70.300003,70.300003,66.050003,68.709999,1678500,62.070427
2012-10-01,70.699997,72.209999,68.910004,70.059998,1738000,62.730049
2012-09-04,67.339996,70.480003,65.949997,70.330002,2411200,62.971806
2012-08-01,71.290001,72.220001,66.989998,67.309998,1414200,60.267765
2012-07-02,69.230003,71.860001,67.57,70.900002,1526300,62.925228
2012-06-01,64.57,68.959999,64.309998,68.809998,1722500,61.070309
2012-05-01,62.849998,66.00,62.619999,65.339996,2622700,57.990608
2012-04-02,61.200001,64.849998,61.200001,64.349998,2052300,56.586151
2012-03-01,59.549999,61.209999,59.189999,61.080002,1600900,53.710682
2012-02-01,60.16,61.00,59.099998,59.509998,2755400,52.330101
2012-01-03,61.16,61.16,58.57,59.849998,2644400,52.106964
2011-12-01,55.439999,61.200001,55.34,60.880001,2095600,53.003712
2011-11-01,55.529999,57.669998,52.32,55.439999,2387100,48.267502
2011-10-03,53.889999,58.09,51.330002,56.400002,2163300,48.609581
2011-09-01,56.830002,57.040001,52.900002,54.02,2646300,46.558323
2011-08-01,55.549999,56.82,49.00,56.720001,3201900,48.88538
2011-07-01,57.470001,58.25,55.16,55.25,1627800,47.14328
2011-06-01,57.459999,57.50,54.16,57.459999,1772300,49.029011
2011-05-02,56.77,58.98,56.34,57.950001,1755700,48.977814
2011-04-01,55.25,57.00,54.279999,56.57,1848600,47.811474
2011-03-01,55.459999,55.860001,52.040001,55.119999,2038700,46.585972
2011-02-01,53.790001,55.549999,53.700001,55.470001,1775400,46.405434
2011-01-03,52.18,54.73,51.540001,53.459999,2143600,44.723892
2010-12-01,51.220001,52.490002,50.25,51.990002,2010700,43.494114
2010-11-01,55.23,55.23,50.00,50.619999,1879700,42.347988
2010-10-01,54.080002,56.259998,53.00,55.040001,2180500,45.603718
2010-09-01,53.98,55.98,53.369999,54.389999,1876300,45.065155
2010-08-02,52.599998,55.25,51.310001,53.73,1868000,44.518307
2010-07-01,49.02,54.00,48.439999,52.299999,1669000,42.93438
2010-06-01,49.459999,52.990002,47.959999,48.759998,2355700,40.028305
2010-05-03,52.279999,53.50,48.450001,49.93,3718500,40.570023
2010-04-01,48.549999,52.220001,48.139999,52.049999,3374400,42.292603
2010-03-01,46.959999,48.720001,46.700001,48.330002,2857400,39.269966
2010-02-01,48.650002,49.59,45.290001,46.369999,4085100,37.677387
2010-01-04,53.040001,53.75,47.68,48.759998,4843600,39.196068
2009-12-01,52.110001,56.57,52.099998,52.82,2231400,42.459728
2009-11-02,49.299999,52.650002,48.549999,51.970001,2559000,41.776451
2009-10-01,54.939999,55.279999,48.779999,49.099998,3840100,39.110432
2009-09-01,56.110001,56.540001,53.130001,55.23,3062700,43.993259
2009-08-03,56.900002,58.50,55.580002,56.18,2035400,44.749981
2009-07-01,57.240002,60.610001,53.66,56.669998,2485400,44.771011
2009-06-01,56.990002,59.00,54.389999,56.860001,2667200,44.92112
2009-05-01,54.130001,58.50,52.400002,56.529999,2889400,44.294235
2009-04-01,50.189999,54.75,49.700001,53.790001,2679000,42.147305
2009-03-02,44.599998,52.25,41.48,50.73,2923100,39.74963
2009-02-02,51.029999,53.990002,44.400002,45.330002,3211400,35.518448
2009-01-02,50.259998,53.310001,46.75,51.549999,3020500,40.003033
2008-12-01,48.139999,51.869999,43.02,50.330002,2757500,39.056309
2008-11-03,47.200001,49.73,42.540001,48.759998,3463900,37.837978
2008-10-01,50.220001,51.060001,33.810001,47.240002,5641300,36.321129
2008-09-02,60.610001,60.810001,49.740002,50.299999,3789300,38.673851
