Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.93,14.93,14.80,14.87,201200,12.398887
2013-03-01,15.22,15.24,14.26,14.88,128100,12.407225
2013-02-01,15.42,15.50,15.02,15.23,86000,12.641842
2013-01-02,15.31,15.77,15.26,15.33,75000,12.666029
2012-12-03,16.09,16.110001,14.84,15.21,138900,12.510051
2012-11-01,15.74,16.16,15.29,16.120001,91300,13.191588
2012-10-01,15.68,15.82,15.28,15.67,98300,12.761732
2012-09-04,15.44,15.67,15.20,15.67,84800,12.6994
2012-08-01,15.43,15.45,14.91,15.40,77500,12.418992
2012-07-02,15.20,15.50,15.12,15.40,58700,12.357464
2012-06-01,15.10,15.34,14.80,15.17,71300,12.112556
2012-05-01,15.15,15.24,14.90,15.24,67300,12.107162
2012-04-02,14.60,15.09,14.53,15.05,65700,11.893334
2012-03-01,15.30,15.42,13.94,14.57,105500,11.45226
2012-02-01,15.14,15.32,14.64,15.28,111600,11.947786
2012-01-03,14.70,15.24,14.31,15.04,132300,11.695992
2011-12-01,14.68,14.69,13.90,14.68,80000,11.350508
2011-11-01,14.10,14.62,13.97,14.62,57200,11.113267
2011-10-03,14.64,14.64,13.64,14.05,68100,10.617385
2011-09-01,14.33,14.64,13.82,14.52,58100,10.907876
2011-08-01,13.43,14.36,12.87,14.36,63300,10.724489
2011-07-01,14.05,14.40,13.24,13.37,56400,9.9245
2011-06-01,13.61,14.29,13.56,14.02,70700,10.346292
2011-05-02,13.05,13.70,12.99,13.55,58100,9.876887
2011-04-01,13.32,13.47,12.80,12.99,53800,9.410989
2011-03-01,13.00,13.27,12.62,13.15,57800,9.467274
2011-02-01,12.79,13.00,12.66,12.95,69800,9.264303
2011-01-03,13.01,13.09,11.89,12.76,132200,9.069281
2010-12-01,14.18,14.25,12.35,13.08,129600,9.23658
2010-11-01,15.00,15.09,12.82,14.12,77000,9.908995
2010-10-01,15.31,15.40,14.66,14.92,47300,10.411929
2010-09-01,15.49,15.50,14.86,15.31,58500,10.625169
2010-08-02,14.76,15.43,14.76,15.41,45800,10.636016
2010-07-01,14.81,14.86,14.62,14.73,43400,10.11087
2010-06-01,14.45,14.77,14.28,14.72,50900,10.047227
2010-05-03,14.40,14.43,14.04,14.41,45400,9.778981
2010-04-01,14.50,14.58,14.25,14.32,46900,9.662822
2010-03-01,14.53,14.53,14.18,14.45,52300,9.695848
2010-02-01,14.33,14.45,13.85,14.23,52500,9.494595
2010-01-04,14.27,14.46,13.97,14.26,54000,9.461167
2009-12-01,13.90,14.42,13.76,14.25,67900,9.400903
2009-11-02,13.53,13.99,13.20,13.82,61700,9.022001
2009-10-01,14.29,15.07,13.15,13.41,78800,8.705386
2009-09-01,13.34,14.36,13.27,14.27,67000,9.212359
2009-08-03,13.42,13.47,12.81,13.29,50000,8.533053
2009-07-01,12.85,13.50,12.72,13.38,42700,8.543185
2009-06-01,12.80,12.99,12.49,12.84,32900,8.152987
2009-05-01,12.30,13.13,12.23,12.79,53600,8.07584
2009-04-01,11.80,12.40,11.59,12.24,53200,7.684848
