Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.36,14.43,14.28,14.35,121600,11.756139
2013-03-01,14.79,14.79,13.58,14.30,129900,11.715177
2013-02-01,14.83,14.93,14.55,14.70,103600,11.985325
2013-01-02,14.22,15.05,14.18,14.70,96800,11.930145
2012-12-03,14.92,14.94,13.84,14.11,162400,11.399055
2012-11-01,14.60,15.02,14.15,14.94,111800,12.013756
2012-10-01,14.75,14.83,14.24,14.48,95000,11.587919
2012-09-04,14.31,14.85,14.08,14.78,80400,11.770044
2012-08-01,14.54,14.59,13.91,14.26,84900,11.2996
2012-07-02,14.30,14.58,14.01,14.46,86100,11.400909
2012-06-01,13.84,14.28,13.62,14.28,77700,11.20301
2012-05-01,13.91,13.92,13.67,13.84,67800,10.802439
2012-04-02,13.52,13.95,13.44,13.80,84200,10.716199
2012-03-01,13.94,13.94,12.62,13.40,112100,10.351775
2012-02-01,14.00,14.02,13.37,13.81,90700,10.613936
2012-01-03,13.49,13.99,13.31,13.93,78000,10.650802
2011-12-01,13.10,13.44,12.95,13.44,64200,10.221702
2011-11-01,12.85,13.22,12.65,13.05,71500,9.871543
2011-10-03,12.68,12.85,12.00,12.76,87700,9.598762
2011-09-01,12.40,12.65,12.19,12.65,72700,9.4617
2011-08-01,12.00,12.39,11.34,12.34,75700,9.177491
2011-07-01,12.39,12.42,11.80,11.91,59900,8.805974
2011-06-01,12.06,12.41,11.90,12.35,80100,9.079059
2011-05-02,11.58,12.07,11.54,12.03,70100,8.791309
2011-04-01,11.61,11.70,11.36,11.53,65600,8.375689
2011-03-01,11.64,12.05,11.51,11.55,77600,8.338508
2011-02-01,11.72,11.80,11.21,11.59,87900,8.317504
2011-01-03,11.94,11.95,10.76,11.68,138700,8.330565
2010-12-01,12.80,12.81,11.35,11.97,150800,8.484878
2010-11-01,13.39,13.45,11.41,12.77,143100,8.9979
2010-10-01,13.45,13.49,13.18,13.34,76900,9.349124
2010-09-01,13.86,13.89,13.18,13.39,101000,9.334776
2010-08-02,13.35,13.94,13.25,13.77,99100,9.550049
2010-07-01,13.11,13.30,12.80,13.27,92800,9.154479
2010-06-01,12.68,13.06,12.61,13.06,74600,8.960325
2010-05-03,12.74,13.00,12.44,12.63,70200,8.617204
2010-04-01,12.63,12.80,12.50,12.70,70900,8.617775
2010-03-01,12.28,12.65,12.16,12.51,87900,8.442361
2010-02-01,12.24,12.32,11.84,12.12,76700,8.133547
2010-01-04,12.15,12.34,12.05,12.16,66700,8.115684
2009-12-01,12.27,12.52,11.84,12.15,60400,8.064838
2009-11-02,11.79,12.18,11.57,12.10,68700,7.988008
2009-10-01,12.75,12.84,11.57,11.69,93700,7.674929
2009-09-01,11.65,12.56,11.54,12.49,98300,8.155395
2009-08-03,11.23,11.62,11.16,11.60,78200,7.533591
2009-07-01,10.82,11.31,10.75,11.19,65800,7.227301
2009-06-01,10.99,11.07,10.49,10.75,82100,6.904337
2009-05-01,10.65,11.16,10.63,10.99,95800,7.018514
2009-04-01,10.03,10.65,9.92,10.61,84600,6.737644
2009-03-02,9.83,10.22,9.28,10.00,113200,6.313991
2009-02-02,10.23,10.43,9.13,9.88,155700,6.200922
2009-01-02,9.20,10.48,9.17,10.16,91800,6.34402
2008-12-01,8.79,9.31,7.51,9.15,140400,5.68418
2008-11-03,9.29,10.07,8.26,8.70,102100,5.369587
2008-10-01,9.54,9.76,6.00,9.24,140800,5.672827
2008-09-02,11.03,11.20,9.15,9.35,101100,5.702767
2008-08-01,10.96,11.11,10.79,10.98,63100,6.665649
2008-07-01,11.16,11.28,10.80,10.91,67800,6.593544
2008-06-02,11.66,11.73,10.83,11.13,79300,6.697154
2008-05-01,11.42,11.68,11.42,11.63,63700,6.9683
2008-04-01,11.36,11.63,11.27,11.46,65200,6.837361
