Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.38,14.38,14.17,14.21,42600,11.948751
2013-03-01,14.42,14.45,13.70,14.32,24700,12.041246
2013-02-01,14.56,14.56,14.23,14.34,20400,12.009628
2013-01-02,14.30,14.68,14.30,14.45,23700,12.054114
2012-12-03,14.72,14.72,14.12,14.32,26900,11.899096
2012-11-01,14.33,14.70,14.26,14.70,26200,12.166869
2012-10-01,14.25,14.48,14.00,14.24,20000,11.738279
2012-09-04,14.25,14.41,14.12,14.31,23600,11.747684
2012-08-01,14.50,14.54,14.12,14.23,24000,11.633911
2012-07-02,14.34,14.80,14.25,14.50,23100,11.805879
2012-06-01,14.20,14.46,14.15,14.32,8600,11.611491
2012-05-01,14.39,14.45,14.16,14.19,6200,11.458804
2012-04-02,14.26,14.38,13.95,14.29,7000,11.492278
2012-03-01,14.56,14.67,13.78,14.25,7500,11.412053
2012-02-01,14.59,14.68,14.25,14.50,8600,11.565274
2012-01-03,14.12,14.56,14.00,14.55,9700,11.558512
2011-12-01,14.09,14.39,13.91,14.06,6700,11.122586
2011-11-01,13.65,14.10,13.56,14.04,6200,11.028427
2011-10-03,13.87,13.88,13.33,13.63,4700,10.661317
2011-09-01,13.44,13.81,13.36,13.81,4900,10.755217
2011-08-01,13.32,13.43,12.76,13.39,4300,10.382579
2011-07-01,13.10,13.42,13.03,13.11,4700,10.120372
2011-06-01,13.22,13.29,13.05,13.06,10200,10.037286
2011-05-02,12.98,13.25,12.93,13.18,5100,10.08396
2011-04-01,12.99,13.09,12.72,13.04,6300,9.932354
2011-03-01,12.69,13.15,12.69,12.94,4900,9.810683
2011-02-01,12.88,13.14,12.64,12.75,9400,9.622929
2011-01-03,13.11,13.26,12.28,12.85,12500,9.654353
2010-12-01,13.67,13.67,12.66,13.05,12300,9.759562
2010-11-01,14.13,14.18,13.00,13.58,11700,10.110326
2010-10-01,14.34,14.40,14.00,14.13,6000,10.475595
2010-09-01,14.56,14.60,14.05,14.30,5000,10.55804
2010-08-02,14.07,14.77,14.07,14.49,5600,10.65491
2010-07-01,13.82,14.26,13.74,14.07,5300,10.303741
2010-06-01,13.94,14.00,13.68,13.80,6200,10.062963
2010-05-03,13.96,14.20,13.74,13.94,6800,10.122028
2010-04-01,13.97,14.14,13.85,13.96,8600,10.093555
2010-03-01,14.20,14.20,13.82,13.97,10100,10.058188
2010-02-01,14.00,14.30,13.88,14.21,5000,10.187807
2010-01-04,13.66,14.39,13.66,13.95,5000,9.959252
2009-12-01,14.00,14.05,13.63,13.67,5700,9.719172
2009-11-02,13.94,14.19,13.52,13.83,5100,9.787974
2009-10-01,14.75,15.00,13.11,13.84,8800,9.754181
2009-09-01,13.93,14.73,13.53,14.55,8300,10.212543
2009-08-03,13.44,13.99,13.18,13.93,4600,9.735855
2009-07-01,12.65,13.77,12.28,13.42,5100,9.341696
2009-06-01,13.41,13.43,12.24,12.70,8400,8.803864
2009-05-01,12.44,13.82,12.29,13.35,6000,9.215199
2009-04-01,11.35,12.55,11.35,12.38,5700,8.510405
2009-03-02,11.37,11.42,10.62,11.41,6400,7.810303
2009-02-02,12.06,12.10,11.12,11.39,8100,7.76035
2009-01-02,10.52,12.00,10.52,11.91,9700,8.080575
2008-12-01,10.25,11.01,8.85,10.54,7600,7.119569
2008-11-03,11.56,12.45,9.79,10.39,9300,6.934136
2008-10-01,11.80,12.61,7.80,11.77,15200,7.821984
2008-09-02,13.74,13.84,11.70,11.75,9500,7.766161
2008-08-01,13.48,14.20,13.43,13.84,2800,9.113891
2008-07-01,13.45,13.84,13.19,13.46,4400,8.832295
2008-06-02,14.18,14.42,13.44,13.54,5300,8.852685
2008-05-01,13.68,14.24,13.68,14.08,6700,9.173663
2008-04-01,13.25,13.74,13.25,13.70,4400,8.894881
2008-03-03,13.02,14.25,13.02,13.29,6900,8.59732
2008-02-01,13.86,14.20,13.00,13.22,10900,8.521911
2008-01-02,13.46,14.20,13.45,13.91,9200,8.933841
2007-12-03,13.42,13.84,12.81,13.35,16300,8.54226
2007-11-01,13.58,13.66,12.81,13.38,10200,8.510315
2007-10-01,14.20,14.34,13.51,13.58,7400,8.603779
2007-09-04,14.20,14.60,13.80,14.20,6800,8.962663
2007-08-01,14.50,14.74,13.50,14.04,8500,8.829983
2007-07-02,15.20,15.20,14.32,14.41,5700,9.029819
2007-06-01,14.80,15.55,14.50,15.20,9500,9.491485
2007-05-01,14.64,15.29,14.46,14.91,5600,9.277795
2007-04-02,14.55,14.69,14.38,14.62,3800,9.065804
2007-03-01,14.58,14.80,14.33,14.49,4700,8.953101
2007-02-01,14.34,14.90,14.34,14.59,6800,8.982914
2007-01-03,14.07,14.58,13.97,14.35,6100,8.801682
