Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.38,15.01,14.38,14.68,4600,12.329899
2013-03-01,13.07,15.42,11.91,14.63,3900,12.287903
2013-02-01,16.77,17.15,12.19,12.47,6000,10.473695
2013-01-02,14.08,16.74,14.08,16.49,6400,13.850138
2012-12-03,11.45,14.20,11.30,13.71,10400,11.515184
2012-11-01,11.09,11.70,10.60,11.41,2500,9.583388
2012-10-01,10.50,11.45,10.50,10.84,6000,9.104639
2012-09-04,12.86,12.86,9.03,10.30,25400,8.651087
2012-08-01,14.15,14.40,12.70,12.89,3100,10.826457
2012-07-02,15.69,16.299999,13.33,14.46,6400,12.145118
2012-06-01,15.77,15.94,13.46,15.62,5800,13.119415
2012-05-01,16.60,17.940001,15.32,16.10,8100,13.158091
2012-04-02,20.58,20.700001,16.00,16.85,19500,13.771045
2012-03-01,22.92,23.67,19.24,20.860001,15600,17.048307
2012-02-01,26.040001,26.280001,22.190001,23.00,23500,18.797272
2012-01-03,23.40,27.52,22.67,25.790001,12600,21.077463
2011-12-01,23.40,24.200001,21.469999,23.18,7900,18.94438
2011-11-01,22.879999,24.889999,22.309999,23.620001,19000,19.303982
2011-10-03,22.940001,26.120001,19.59,23.870001,26100,19.508299
2011-09-01,26.719999,26.74,22.00,23.10,14800,18.879
2011-08-01,27.549999,27.889999,24.299999,26.83,21800,21.927425
2011-07-01,28.51,29.41,26.360001,27.280001,7800,22.295198
2011-06-01,26.09,28.620001,24.530001,28.620001,10900,23.390345
2011-05-02,26.09,28.219999,25.00,27.18,23500,22.21347
2011-04-01,28.98,30.719999,25.43,26.120001,10600,21.347162
2011-03-01,30.440001,30.440001,26.57,28.879999,9400,23.602835
2011-02-01,32.459999,33.25,28.49,29.60,14900,24.191271
2011-01-03,30.059999,36.09,30.040001,32.50,20300,26.561361
2010-12-01,30.15,31.09,28.33,29.92,25700,24.452799
2010-11-01,27.17,33.099998,27.17,30.450001,18300,24.885954
2010-10-01,24.030001,29.719999,23.219999,27.360001,17000,22.36058
2010-09-01,22.18,24.58,21.559999,24.01,12400,19.622717
2010-08-02,21.77,23.00,21.02,22.10,14900,18.061726
2010-07-01,19.08,21.950001,18.17,21.34,17200,17.440599
2010-06-01,16.700001,20.799999,16.48,19.030001,181100,15.552699
2010-05-03,21.67,22.27,11.00,17.200001,22000,14.057091
2010-04-01,19.969999,22.809999,18.01,21.450001,25700,17.530499
2010-03-01,17.040001,20.00,16.00,20.00,31100,16.345453
2010-02-01,16.10,20.50,15.04,16.969999,36000,13.869117
2010-01-04,14.90,17.00,13.81,15.90,20000,12.994635
2009-12-01,15.64,15.64,13.79,15.00,7900,12.25909
2009-11-02,14.06,16.959999,14.00,15.37,9600,12.561481
2009-10-01,10.40,16.889999,10.20,13.96,88900,11.409126
2009-09-01,9.75,10.55,8.12,10.55,17800,8.622227
2009-08-03,8.48,10.78,8.35,9.75,27200,7.968409
2009-07-01,6.35,8.39,6.01,8.39,86600,6.856918
2009-06-01,5.20,7.04,5.20,6.15,33800,5.026227
2009-05-01,4.40,5.91,4.40,5.19,7500,4.241645
2009-04-01,4.05,4.44,3.62,4.44,3700,3.628691
2009-03-02,3.75,4.59,3.47,4.18,5300,3.4162
2009-02-02,4.30,4.71,3.80,4.10,2100,3.350818
2009-01-02,4.33,4.85,3.50,4.50,11100,3.677727
2008-12-01,5.00,5.29,4.00,4.12,2200,3.367163
2008-11-03,3.32,5.01,2.74,5.01,39000,4.094536
2008-10-01,11.20,11.49,2.73,3.39,36800,2.770554
2008-09-02,13.40,13.50,9.50,11.60,24800,9.480363
2008-08-01,12.33,15.25,11.50,13.26,21300,10.837036
2008-07-01,12.94,13.67,9.25,12.49,4700,10.207735
2008-06-02,17.799999,19.719999,12.70,12.82,12400,10.477435
2008-05-01,16.49,18.18,14.31,17.940001,6100,14.661872
2008-04-01,17.26,20.49,14.73,16.15,10200,13.198954
2008-03-03,19.700001,21.200001,15.15,17.60,14300,14.383999
2008-02-01,18.10,20.16,17.809999,19.74,11100,16.132961
2008-01-02,20.120001,21.65,17.10,17.889999,10800,14.621008
2007-12-03,22.50,23.780001,19.26,20.299999,9300,16.590635
2007-11-01,21.74,24.700001,20.00,23.469999,7100,19.181389
2007-10-01,20.76,23.00,19.450001,21.90,32000,17.898272
2007-09-04,25.700001,26.35,19.75,21.15,16100,17.285316
2007-08-01,18.60,26.50,16.459999,25.68,26700,20.987562
2007-07-02,25.25,25.99,18.32,18.77,39300,15.340208
2007-06-01,23.00,30.73,22.74,25.65,251700,20.963043
2007-05-01,16.110001,23.85,16.01,22.98,90500,18.780926
2007-04-02,14.10,16.25,14.10,16.01,41100,13.084536
2007-03-01,13.90,15.08,12.07,14.00,30000,11.441817
2007-02-01,15.75,16.00,12.00,13.83,29200,11.302881
