Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.28,5.28,5.28,5.28,000,4.69
2013-03-01,5.21,5.363,5.20,5.28,000,4.69
2013-02-01,5.228,5.508,5.20,5.242,000,4.656
2013-01-01,5.361,5.361,5.016,5.192,000,4.611
2012-12-03,5.15,5.361,4.928,5.361,000,4.762
2012-11-01,5.178,5.306,5.178,5.23,000,4.645
2012-10-01,5.203,5.41,5.178,5.178,000,4.599
2012-09-03,5.009,5.399,4.714,5.175,000,4.596
2012-08-01,5.327,5.594,4.966,5.009,000,4.449
2012-07-02,4.96,5.749,4.95,5.343,000,4.746
2012-06-01,4.96,5.241,4.793,4.97,000,4.248
2012-05-01,4.99,4.99,4.78,4.96,000,4.239
2012-04-02,4.99,5.05,4.99,4.99,000,4.265
2012-03-01,5.01,5.01,4.85,4.99,000,4.265
2012-02-01,4.749,5.15,4.749,5.01,000,4.282
2012-01-02,4.909,5.025,4.749,4.749,000,4.059
2011-12-01,4.88,5.159,4.88,4.98,000,4.256
2011-11-01,5.06,5.07,4.889,4.92,000,4.205
2011-10-03,5.22,5.22,4.948,5.06,000,4.325
2011-09-01,5.16,5.31,4.95,5.31,000,4.538
2011-08-01,5.35,5.40,4.85,5.10,000,4.359
2011-07-01,5.509,5.604,5.00,5.35,000,4.572
2011-06-01,5.434,6.091,5.13,5.50,000,4.53
2011-05-02,7.70,7.70,5.386,5.61,400,4.621
2011-04-26,6.55,7.00,6.55,7.00,300,5.766
2011-03-25,5.101,5.53,5.101,5.53,500,4.555
2011-02-08,5.49,5.49,5.27,5.27,200,4.341
2010-12-17,5.00,5.171,5.00,5.171,600,4.259
2010-11-17,5.25,5.25,5.25,5.25,000,4.324
2010-09-01,4.67,5.03,4.67,4.95,000,4.077
2010-08-02,4.66,5.12,4.66,4.67,000,3.846
2010-07-01,4.67,4.85,4.42,4.85,000,3.995
2010-06-01,4.86,5.10,4.42,4.54,000,3.578
2010-05-03,5.00,5.09,5.00,5.09,000,4.011
2010-04-01,4.80,5.14,4.80,5.00,000,3.94
2010-03-01,4.89,5.05,4.71,5.05,000,3.98
2010-02-01,5.02,5.15,4.89,5.15,000,4.059
2010-01-04,4.84,5.35,4.784,5.16,000,4.066
2009-12-04,4.85,5.06,4.65,5.06,900,3.988
2009-11-02,4.90,5.02,4.61,4.61,200,3.633
2009-09-18,4.94,5.00,4.71,5.00,200,3.94
2009-08-10,4.50,4.99,4.50,4.76,800,3.751
2009-07-06,4.69,4.89,4.69,4.89,600,3.854
2009-06-16,4.80,4.80,4.80,4.80,200,3.562
2009-05-04,4.30,5.10,4.21,5.10,200,3.785
2009-04-07,4.35,4.36,4.21,4.30,1100,3.191
2009-03-04,4.31,4.31,3.74,4.21,1100,3.124
2009-02-02,4.35,4.37,4.15,4.37,000,3.243
2009-01-02,4.50,4.50,4.35,4.35,000,3.228
2008-12-01,4.20,4.40,4.04,4.40,000,3.265
2008-11-03,3.90,4.40,3.80,4.11,000,3.05
2008-10-01,4.40,4.45,3.36,3.62,000,2.686
2008-09-01,5.08,5.16,4.12,4.12,000,3.057
2008-08-18,5.01,5.10,5.00,5.05,000,3.748
2008-07-01,5.15,5.15,4.75,4.83,000,3.584
2008-06-02,5.25,5.33,4.95,5.08,000,3.77
2008-05-02,5.25,5.44,5.20,5.25,000,3.896
2008-04-01,4.51,5.30,4.51,5.25,000,3.896
2008-03-03,4.90,4.90,4.55,4.60,000,3.414
2008-02-01,4.00,5.14,4.00,4.98,000,3.696
2008-01-02,4.40,4.64,3.91,4.00,000,2.968
2007-12-03,4.41,4.60,4.15,4.30,000,3.191
2007-11-01,4.56,4.60,4.05,4.20,000,3.117
2007-10-01,4.65,4.80,4.38,4.47,000,3.317
2007-09-03,4.30,5.08,4.30,4.75,000,3.525
2007-08-01,4.60,4.71,4.22,4.28,000,3.176
2007-07-02,4.60,4.74,4.38,4.65,000,3.451
2007-06-01,4.80,4.85,4.58,4.65,000,3.451
2007-05-02,4.95,4.95,4.73,4.75,000,3.525
2007-04-02,5.04,5.13,4.73,4.73,000,3.51
2007-03-01,4.73,5.09,4.61,5.09,000,3.777
2007-02-01,4.68,5.39,4.50,4.79,000,3.555
2007-01-02,5.04,5.13,4.73,4.73,000,3.51
2006-12-01,4.42,5.30,4.42,5.00,000,3.71
2006-11-01,3.98,4.52,3.82,4.52,000,3.354
2006-10-02,4.06,4.40,3.92,3.92,000,2.909
2006-09-01,4.47,4.47,3.87,3.87,000,2.872
2006-08-01,4.60,4.77,3.80,4.77,000,3.54
2006-07-03,4.35,4.55,4.15,4.55,000,3.377
2006-06-01,3.40,5.00,3.40,4.32,000,3.206
2006-05-02,4.82,4.82,3.40,3.40,000,2.523
2006-04-03,5.00,5.00,4.25,4.82,000,3.577
2006-03-01,4.00,5.55,4.00,5.00,400,3.71
2006-02-01,3.91,5.62,3.70,4.00,11100,2.968
2006-01-11,4.50,5.25,3.50,4.40,1400,3.265
