Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.27,15.27,15.15,15.22,69400,12.53479
2013-03-01,15.72,15.78,14.51,15.15,50400,12.477139
2013-02-01,15.95,16.01,15.50,15.62,27200,12.801092
2013-01-02,15.33,16.01,15.33,15.86,33800,12.937401
2012-12-03,16.540001,16.540001,15.24,15.31,29900,12.42839
2012-11-01,15.97,16.51,15.84,16.440001,19300,13.284401
2012-10-01,16.00,16.18,15.71,15.96,12300,12.838272
2012-09-04,15.60,16.110001,15.56,16.00,11800,12.811218
2012-08-01,15.75,15.95,15.29,15.55,14000,12.392773
2012-07-02,15.61,15.86,15.55,15.66,12400,12.421949
2012-06-01,15.75,15.82,15.28,15.61,12200,12.324441
2012-05-01,15.41,15.65,15.26,15.65,12200,12.29756
2012-04-02,15.22,15.43,15.02,15.35,11100,12.004534
2012-03-01,15.52,15.58,14.23,15.11,15000,11.759799
2012-02-01,15.51,15.70,15.23,15.40,18700,11.927945
2012-01-03,14.59,15.43,14.45,15.40,23200,11.871724
2011-12-01,14.32,14.65,14.16,14.62,19600,11.213305
2011-11-01,14.12,14.29,14.01,14.29,11300,10.903483
2011-10-03,14.04,14.22,13.75,14.04,9700,10.656547
2011-09-01,13.79,14.04,13.68,13.93,11100,10.516441
2011-08-01,13.43,13.76,12.83,13.76,17400,10.332596
2011-07-01,13.74,13.95,13.30,13.33,15500,9.957099
2011-06-01,13.43,13.67,13.25,13.66,15900,10.151879
2011-05-02,13.03,13.42,12.95,13.36,12400,9.877057
2011-04-01,13.21,13.21,12.62,12.95,13700,9.52298
2011-03-01,12.93,13.21,12.72,12.96,13000,9.478336
2011-02-01,12.86,12.90,12.61,12.75,14600,9.274231
2011-01-03,13.05,13.06,12.21,12.78,28700,9.244855
2010-12-01,14.01,14.01,12.40,13.10,37200,9.424595
2010-11-01,14.42,14.42,12.65,13.55,25100,9.695442
2010-10-01,14.70,14.72,14.12,14.26,11600,10.152525
