Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.21,10.23,10.11,10.14,653800,8.823452
2013-03-01,10.46,10.49,9.90,10.16,439600,8.840855
2013-02-01,10.44,10.52,10.29,10.48,323200,9.086421
2013-01-02,10.25,10.54,10.25,10.43,295400,9.010959
2012-12-03,10.60,10.63,9.98,10.25,481500,8.824184
2012-11-01,10.40,10.60,10.20,10.60,324000,9.090135
2012-10-01,10.45,10.50,10.34,10.37,278300,8.861588
2012-09-04,10.45,10.48,10.30,10.42,283300,8.872788
2012-08-01,10.40,10.45,10.12,10.42,405600,8.841283
2012-07-02,10.19,10.67,10.16,10.39,353000,8.782673
2012-06-01,10.25,10.33,10.13,10.30,290500,8.674318
2012-05-01,10.18,10.26,10.05,10.24,228700,8.590912
2012-04-02,10.01,10.18,9.96,10.18,257900,8.507952
2012-03-01,10.14,10.25,9.37,10.07,436100,8.383294
2012-02-01,10.18,10.18,10.02,10.14,287700,8.409293
2012-01-03,9.80,10.10,9.80,10.10,331900,8.343744
2011-12-01,9.80,9.88,9.65,9.80,341400,8.063823
2011-11-01,9.66,9.82,9.59,9.80,262400,7.977455
2011-10-03,9.66,9.82,9.57,9.66,211900,7.832101
2011-09-01,9.61,9.76,9.48,9.73,217900,7.857235
2011-08-01,9.30,9.58,8.94,9.56,364200,7.688724
2011-07-01,9.34,9.43,9.02,9.22,289800,7.384146
2011-06-01,9.34,9.37,9.11,9.26,230200,7.385445
2011-05-02,9.12,9.29,9.06,9.27,258100,7.362215
2011-04-01,9.15,9.15,8.96,9.06,251600,7.164831
2011-03-01,9.11,9.13,8.91,9.04,282000,7.118172
2011-02-01,9.09,9.09,8.93,9.08,413100,7.118686
2011-01-03,9.17,9.35,8.76,9.05,553600,7.064318
2010-12-01,9.59,9.59,8.85,9.19,658800,7.142618
2010-11-01,10.08,10.08,8.88,9.52,501100,7.349555
2010-10-01,10.18,10.18,9.90,10.02,222900,7.705272
2010-09-01,10.18,10.22,10.01,10.10,220800,7.736531
2010-08-02,10.00,10.19,10.00,10.19,212800,7.775389
2010-07-01,9.93,9.99,9.81,9.99,275900,7.593376
2010-06-01,9.91,10.00,9.78,9.89,207600,7.487632
2010-05-03,9.99,10.01,9.50,9.82,219900,7.40564
2010-04-01,9.86,9.96,9.75,9.95,208700,7.474326
2010-03-01,9.84,9.94,9.76,9.81,212800,7.339983
2010-02-01,9.81,9.90,9.69,9.78,236300,7.288621
2010-01-04,9.84,9.85,9.66,9.74,255700,7.229865
2009-12-01,9.94,9.95,9.63,9.69,242400,7.164068
2009-11-02,9.93,10.05,9.59,9.76,253400,7.182293
2009-10-01,9.94,10.00,9.39,9.91,289800,7.264121
2009-09-01,9.45,9.95,9.44,9.94,282500,7.256907
2009-08-03,9.50,9.58,9.31,9.43,257200,6.856689
2009-07-01,9.23,9.50,9.18,9.45,224500,6.842844
2009-06-01,9.27,9.39,9.10,9.16,259600,6.605245
2009-05-01,9.24,9.45,9.15,9.28,248400,6.6635
