Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,161.240005,162.789993,161.240005,162.330002,1763000,30.832417
2013-03-01,175.529999,183.169998,160.529999,161.50,2051000,30.674768
2013-02-01,189.330002,194.440002,163.519989,175.00,2346000,32.604233
2013-01-02,165.639984,187.360001,164.51001,184.349991,1381800,34.34623
2012-12-03,160.449997,163.910004,159.639999,163.209991,964700,30.407639
2012-11-01,158.839996,161.00,144.519989,158.669998,3298300,29.561792
2012-10-01,160.51001,170.270004,156.680008,160.289993,1854200,29.863615
2012-09-04,156.369995,161.049988,152.600006,157.809998,1587100,29.401567
2012-08-01,155.039993,160.200012,151.009995,157.110001,1587200,29.271151
2012-07-02,144.160004,155.459991,143.419998,154.540009,1716700,28.792334
2012-06-01,131.470001,145.339996,129.410004,145.339996,1991000,27.078283
2012-05-01,147.440002,149.630005,132.330002,133.789993,2708800,24.926403
2012-04-02,144.259995,152.309998,143.540009,147.019989,1739500,27.391283
2012-03-01,141.470001,144.919998,137.00,138.710007,1415200,25.843048
2012-02-01,119.18,144.820007,118.959999,140.330002,1524600,25.693735
2012-01-03,118.290009,121.50,114.130005,119.18,1845700,21.821274
2011-12-01,113.199997,115.769997,109.700005,115.260002,1356700,21.10354
2011-11-01,102.00,113.950005,101.730003,113.549995,1373800,20.790447
2011-10-03,99.350006,111.739998,94.580002,106.300003,2011900,19.463009
2011-09-01,107.159996,108.639999,96.139999,99.519997,1357600,18.221624
2011-08-01,123.18,123.290009,97.809998,106.660004,2587300,19.528923
2011-07-01,125.620003,128.050003,120.589996,122.019997,1495200,22.341263
2011-06-01,125.509995,128.599991,114.619995,125.279999,1122000,22.938154
2011-05-02,128.279999,130.430008,120.610001,126.009995,1553600,23.071814
2011-04-01,124.820007,132.880005,124.290001,127.389999,1369300,23.324486
2011-03-01,125.299995,129.259995,118.330002,125.229996,1830700,22.928999
2011-02-01,115.179993,126.660004,110.709999,126.660004,2487000,22.850599
2011-01-03,110.649994,117.440002,110.00,113.129997,1407200,20.409664
