Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.75,9.81,9.48,9.49,2049800,9.181891
2013-03-01,9.57,10.15,9.47,9.80,1145200,9.481828
2013-02-01,8.91,9.90,8.07,9.67,1691000,9.356049
2013-01-02,8.79,9.23,8.22,8.86,815900,8.572346
2012-12-03,7.98,8.89,7.86,8.53,866000,8.253059
2012-11-01,8.22,8.89,7.72,8.11,1526000,7.846695
2012-10-01,9.80,11.07,7.99,8.18,1744000,7.914423
2012-09-04,9.22,10.02,9.10,9.76,1161500,9.443127
2012-08-01,7.81,9.57,7.54,9.19,1248400,8.891632
2012-07-02,7.88,8.00,6.93,7.75,1102700,7.498384
2012-06-01,6.49,7.95,6.24,7.80,1248000,7.546761
2012-05-01,6.31,6.92,5.88,6.65,1178100,6.434097
2012-04-02,6.75,6.83,6.11,6.31,1376400,6.105136
2012-03-01,6.65,7.04,6.38,6.79,1320000,6.569552
2012-02-01,7.50,7.88,6.55,6.59,1202200,6.376045
2012-01-03,7.98,8.38,7.31,7.45,1451100,7.208124
2011-12-01,7.24,8.14,7.08,7.73,1277200,7.479033
2011-11-01,7.27,7.72,6.51,7.28,1203800,7.043643
2011-10-03,5.76,7.99,5.50,7.62,2364100,7.372604
2011-09-01,8.21,8.37,5.56,5.81,2214100,5.621369
2011-08-01,8.72,8.78,6.48,8.18,2733400,7.914423
2011-07-01,8.75,9.73,8.23,8.58,2285000,8.301436
2011-06-01,7.99,8.74,7.40,8.72,3084600,8.436892
2011-05-02,8.17,8.46,7.19,8.02,2544700,7.759618
2011-04-01,9.54,9.82,7.83,8.13,1923400,7.866047
2011-03-01,10.40,10.98,8.72,9.47,1877400,9.162541
2011-02-01,10.16,11.72,9.66,10.40,1762200,10.062347
2011-01-03,9.87,11.12,9.76,10.11,2393100,9.781762
2010-12-01,9.14,10.11,8.92,9.80,3551500,9.481828
2010-11-01,7.78,9.28,7.59,8.99,3396100,8.698125
2010-10-01,7.86,8.78,7.51,7.67,2090900,7.420981
2010-09-01,7.33,8.46,7.31,7.74,1994700,7.488708
2010-08-02,8.96,9.38,7.06,7.18,1566100,6.94689
2010-07-01,8.64,9.90,8.21,8.74,2241700,8.456242
2010-06-01,9.14,10.46,8.21,8.65,1986200,8.369164
2010-05-03,9.99,10.29,8.39,9.28,2641500,8.97871
2010-04-01,11.23,13.24,9.92,9.92,3086000,9.597932
2010-03-01,10.91,12.17,10.67,11.13,1949800,10.768647
2010-02-01,12.84,13.37,10.37,10.94,2892900,10.584815
2010-01-04,12.65,14.87,12.12,12.92,2643600,12.500532
2009-12-01,8.68,12.75,8.34,12.36,2532400,11.958713
2009-11-02,8.01,9.62,7.54,8.44,1821100,8.165981
2009-10-01,8.08,11.05,7.25,7.97,2220300,7.711241
2009-09-01,7.54,9.34,6.86,8.12,1640700,7.856371
2009-08-03,8.04,8.56,7.53,7.61,1241700,7.362929
2009-07-01,5.53,8.07,4.60,7.87,1654100,7.614488
2009-06-01,6.68,6.96,5.03,5.51,934200,5.33111
2009-05-01,5.39,7.19,5.04,6.60,1300200,6.38572
2009-04-01,4.52,6.87,4.37,5.38,1253400,5.20533
2009-03-02,4.12,5.20,3.51,4.52,1504700,4.373251
2009-02-02,4.93,5.25,3.44,4.13,1500600,3.995913
2009-01-02,7.21,7.81,4.88,4.97,1204100,4.808641
2008-12-01,7.41,8.87,5.64,7.33,1836300,7.09202
2008-11-03,9.95,10.55,4.95,7.54,1578600,7.295202
2008-10-01,14.40,16.09,8.86,10.00,1804600,9.594594
2008-09-02,13.01,16.75,12.81,14.29,1847500,13.710675
2008-08-01,12.49,14.51,12.40,12.99,1530200,12.463378
2008-07-01,15.60,15.88,12.08,12.59,1965200,11.863552
2008-06-02,17.50,17.65,15.19,15.39,1243600,14.501991
2008-05-01,19.40,20.27,17.02,17.42,1050900,16.41486
2008-04-01,18.99,21.139999,18.540001,19.50,1257100,18.129417
2008-03-03,18.52,20.540001,16.85,18.879999,1659800,17.552994
2008-02-01,16.799999,21.10,16.049999,18.629999,3112800,17.320566
2008-01-02,17.49,17.809999,14.01,16.74,3966300,15.371883
2007-12-03,16.58,17.85,16.26,17.530001,1796400,16.097319
2007-11-01,19.50,20.120001,16.02,16.50,2317800,15.151498
2007-10-01,20.49,20.940001,18.049999,19.559999,2283400,17.714188
2007-09-04,22.040001,22.049999,19.120001,19.76,1702100,17.895315
2007-08-01,22.809999,23.360001,21.139999,21.98,1160500,19.905821
2007-07-02,25.120001,25.16,22.030001,22.860001,1176100,20.483549
2007-06-01,25.60,26.870001,25.23,25.40,1304200,22.759499
2007-05-01,23.41,26.40,23.139999,25.110001,1947800,22.499647
2007-04-02,23.620001,25.33,23.24,23.40,1036200,20.778072
2007-03-01,24.26,26.58,22.42,23.51,1375000,20.875748
2007-02-01,23.15,26.90,23.15,24.73,1507200,21.959047
2007-01-03,24.27,24.370001,22.77,23.09,1524000,20.362705
2006-12-01,24.040001,24.610001,23.549999,24.360001,1602900,21.482698
2006-11-01,24.219999,25.15,23.059999,24.139999,2155800,21.288683
2006-10-02,22.889999,24.26,22.370001,24.17,1447600,21.154428
2006-09-01,22.60,23.50,21.690001,22.98,1366500,20.112898
2006-08-01,22.15,22.92,21.540001,22.52,1274000,19.710291
2006-07-03,24.540001,24.60,21.700001,22.17,1244500,19.252769
2006-06-01,24.200001,24.799999,22.620001,24.540001,1072000,21.310915
2006-05-01,24.75,25.76,24.00,24.16,1066200,20.980917
2006-04-03,25.290001,26.40,24.17,24.790001,1178500,21.373995
2006-03-01,28.17,28.34,24.879999,25.309999,1022400,21.82234
2006-02-01,28.15,28.98,27.52,28.219999,965100,24.331348
2006-01-03,26.25,28.83,26.16,28.299999,1409800,24.259848
2005-12-01,27.51,28.129999,26.09,26.450001,1348300,22.673958
2005-11-01,27.24,29.49,26.75,27.50,1045300,23.574059
2005-10-03,29.65,29.90,26.559999,27.24,1163300,23.213324
2005-09-01,32.07,35.00,29.450001,29.75,1312300,25.352289
2005-08-01,31.50,33.439999,30.950001,31.93,834700,27.210037
2005-07-01,31.450001,32.799999,30.459999,31.52,837000,26.722532
2005-06-01,31.299999,32.779999,30.299999,31.15,1105700,26.408848
2005-05-02,33.450001,33.93,31.34,31.370001,874600,26.595364
2005-04-01,36.580002,36.580002,32.380001,33.360001,1023300,28.134987
2005-03-01,36.66,37.25,35.400002,36.580002,1067300,30.850657
2005-02-01,38.75,39.549999,36.220001,36.66,595800,30.918123
2005-01-03,40.650002,40.900002,38.439999,38.880001,506800,32.654339
2004-12-01,41.00,41.209999,38.540001,40.799999,625900,34.266899
2004-11-01,40.150002,41.619999,39.709999,41.00,556000,34.434875
2004-10-01,39.099998,40.27,38.52,40.049999,503500,33.509861
2004-09-01,40.700001,41.330002,38.470001,39.099998,609200,32.714993
2004-08-02,41.610001,42.549999,40.25,40.619999,531400,33.986778
2004-07-01,44.610001,44.75,41.119999,41.599998,807200,34.675091
2004-06-01,46.529999,47.27,44.459999,44.709999,581700,37.267391
2004-05-03,45.950001,47.00,44.900002,46.630001,622900,38.867779
2004-04-01,44.200001,47.419998,44.169998,45.810001,836900,38.057167
2004-03-01,45.849998,46.50,43.580002,44.200001,816200,36.719639
2004-02-02,48.599998,49.23,45.549999,45.639999,762000,37.915936
2004-01-02,47.740002,48.73,46.279999,48.599998,615200,40.247746
2003-12-01,45.889999,47.849998,43.900002,47.790001,623000,39.57695
2003-11-03,47.529999,47.990002,45.32,45.900002,567200,38.011761
2003-10-01,43.400002,48.450001,43.330002,47.529999,528700,39.237152
