Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,51.25,51.860001,51.00,51.119999,251000,42.356476
2013-03-01,49.939999,53.549999,49.50,51.02,219800,42.273621
2013-02-01,48.009998,51.720001,47.060001,49.93,180800,41.37048
2013-01-02,46.07,48.279999,45.169998,48.040001,118100,38.993725
2012-12-03,40.82,47.139999,40.380001,45.490002,195900,36.923908
2012-11-01,42.830002,44.00,39.700001,40.529999,138800,32.897911
2012-10-01,40.919998,42.900002,39.50,42.630001,150800,34.144543
2012-09-04,37.759998,41.259998,37.119999,41.00,312600,32.838989
2012-08-01,36.50,40.09,35.900002,37.610001,238200,30.123768
2012-07-02,35.310001,37.400002,34.98,36.259998,143900,28.45343
2012-06-01,37.57,38.889999,34.00,35.349998,192900,27.739347
2012-05-01,39.950001,42.110001,35.00,38.150002,153100,29.936525
2012-04-12,41.00,42.549999,39.25,39.900002,887500,30.881926
