Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.35,7.39,7.32,7.39,176800,6.12067
2013-03-01,7.33,7.36,6.91,7.35,143400,6.087541
2013-02-01,7.63,7.65,7.25,7.26,106700,5.98425
2013-01-02,7.37,7.71,7.33,7.62,98200,6.251833
2012-12-03,7.79,7.89,7.20,7.32,157300,5.978328
2012-11-01,7.58,8.02,7.46,7.84,134500,6.373685
2012-10-01,7.58,7.64,7.31,7.53,81400,6.093875
2012-09-04,7.18,7.65,7.14,7.51,130600,6.049663
2012-08-01,7.53,7.60,7.16,7.17,65400,5.748606
2012-07-02,7.23,7.57,7.21,7.49,46900,5.97688
2012-06-01,7.09,7.29,7.02,7.19,43800,5.709977
2012-05-01,7.05,7.11,6.96,7.10,35700,5.610979
2012-04-02,6.90,7.08,6.84,7.05,32800,5.543727
2012-03-01,7.05,7.11,6.45,6.86,53700,5.366919
2012-02-01,6.98,7.07,6.86,7.02,36500,5.464983
2012-01-03,6.66,7.05,6.63,6.96,53300,5.39126
2011-12-01,6.45,6.78,6.44,6.66,51100,5.132207
2011-11-01,6.36,6.52,6.30,6.49,29000,4.975079
2011-10-03,6.35,6.42,6.20,6.37,28300,4.856386
2011-09-01,6.32,6.40,6.22,6.33,23900,4.798994
2011-08-01,6.27,6.38,5.84,6.36,38800,4.795245
2011-07-01,6.30,6.41,6.18,6.18,36400,4.633013
2011-06-01,6.15,6.32,6.09,6.31,40200,4.704602
2011-05-02,6.04,6.17,6.03,6.15,40400,4.559171
2011-04-01,6.05,6.21,5.93,6.03,40600,4.444479
2011-03-01,6.03,6.08,5.91,6.05,33800,4.433423
2011-02-01,6.07,6.10,5.87,6.02,43400,4.385791
2011-01-03,6.14,6.22,5.68,6.02,51500,4.360292
2010-12-01,6.44,6.49,5.88,6.18,86400,4.45037
2010-11-01,6.79,6.82,6.15,6.42,69600,4.59596
2010-10-01,6.93,6.95,6.73,6.78,26800,4.826712
2010-09-01,7.05,7.08,6.79,6.89,35200,4.8797
2010-08-02,6.79,7.09,6.71,7.09,34900,4.996311
2010-07-01,6.47,6.83,6.47,6.75,25800,4.732862
2010-06-01,6.53,6.54,6.42,6.50,27800,4.533762
2010-05-03,6.59,6.60,6.07,6.51,41300,4.516136
2010-04-01,6.42,6.65,6.30,6.52,23500,4.498376
2010-03-01,6.26,6.40,6.22,6.40,42800,4.391661
2010-02-01,6.32,6.44,6.21,6.25,33800,4.264904
2010-01-04,6.21,6.38,6.16,6.27,32600,4.254895
2009-12-01,6.31,6.32,6.08,6.18,36900,4.170632
2009-11-02,6.27,6.38,6.15,6.28,24900,4.21427
2009-10-01,6.34,6.55,6.04,6.30,38400,4.204204
2009-09-01,6.06,6.44,6.00,6.35,27000,4.213764
2009-08-03,5.86,6.08,5.76,6.01,24500,3.965559
2009-07-01,5.72,5.89,5.59,5.87,18400,3.850476
2009-06-01,5.71,7.20,5.56,5.78,25600,3.768401
2009-05-01,5.50,5.84,5.45,5.67,21400,3.674104
2009-04-01,5.54,5.70,5.17,5.50,24000,3.542023
2009-03-02,5.40,5.59,4.82,5.47,22100,3.500039
2009-02-02,5.98,6.38,5.05,5.58,20000,3.543951
2009-01-02,4.62,6.17,4.62,5.91,33100,3.727115
2008-12-01,5.46,5.74,4.41,4.62,63200,2.892998
2008-11-03,5.89,6.17,4.69,5.46,45900,3.388606
2008-10-01,6.10,6.31,3.90,5.69,47600,3.505703
2008-09-02,7.44,7.45,5.21,6.12,39800,3.745235
2008-08-01,6.90,7.44,6.90,7.36,25700,4.478615
2008-07-01,7.58,7.58,6.85,6.98,33200,4.224344
2008-06-02,7.95,7.98,6.90,7.59,24000,4.568878
2008-05-01,7.92,8.03,7.80,7.87,19600,4.71246
2008-04-01,7.65,8.27,7.53,7.86,28300,4.683296
2008-03-03,7.25,8.48,7.25,7.58,39300,4.494051
2008-02-01,7.72,8.31,7.21,7.23,41700,4.264574
2008-01-02,7.32,7.87,7.23,7.72,37000,4.530712
2007-12-03,7.65,7.73,7.14,7.22,71700,4.215671
2007-11-01,7.82,8.04,7.10,7.66,39800,4.449478
2007-10-01,8.31,8.37,7.64,7.80,28800,4.507941
2007-09-04,9.10,9.30,8.37,8.37,22900,4.814828
2007-08-01,8.90,10.40,8.00,9.14,38000,5.231911
2007-07-02,9.34,9.55,8.55,8.90,22800,5.068771
