Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.25,25.32,24.889999,25.02,1764800,22.326809
2013-03-01,23.17,25.42,22.67,25.219999,813900,22.50528
2013-02-01,23.43,23.93,22.09,23.16,693700,20.667021
2013-01-02,21.91,24.129999,21.290001,23.26,1011500,20.580654
2012-12-03,20.860001,21.940001,20.559999,21.59,607800,19.103024
2012-11-01,20.74,21.65,19.50,20.73,515100,18.342087
2012-10-01,21.709999,22.32,20.27,20.74,488800,18.180227
2012-09-04,21.40,23.48,21.10,21.73,627900,19.04804
2012-08-01,20.40,21.639999,19.77,21.43,408500,18.785067
2012-07-02,20.889999,21.83,19.34,20.24,692700,17.57305
2012-06-01,18.889999,21.040001,18.809999,20.889999,613800,18.137402
2012-05-01,20.92,21.10,18.40,19.17,643300,16.644039
2012-04-02,21.76,22.24,20.58,20.959999,640000,18.017101
2012-03-01,21.200001,22.17,20.690001,21.75,596000,18.69618
2012-02-01,22.49,23.120001,21.01,21.030001,620000,18.077274
2012-01-03,20.219999,23.459999,19.75,22.200001,876000,18.915384
2011-12-01,19.00,20.34,18.27,19.65,1252500,16.74267
2011-11-01,18.049999,19.860001,17.799999,19.00,934700,16.188841
2011-10-03,17.99,21.75,16.110001,18.860001,1024800,15.906495
2011-09-01,20.08,20.27,17.709999,18.01,814600,15.189607
2011-08-01,21.299999,21.60,17.639999,19.940001,1124000,16.817366
2011-07-01,22.799999,24.09,20.559999,20.91,1055500,17.454308
2011-06-01,24.02,24.10,20.60,22.66,752600,18.915092
2011-05-02,25.889999,26.35,22.07,24.02,914000,20.050333
2011-04-01,22.950001,27.16,22.950001,25.74,1266900,21.310751
2011-03-01,19.01,23.040001,18.950001,22.92,1076200,18.976007
2011-02-01,19.709999,20.690001,17.969999,18.610001,930000,15.407658
2011-01-03,20.75,21.09,19.059999,19.469999,659700,15.95167
2010-12-01,18.639999,21.02,18.639999,20.52,639100,16.81193
2010-11-01,20.08,20.23,17.90,18.27,860500,14.968516
2010-10-01,20.379999,21.57,18.700001,19.99,838500,16.212606
2010-09-01,18.370001,20.85,18.129999,20.16,836500,16.350481
2010-08-02,20.75,20.99,17.25,17.91,593600,14.525651
2010-07-01,18.030001,20.99,17.280001,20.299999,678700,16.303637
2010-06-01,18.950001,21.24,17.299999,18.09,870500,14.528708
2010-05-03,21.07,21.40,14.35,19.17,1064400,15.396094
2010-04-01,19.76,22.389999,19.52,21.00,1234600,16.699665
2010-03-01,17.559999,19.940001,17.440001,19.620001,856500,15.60226
2010-02-01,16.639999,17.639999,15.30,17.51,837400,13.92434
2010-01-04,17.629999,18.24,16.50,16.50,1105400,12.956533
2009-12-01,17.00,18.030001,16.559999,17.52,748700,13.757483
2009-11-02,15.31,17.58,15.00,16.77,941500,13.16855
2009-10-01,17.35,17.459999,15.04,15.27,1266500,11.83919
2009-09-01,16.68,18.40,15.83,17.440001,1204300,13.521643
2009-08-03,14.00,17.370001,13.93,16.74,1484200,12.978915
2009-07-01,11.98,14.39,10.97,13.79,1675600,10.545149
2009-06-01,13.58,13.97,10.64,11.89,1430200,9.092228
2009-05-01,12.63,13.50,12.00,13.36,1594100,10.21633
2009-04-01,13.96,16.700001,11.92,12.60,2120200,9.488731
2009-03-02,10.79,15.44,8.97,14.27,1958700,10.746365
2009-02-02,13.83,15.31,10.12,10.44,1436900,7.862091
2009-01-02,17.90,19.790001,13.65,14.05,1352700,10.433119
2008-12-01,15.88,18.57,14.15,18.08,1198700,13.425678
2008-11-03,18.15,19.35,12.52,16.379999,1320800,12.163307
2008-10-01,19.209999,19.389999,12.56,18.16,1799500,13.333311
2008-09-02,26.98,27.41,18.52,19.40,1584800,14.243735
2008-08-01,30.120001,30.190001,26.32,26.91,1061200,19.757677
2008-07-01,25.51,30.389999,24.530001,29.74,2006700,21.686909
2008-06-02,22.32,27.950001,21.84,26.18,1550600,19.090897
2008-05-01,20.35,22.540001,19.799999,22.50,777100,16.407379
2008-04-01,19.65,24.25,19.65,20.17,1277900,14.569415
2008-03-03,19.32,20.48,17.25,19.76,1090000,14.273259
2008-02-01,20.57,21.93,18.33,19.219999,1410300,13.8832
2008-01-02,19.459999,20.540001,15.70,20.49,1201000,14.655457
2007-12-03,21.16,21.16,18.73,19.33,757000,13.825768
2007-11-01,22.450001,23.049999,18.51,20.940001,1124900,14.97732
2007-10-01,22.25,24.530001,21.59,22.780001,901200,16.143278
2007-09-04,21.42,22.99,19.629999,22.379999,793400,15.859813
2007-08-01,20.870001,21.620001,17.450001,21.440001,1309000,15.193673
2007-07-02,21.309999,22.709999,19.450001,20.870001,1348600,14.644668
2007-06-01,20.26,21.200001,19.27,21.00,961000,14.735889
2007-05-01,17.219999,20.799999,16.959999,20.24,1657700,14.202591
2007-04-02,17.02,18.00,16.450001,17.139999,923200,11.896276
2007-03-01,16.93,17.32,15.97,16.940001,725100,11.757464
2007-02-01,16.83,18.33,16.139999,17.280001,866600,11.993446
2007-01-03,16.65,17.200001,16.10,16.84,588100,11.547407
2006-12-01,16.73,17.35,16.309999,16.52,499200,11.327979
2006-11-01,17.41,17.700001,16.41,16.73,670600,11.471978
2006-10-02,15.34,17.60,15.20,17.299999,748600,11.724814
2006-09-01,15.15,15.99,15.02,15.36,739500,10.410009
2006-08-01,16.030001,16.459999,14.22,15.03,977300,10.186357
2006-07-03,17.92,18.32,15.95,16.030001,565500,10.726134
2006-06-01,17.719999,18.17,16.389999,17.93,531600,11.997479
2006-05-01,19.75,20.219999,17.15,17.709999,764100,11.85027
2006-04-03,21.450001,22.65,20.00,20.549999,643600,13.608837
2006-03-01,20.889999,22.00,20.41,21.469999,443800,14.218089
2006-02-01,20.299999,21.51,20.120001,21.01,553100,13.913464
2006-01-03,19.790001,21.60,19.469999,20.50,568700,13.444876
2005-12-01,19.389999,20.15,19.01,19.68,430100,12.907082
2005-11-01,17.879999,19.610001,17.809999,19.25,483500,12.625067
2005-10-03,18.959999,19.18,16.65,17.879999,727000,11.605036
2005-09-01,18.75,19.530001,18.049999,18.99,550800,12.325483
2005-08-01,18.50,18.84,17.51,18.68,721300,12.124277
2005-07-01,18.10,20.00,17.700001,18.35,980200,11.777017
2005-06-01,18.73,19.469999,17.67,18.24,547800,11.706419
2005-05-02,18.00,18.950001,17.09,18.77,844900,12.046573
2005-04-01,22.309999,23.790001,17.65,17.74,965200,11.264074
2005-03-01,24.940001,25.280001,21.84,22.299999,634500,14.159461
2005-02-01,22.299999,25.35,22.299999,24.950001,939000,15.842089
2005-01-03,22.02,22.85,20.219999,22.27,737900,14.025263
2004-12-01,22.700001,22.99,20.549999,22.02,624800,13.867818
2004-11-01,18.82,22.809999,18.51,22.690001,861100,14.289772
2004-10-01,20.049999,20.48,18.18,18.700001,550100,11.664402
2004-09-01,16.93,20.24,16.799999,20.00,715600,12.475296
2004-08-02,17.18,17.90,15.93,16.889999,425800,10.535387
2004-07-01,17.67,17.90,16.540001,17.280001,420500,10.652591
2004-06-01,16.549999,17.780001,16.26,17.620001,428200,10.86219
2004-05-03,17.27,17.629999,15.20,16.450001,477900,10.140921
2004-04-01,17.809999,18.99,17.209999,17.27,404200,10.525167
2004-03-01,18.299999,18.98,16.370001,17.85,468500,10.878647
2004-02-02,19.08,19.370001,17.379999,18.16,812100,11.067575
2004-01-02,20.00,20.51,18.08,19.07,581700,11.492099
2003-12-01,18.209999,20.530001,18.209999,20.059999,370500,12.088699
2003-11-03,17.450001,18.280001,16.459999,18.209999,368200,10.973839
2003-10-01,15.90,18.00,15.79,17.41,420000,10.371902
2003-09-02,18.40,18.73,15.82,15.82,434700,9.424668
2003-08-01,18.280001,18.41,16.15,18.209999,462900,10.848495
2003-07-01,17.10,19.00,16.90,18.68,305300,10.99514
2003-06-02,17.83,18.360001,16.549999,17.10,284700,10.065145
2003-05-01,18.120001,18.379999,16.530001,17.66,425000,10.394763
2003-04-01,18.18,19.700001,16.40,18.120001,451200,10.54915
2003-03-03,16.50,20.00,15.95,18.17,452600,10.578259
2003-02-03,16.129999,16.719999,15.10,16.50,387800,9.606013
2003-01-02,15.55,16.68,14.97,16.120001,442900,9.268348
2002-12-02,15.25,15.85,14.12,15.55,299800,8.94062
2002-11-01,15.36,15.74,14.00,15.09,375000,8.676139
2002-10-01,16.280001,17.059999,13.90,16.26,356100,9.223858
2002-09-03,18.90,18.92,15.59,16.379999,428300,9.291929
2002-08-01,18.549999,19.50,17.15,19.00,283500,10.778185
2002-07-01,22.15,22.60,17.299999,18.549999,413800,10.405991
2002-06-03,19.450001,22.25,18.59,22.15,512900,12.425483
2002-05-01,18.209999,20.40,17.709999,19.68,372600,11.039887
2002-04-01,18.549999,19.299999,16.98,18.209999,239400,10.101758
2002-03-01,17.10,18.799999,17.00,18.799999,300300,10.429052
2002-02-01,14.64,17.24,14.25,16.889999,224100,9.369505
2002-01-02,16.34,17.41,13.85,14.39,257400,7.877073
2001-12-03,16.42,16.799999,15.25,16.139999,193200,8.835021
2001-11-01,14.90,17.25,14.30,16.52,318600,9.043034
2001-10-01,14.70,16.24,12.05,14.98,362500,8.200038
2001-09-04,16.799999,17.139999,13.30,14.70,203700,8.046766
2001-08-01,16.620001,17.25,15.32,16.559999,115300,9.064929
2001-07-02,17.200001,18.00,16.200001,16.870001,122800,9.122279
2001-06-01,18.60,19.23,15.00,16.99,233600,9.187167
2001-05-01,19.049999,19.73,17.90,18.809999,207300,10.171313
2001-04-02,20.59,22.530001,14.90,18.950001,413600,10.137131
2001-03-01,20.60,22.75,18.799999,20.389999,225000,10.907445
2001-02-01,17.950001,21.00,17.76,20.75,199800,11.100023
2001-01-02,21.375,21.5625,17.875,17.91,292600,9.476254
2000-12-01,17.1875,23.1875,17.1875,22.125,278600,11.706429
2000-11-01,17.625,18.25,16.8125,17.3125,129700,9.160115
2000-10-02,16.00,18.4375,16.00,17.75,159300,9.287247
2000-09-01,17.00,18.00,15.00,16.1875,147300,8.469707
2000-08-01,15.6875,17.8125,15.50,16.50,152500,8.633216
2000-07-03,16.375,17.50,15.4375,15.6875,179800,8.108603
2000-06-01,16.0625,17.75,14.1875,16.50,229600,8.528571
2000-05-01,17.6875,19.125,15.625,15.625,203100,8.076298
2000-04-03,17.5625,19.25,15.5625,17.75,218800,9.071661
2000-03-01,15.50,18.1875,15.00,17.75,174800,9.071661
2000-02-01,17.50,18.50,14.875,15.50,235000,7.921732
2000-01-03,19.5625,21.50,17.50,17.50,259400,8.843469
