Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.80,12.86,12.59,12.72,2740600,11.056384
2013-03-01,11.95,12.77,11.66,12.71,1998900,11.047691
2013-02-01,11.50,12.09,11.44,12.01,1820800,10.284333
2013-01-02,10.80,11.80,10.74,11.40,1684300,9.761981
2012-12-03,10.50,10.90,10.39,10.65,1580700,9.119745
2012-11-01,9.93,10.87,9.65,10.49,2756400,8.982735
2012-10-01,9.30,11.05,9.20,9.88,3009100,8.318576
2012-09-04,8.63,9.81,8.60,9.30,2244500,7.830239
2012-08-01,8.12,9.34,8.06,8.63,2114400,7.266125
2012-07-02,8.28,8.55,7.76,8.06,4132400,6.649562
2012-06-01,9.61,10.88,8.02,8.29,4235500,6.839313
2012-05-01,9.91,10.30,8.76,9.87,2554900,7.995974
2012-04-02,10.50,10.77,9.95,9.95,2159300,8.060783
2012-03-01,10.84,11.21,10.31,10.55,3046600,8.546862
2012-02-01,9.99,11.02,9.96,10.86,1938700,8.654722
2012-01-03,9.46,9.97,8.86,9.88,2836500,7.873725
2011-12-01,7.92,9.64,7.73,9.27,4830000,7.387595
2011-11-01,8.59,8.80,7.15,8.22,3925600,6.411348
2011-10-03,8.84,10.48,8.22,8.84,2284500,6.894929
2011-09-01,9.45,9.90,8.68,8.92,2038300,6.957326
2011-08-01,10.54,10.59,8.99,9.94,2837600,7.6164
2011-07-01,11.80,12.20,10.37,10.44,1883000,7.999519
2011-06-01,12.25,12.29,11.57,11.75,1632400,9.00329
2011-05-02,12.71,13.06,12.31,12.43,1299300,9.390241
2011-04-01,12.73,13.28,12.47,12.67,1279400,9.571548
2011-03-01,12.51,12.76,11.62,12.69,2192400,9.586658
2011-02-01,12.27,12.95,12.06,12.50,1870400,9.308
2011-01-03,13.72,13.92,12.21,12.23,1840700,9.106947
2010-12-01,12.77,13.83,12.73,13.63,935600,10.149444
2010-11-01,13.22,13.31,12.42,12.66,1531400,9.300911
2010-10-01,13.90,14.18,12.93,13.20,1808300,9.697633
2010-09-01,12.92,14.06,12.60,13.85,1573400,10.175168
2010-08-02,12.73,13.13,12.11,12.78,1429800,9.261974
2010-07-01,12.18,13.06,11.78,12.51,1852500,9.066298
2010-06-01,13.81,13.96,12.11,12.13,1740300,8.790904
2010-05-03,15.11,15.21,12.72,13.86,2632600,9.915092
2010-04-01,12.78,15.50,12.75,15.01,2582500,10.737773
2010-03-01,11.32,12.75,11.29,12.68,1571000,9.07095
2010-02-01,10.65,11.53,10.15,11.29,1379900,7.955395
2010-01-04,10.13,10.92,10.02,10.59,1543300,7.462147
2009-12-01,10.77,10.98,10.03,10.04,1519100,7.074594
2009-11-02,10.70,11.19,10.35,10.64,1413700,7.380769
2009-10-01,12.17,12.49,10.50,10.68,1602600,7.408516
2009-09-01,11.86,12.85,11.21,12.18,1286500,8.449038
2009-08-03,10.48,12.18,10.46,11.91,1427500,8.139931
2009-07-01,9.88,10.42,8.98,10.34,1933500,7.066909
2009-06-01,10.37,10.94,9.38,9.85,1804500,6.732017
2009-05-01,9.37,10.49,9.01,10.23,3138700,6.881674
2009-04-01,10.55,12.18,8.75,9.37,3990700,6.303156
2009-03-02,8.68,11.99,7.24,10.82,2845100,7.278564
2009-02-02,10.23,11.39,8.45,9.08,2168400,5.993716
2009-01-02,11.88,12.80,9.95,10.32,2307800,6.812241
2008-12-01,9.81,12.04,8.25,11.92,1825100,7.868402
2008-11-03,9.19,10.26,7.18,10.26,2060900,6.646252
2008-10-01,12.94,12.99,6.77,9.21,1932900,5.96608
2008-09-02,11.10,17.25,10.34,12.75,2674800,8.259232
2008-08-01,10.58,11.02,9.90,10.93,1879700,6.968508
2008-07-01,11.69,12.05,9.19,10.50,2921600,6.694357
2008-06-02,15.04,15.21,11.84,11.84,1438700,7.548685
2008-05-01,14.36,15.33,14.26,15.05,999600,9.485844
2008-04-01,13.09,15.55,12.99,14.35,1326100,9.044641
2008-03-03,13.69,13.71,11.85,12.91,1448400,8.137026
2008-02-01,14.95,15.96,13.62,13.72,1752800,8.546714
2008-01-02,15.35,15.54,12.20,14.93,1923800,9.300469
2007-12-03,14.99,16.67,14.24,15.41,1668000,9.59948
2007-11-01,15.05,17.00,13.57,15.01,2517900,9.250634
2007-10-01,18.719999,19.57,14.47,15.33,1478200,9.447849
2007-09-04,18.129999,19.33,17.950001,18.74,975500,11.549426
2007-08-01,18.280001,19.030001,11.10,18.190001,1829500,11.210463
2007-07-02,21.389999,21.91,18.32,18.360001,1119500,11.215375
2007-06-01,21.620001,22.200001,20.950001,21.26,748700,12.986866
2007-05-01,21.219999,21.76,21.16,21.66,719900,13.133471
2007-04-02,22.190001,22.690001,21.27,21.27,638400,12.896996
2007-03-01,21.98,22.34,21.379999,22.120001,602100,13.412392
