Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.450001,31.49,31.290001,31.48,305800,27.133175
2013-03-01,27.950001,31.629999,27.75,31.60,263900,27.236607
2013-02-01,29.030001,29.42,27.77,28.01,163700,24.039454
2013-01-02,29.09,30.049999,28.83,29.08,150600,24.84215
2012-12-03,28.379999,29.530001,27.610001,28.639999,262400,24.352339
2012-11-01,27.940001,28.42,26.91,28.32,226000,23.961578
2012-10-01,28.10,28.75,27.379999,27.950001,142500,23.533764
2012-09-04,27.15,28.799999,26.50,28.10,184700,23.54632
2012-08-01,26.77,28.16,25.60,27.16,154900,22.647749
2012-07-02,25.57,27.629999,24.950001,26.67,127600,22.130421
2012-06-01,26.32,27.32,24.15,25.610001,209000,21.145885
2012-05-01,30.290001,30.93,26.219999,26.940001,226800,22.133371
2012-04-02,28.50,30.700001,28.01,30.219999,227400,24.714989
2012-03-01,28.559999,28.57,26.049999,28.16,18300,22.923277
2012-02-01,27.10,29.110001,26.98,28.34,31800,23.069805
2012-01-03,29.440001,29.719999,25.91,26.92,59900,21.913872
2011-12-01,29.15,30.799999,27.940001,29.17,28200,23.745455
2011-11-01,26.370001,29.35,26.200001,28.959999,38400,23.574507
2011-10-03,24.15,29.690001,22.190001,27.299999,27700,22.223206
2011-09-01,26.10,26.16,23.290001,24.450001,23000,19.903202
2011-08-01,26.450001,27.040001,21.15,26.08,32600,21.230082
2011-07-01,26.280001,27.299999,25.49,26.450001,19300,21.531275
2011-06-01,25.559999,26.450001,24.26,26.280001,24300,21.392889
2011-05-02,24.25,25.74,23.639999,25.35,23900,20.635834
2011-04-01,23.76,24.469999,22.73,24.290001,20200,19.772955
2011-03-01,22.790001,23.639999,21.459999,23.629999,33100,19.235689
2011-02-01,22.280001,22.809999,21.870001,22.639999,28400,18.429794
2011-01-03,21.67,22.52,20.10,22.17,29400,18.047197
2010-12-01,20.99,22.309999,20.450001,21.67,38400,17.640179
2010-11-01,21.76,22.120001,20.209999,20.690001,36600,16.842422
2010-10-06,20.76,22.190001,20.68,21.620001,32700,17.599478
