Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.51,12.59,12.42,12.50,307800,10.368203
2013-03-01,13.23,13.24,11.95,12.45,252200,10.326731
2013-02-01,13.75,14.50,13.00,13.29,184200,10.971871
2013-01-02,12.40,14.47,12.20,13.70,194500,11.280614
2012-12-03,13.60,13.68,12.02,12.26,285100,10.058758
2012-11-01,14.13,14.28,12.01,13.60,240800,11.109343
2012-10-01,15.34,15.45,13.97,14.07,201800,11.436174
2012-09-04,15.57,16.290001,14.51,15.34,297400,12.468438
2012-08-01,18.219999,19.40,15.03,15.57,287600,12.604088
2012-07-02,17.74,18.68,17.58,18.24,128400,14.715652
2012-06-01,17.18,18.00,16.49,17.74,203300,14.255475
2012-05-01,20.950001,21.059999,17.18,17.639999,275600,14.1035
2012-04-02,22.76,23.120001,20.43,20.91,189500,16.59605
2012-03-01,22.18,23.25,21.549999,22.870001,171200,18.055372
2012-02-01,20.200001,22.75,20.01,22.129999,214000,17.364792
2012-01-03,20.459999,20.77,19.700001,20.15,179100,15.695998
2011-12-01,20.10,20.82,19.530001,20.370001,140600,15.770411
2011-11-01,19.34,20.90,19.24,20.23,164500,15.585824
2011-10-03,20.209999,20.299999,18.01,19.75,227100,15.137711
2011-09-01,22.280001,22.370001,20.26,20.459999,190800,15.600273
2011-08-01,22.15,22.85,19.41,22.299999,292500,16.962729
2011-07-01,21.639999,23.40,21.450001,21.98,224600,16.629723
2011-06-01,20.99,21.77,20.120001,21.639999,172200,16.267948
2011-05-02,21.969999,21.969999,19.50,21.07,219900,15.732214
2011-04-01,22.00,22.65,21.08,22.00,211800,16.321035
2011-03-01,21.90,21.92,19.610001,21.82,221000,16.112173
2011-02-01,21.84,22.360001,20.190001,21.82,247900,16.011145
2011-01-03,22.68,23.09,19.40,21.719999,267600,15.867443
2010-12-01,22.379999,22.98,22.01,22.66,151000,16.459742
2010-11-01,21.07,23.74,21.01,22.059999,204800,15.954796
2010-10-01,20.00,21.50,19.57,20.99,193200,15.11412
2010-09-01,18.370001,19.799999,18.32,19.719999,131100,14.128173
2010-08-02,19.41,19.530001,18.08,18.209999,169700,12.97071
2010-07-01,18.26,19.559999,17.00,19.129999,205100,13.544139
2010-06-01,17.41,19.809999,17.09,18.290001,278300,12.870934
2010-05-03,19.90,19.99,14.36,17.85,485800,12.479505
2010-04-01,17.700001,19.93,17.530001,19.59,221300,13.58348
2010-03-01,17.110001,17.99,16.00,17.58,255000,12.114169
2010-02-01,14.08,17.450001,14.08,17.10,365600,11.698659
2010-01-04,14.74,16.040001,14.00,14.08,308000,9.57047
2009-12-01,13.60,14.84,12.89,14.44,200700,9.743479
2009-11-02,13.09,14.13,12.76,13.65,181300,9.135981
2009-10-01,12.93,14.10,11.75,12.88,237100,8.569142
2009-09-01,12.09,13.84,11.52,12.77,255800,8.435805
2009-08-03,10.40,12.53,10.27,12.10,300500,7.950542
2009-07-01,10.90,11.05,9.07,10.30,238400,6.723557
2009-06-01,11.64,14.00,10.50,10.87,294700,7.044269
2009-05-01,8.83,11.49,8.80,11.42,316100,7.369639
2009-04-01,10.00,10.40,8.75,8.82,255000,5.664104
2009-03-02,9.60,10.84,8.50,10.00,361400,6.396059
2009-02-02,13.13,13.27,7.38,9.65,528700,6.154679
2009-01-02,13.61,15.99,13.13,13.23,267600,8.391791
2008-12-01,16.93,17.00,12.47,13.70,387400,8.638022
2008-11-03,21.23,22.209999,15.63,17.50,382400,10.944987
2008-10-01,23.02,23.889999,15.09,20.99,709500,13.015312
2008-09-02,23.00,25.540001,21.200001,23.24,578600,14.247458
2008-08-01,22.34,25.889999,20.049999,24.450001,424100,14.842338
2008-07-01,26.50,27.40,20.68,22.33,578300,13.406323
2008-06-02,22.93,26.73,21.85,26.41,463800,15.691335
2008-05-01,22.799999,25.940001,20.75,22.90,581500,13.497437
2008-04-01,22.299999,27.799999,21.620001,22.73,784900,13.284946
2008-03-03,19.00,23.15,18.65,22.15,878700,12.846371
2008-02-01,17.25,19.43,16.60,19.040001,290000,10.952244
2008-01-02,15.88,17.33,15.25,17.00,265700,9.681
2007-12-03,15.15,16.120001,14.33,15.98,181800,9.002335
2007-11-01,15.80,15.95,14.76,15.16,187700,8.446978
2007-10-01,15.50,16.00,14.40,15.76,172900,8.685842
2007-09-04,13.80,15.50,13.80,15.20,175800,8.300241
2007-08-01,14.03,14.70,12.90,13.78,180200,7.455884
2007-07-02,13.20,14.75,12.97,14.39,201300,7.713013
2007-06-01,13.64,14.00,12.95,13.32,164500,7.080041
2007-05-01,14.05,14.25,13.05,13.74,213700,7.249042
2007-04-02,14.52,14.85,13.91,14.20,153000,7.438693
2007-03-01,14.60,15.09,12.45,14.76,199800,7.684625
2007-02-01,15.75,15.95,11.35,14.77,197600,7.638048
2007-01-03,16.00,16.139999,14.76,15.90,218400,8.173116
2006-12-01,16.49,16.68,15.80,16.07,149800,8.207596
2006-11-01,16.25,16.67,15.98,16.52,185000,8.379854
2006-10-02,16.07,16.65,15.23,16.309999,216400,8.22591
2006-09-01,16.50,16.50,15.28,16.040001,318300,8.03574
2006-08-01,16.84,17.00,15.25,16.440001,513800,8.163581
2006-07-03,15.41,16.889999,15.35,16.82,134200,8.288301
2006-06-01,15.62,15.90,14.35,15.45,137600,7.553914
2006-05-01,16.35,16.66,15.11,15.62,135600,7.584328
2006-04-03,16.27,16.93,15.90,16.35,196500,7.890484
2006-03-01,15.64,16.379999,14.05,16.17,214700,7.757995
2006-02-01,16.26,16.40,15.00,15.84,205400,7.536691
2006-01-03,15.48,16.91,15.46,16.209999,298300,7.652398
2005-12-01,16.299999,16.75,15.27,15.54,377800,7.273351
2005-11-01,15.89,16.50,15.11,16.26,126400,7.533497
2005-10-03,16.969999,17.00,15.30,15.88,166100,7.290512
2005-09-01,15.69,17.15,15.00,16.83,282300,7.662541
2005-08-01,15.90,15.98,14.73,15.59,521400,7.042135
2005-07-01,15.00,17.23,14.92,15.90,107000,7.130963
2005-06-01,12.70,15.50,12.60,15.17,97500,6.763261
2005-05-02,12.10,13.34,11.79,12.80,70300,5.668596
2005-04-01,13.79,14.26,10.75,12.35,128600,5.429439
2005-03-01,15.15,15.57,12.13,13.89,121800,6.071833
2005-02-01,13.38,15.25,13.38,15.09,86300,6.55508
2005-01-03,13.90,16.15,13.08,13.54,97700,5.84349
2004-12-01,14.91,14.94,12.00,13.95,103500,5.975694
2004-11-01,13.44,15.00,12.26,14.91,103800,6.332498
2004-10-01,11.55,15.29,11.06,13.14,159900,5.544882
2004-09-01,9.95,11.87,9.90,11.52,66900,4.824872
2004-08-02,11.05,11.42,9.50,10.09,84700,4.190182
2004-07-01,9.03,11.00,9.01,10.95,80900,4.51426
2004-06-01,8.80,9.32,8.56,9.07,39800,3.712229
2004-05-03,8.52,8.95,7.80,8.75,44700,3.556787
2004-04-01,9.03,9.12,8.48,8.56,46200,3.452638
2004-03-01,8.44,9.45,8.41,9.03,64900,3.618359
2004-02-02,8.32,8.50,7.00,8.36,75600,3.325667
2004-01-02,8.24,8.90,8.05,8.30,60300,3.276702
2003-12-01,8.20,8.45,8.15,8.26,37000,3.236742
2003-11-03,8.16,8.24,7.66,8.20,36000,3.189514
2003-10-01,8.30,8.47,8.05,8.18,31800,3.158066
2003-09-02,7.70,8.79,7.50,8.40,28400,3.221511
2003-08-01,7.55,7.80,7.13,7.70,29900,2.92891
2003-07-01,7.26,7.89,7.26,7.60,31100,2.867534
2003-06-02,7.20,7.50,6.90,7.36,49000,2.757878
2003-05-01,6.00,7.32,6.00,7.18,40500,2.670042
2003-04-01,5.74,6.15,5.45,6.03,26600,2.220308
2003-03-03,6.61,6.70,5.20,5.84,46400,2.131374
2003-02-03,7.00,7.10,5.70,6.61,54100,2.38861
2003-01-02,6.20,7.45,6.12,7.05,78300,2.53289
2002-12-02,5.60,6.40,5.52,6.30,33600,2.247606
2002-11-01,5.23,5.82,5.10,5.59,31400,1.977952
2002-10-01,5.29,5.49,5.07,5.22,30800,1.830328
2002-09-03,5.25,5.35,5.04,5.25,28500,1.822786
2002-08-01,4.95,5.35,4.50,5.30,25600,1.824115
2002-07-01,5.30,5.35,4.65,4.89,28800,1.666497
2002-06-03,5.40,5.40,5.00,5.27,27800,1.782271
2002-05-01,5.40,5.50,5.25,5.32,30500,1.785209
2002-04-01,5.65,5.95,5.31,5.42,52000,1.802936
2002-03-01,5.22,5.65,4.97,5.65,34000,1.868946
2002-02-01,5.39,5.54,5.19,5.27,20000,1.732313
2002-01-02,5.40,5.56,5.34,5.43,27300,1.7756
2001-12-03,5.50,5.59,5.20,5.33,38400,1.732833
2001-11-01,5.73,5.84,5.44,5.55,42000,1.790967
2001-10-01,5.55,5.95,5.39,5.70,35000,1.819187
2001-09-04,6.36,6.50,5.50,5.60,50700,1.770745
2001-08-01,6.06,6.53,6.06,6.36,35100,1.994972
2001-07-02,5.95,6.35,5.55,6.25,32900,1.942563
2001-06-01,6.52,6.52,5.51,5.81,56200,1.785103
2001-05-01,6.48,6.69,5.00,6.45,82200,1.95631
2001-04-02,6.60,6.85,6.25,6.48,67300,1.941367
2001-03-01,6.50,6.70,6.25,6.58,33900,1.94325
2001-02-01,5.99,6.60,5.90,6.58,28800,1.916162
2001-01-02,6.00,6.1875,5.625,5.95,18900,1.70986
2000-12-01,6.25,6.625,5.75,6.0625,15000,1.720062
2000-11-01,5.6875,6.3125,5.50,6.25,9100,1.753754
2000-10-02,5.625,5.9375,5.25,5.8125,11400,1.609592
2000-09-01,5.4375,5.8125,5.00,5.5625,18300,1.516538
2000-08-01,4.8125,5.50,4.8125,5.4375,20800,1.464474
2000-07-03,4.8125,5.0625,4.75,4.875,10200,1.295389
2000-06-01,4.875,5.125,4.5625,4.875,24600,1.279067
2000-05-01,4.25,5.00,4.25,4.9375,16600,1.278283
2000-04-03,4.50,4.625,4.25,4.25,12600,1.08585
2000-03-01,4.8125,5.125,4.3125,4.4375,11100,1.117403
2000-02-01,5.3125,5.3125,4.375,4.75,11300,1.184064
2000-01-03,5.625,5.625,5.125,5.125,19700,1.264483
