Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.13,8.18,8.12,8.12,67000,6.948188
2013-03-01,8.01,8.22,8.01,8.20,62900,7.016643
2013-02-01,8.22,8.44,8.01,8.09,55600,6.88935
2013-01-02,7.98,8.36,7.98,8.25,48600,6.992433
2012-12-03,8.12,8.12,7.82,7.95,55300,6.70627
2012-11-01,8.30,8.40,7.34,8.09,37400,6.790679
2012-10-01,8.39,8.45,8.25,8.31,39700,6.936739
2012-09-04,8.22,8.56,8.15,8.40,38400,6.974695
2012-08-01,8.21,8.40,8.08,8.27,34200,6.83125
2012-07-02,8.22,8.23,7.96,8.16,35300,6.704306
2012-06-01,7.87,8.20,7.62,8.19,35000,6.69276
2012-05-01,8.30,8.33,7.60,7.92,35500,6.436522
2012-04-02,8.45,8.53,8.12,8.30,35500,6.707919
2012-03-01,8.31,8.62,8.14,8.45,63000,6.7929
2012-02-01,8.09,8.33,7.94,8.27,42700,6.613582
2012-01-03,7.79,8.05,7.70,8.03,42900,6.386982
2011-12-01,7.64,7.72,7.36,7.68,47400,6.073959
2011-11-01,7.83,7.87,7.40,7.65,38400,6.015615
2011-10-03,7.44,7.99,6.87,7.88,37400,6.160317
2011-09-01,8.12,8.12,7.27,7.44,35200,5.782666
2011-08-01,8.30,8.43,6.90,8.10,40800,6.259764
2011-07-01,9.10,9.16,8.17,8.22,41100,6.316011
2011-06-01,9.31,9.40,8.60,9.14,40100,6.986939
2011-05-02,8.94,9.49,8.78,9.31,47000,7.081669
2011-04-01,8.57,8.90,8.46,8.86,42500,6.707283
2011-03-01,8.55,8.55,8.19,8.46,32800,6.371628
2011-02-01,8.50,8.67,8.22,8.47,38900,6.346022
2011-01-03,8.52,8.52,8.26,8.41,31000,6.269089
2010-12-01,8.59,8.59,7.91,8.38,32400,6.214083
2010-11-01,8.68,8.74,7.72,8.49,37800,6.26187
2010-10-01,8.74,8.74,8.28,8.55,43800,6.272734
2010-09-01,8.26,8.70,8.12,8.64,59200,6.305757
2010-08-02,8.47,8.47,8.05,8.19,35500,5.915281
2010-07-01,7.80,8.27,7.50,8.23,33500,5.913109
2010-06-01,7.55,8.25,7.53,7.77,33700,5.551632
2010-05-03,8.38,8.46,6.87,7.63,67600,5.421656
2010-04-01,8.14,8.62,7.90,8.33,37900,5.883379
2010-03-01,7.84,8.27,7.73,8.05,41600,5.655837
2010-02-01,7.47,7.84,7.19,7.80,43500,5.45031
2010-01-04,7.26,7.92,7.16,7.33,56100,5.092163
2009-12-01,7.03,7.53,6.87,7.21,42200,4.98058
2009-11-02,6.63,6.94,6.52,6.89,51900,4.730603
2009-10-01,7.18,7.18,6.16,6.55,75900,4.467934
2009-09-01,6.85,7.17,6.63,7.09,32500,4.806311
2009-08-03,6.58,7.09,6.45,6.80,37600,4.580909
2009-07-01,6.25,6.76,5.99,6.60,37900,4.416535
2009-06-01,6.14,6.25,5.95,6.19,36700,4.114136
2009-05-01,5.83,6.30,5.74,6.06,47400,3.99901
2009-04-01,5.26,5.86,5.15,5.69,36700,3.727447
2009-03-02,5.35,5.47,4.16,5.30,67800,3.444683
2009-02-02,5.59,6.05,4.58,5.20,47900,3.350125
2009-01-02,5.05,5.94,5.05,5.60,60400,3.573699
2008-12-01,4.84,5.28,4.06,5.00,68400,3.161956
2008-11-03,6.30,6.73,4.21,5.04,101500,3.152077
2008-10-01,5.97,6.13,3.75,5.85,113700,3.623671
2008-09-02,7.34,7.35,5.00,5.90,58400,3.624077
2008-08-01,7.55,7.62,7.01,7.29,37000,4.445293
2008-07-01,7.69,7.69,7.04,7.41,39400,4.489192
2008-06-02,8.16,8.25,7.36,7.67,32200,4.617184
2008-05-01,8.09,8.31,7.94,8.12,36200,4.859649
2008-04-01,7.56,8.07,7.52,8.03,40300,4.778594
2008-03-03,7.80,7.81,7.02,7.48,36200,4.425042
2008-02-01,7.99,8.00,7.61,7.82,35400,4.597919
2008-01-02,8.07,8.07,7.31,7.98,36300,4.664217
2007-12-03,7.94,8.05,7.62,8.04,42900,4.643501
2007-11-01,8.23,8.23,7.65,7.87,35900,4.518682
2007-10-01,8.38,8.48,8.11,8.17,37700,4.663858
2007-09-04,8.24,8.45,8.08,8.43,35800,4.785641
2007-08-01,8.20,8.43,7.75,8.24,61500,4.65204
2007-07-02,8.81,9.24,8.16,8.30,48500,4.658664
2007-06-01,8.83,8.98,8.52,8.89,54300,4.963409
2007-05-01,9.01,9.13,8.76,8.81,40200,4.893407
2007-04-02,8.75,9.07,8.73,9.01,36500,4.97883
2007-03-01,8.62,9.08,8.30,8.72,38800,4.794005
2007-02-01,8.61,8.78,8.53,8.62,51000,4.71486
2007-01-03,8.55,8.68,8.43,8.62,38200,4.690016
2006-12-01,8.28,8.58,8.21,8.58,40600,4.643283
2006-11-01,8.31,8.45,8.11,8.38,35000,4.510448
2006-10-02,8.04,8.58,8.00,8.26,36600,4.42119
2006-09-01,7.90,8.04,7.79,8.01,34300,4.263529
2006-08-01,7.69,7.89,7.63,7.87,32800,4.165043
2006-07-03,7.59,7.71,7.48,7.71,59400,4.05729
2006-06-01,7.60,7.74,7.46,7.55,28900,3.95009
2006-05-01,7.70,7.72,7.49,7.66,31700,3.98468
2006-04-03,7.83,7.89,7.55,7.68,32000,3.972076
2006-03-01,7.88,7.90,7.65,7.86,33100,4.042002
2006-02-01,7.70,7.88,7.64,7.86,33400,4.019259
2006-01-03,7.53,7.89,7.48,7.66,34000,3.89492
2005-12-01,7.62,7.74,7.36,7.57,33100,3.827417
2005-11-01,7.59,7.79,7.52,7.67,34400,3.855525
2005-10-03,7.72,7.74,7.03,7.55,49100,3.77363
2005-09-01,7.83,7.93,7.58,7.71,45800,3.830277
2005-08-01,7.84,7.85,7.59,7.80,43100,3.85313
2005-07-01,7.80,8.15,7.70,7.83,62300,3.844371
2005-06-01,7.58,7.97,7.50,7.77,65400,3.791836
2005-05-02,7.31,7.61,7.31,7.56,44900,3.667349
2005-04-01,7.47,7.49,7.30,7.32,29600,3.528463
2005-03-01,7.93,8.04,7.18,7.44,52800,3.563682
2005-02-01,7.81,7.97,7.75,7.87,48000,3.745961
2005-01-03,8.12,8.14,7.63,7.75,30900,3.666897
2004-12-01,7.99,8.20,7.97,8.04,20300,3.781392
2004-11-01,7.91,8.00,7.73,7.99,23600,3.735962
2004-10-01,7.80,7.94,7.72,7.87,17500,3.658015
2004-09-01,7.68,7.95,7.65,7.76,20800,3.585153
2004-08-02,7.36,7.70,7.34,7.62,17000,3.499259
2004-07-01,7.21,7.63,7.17,7.39,19400,3.372513
2004-06-01,7.35,7.53,7.12,7.23,19000,3.278873
2004-05-03,7.57,7.58,6.82,7.33,22400,3.302584
2004-04-01,7.94,8.04,7.32,7.49,31700,3.35249
2004-03-01,7.99,8.05,7.76,7.89,24300,3.509544
2004-02-02,7.99,8.18,7.77,7.92,31100,3.501876
2004-01-02,7.95,8.19,7.83,7.92,34000,3.482135
2003-12-01,7.43,7.95,7.36,7.90,36800,3.453568
2003-11-03,7.35,7.53,7.32,7.38,55800,3.207169
2003-10-01,7.49,7.74,7.38,7.38,25400,3.187286
2003-09-02,7.34,7.54,7.22,7.49,15700,3.215162
2003-08-01,7.22,7.31,7.06,7.31,17200,3.118726
2003-07-01,7.62,7.97,7.10,7.18,31000,3.043042
2003-06-02,7.42,7.90,7.36,7.52,24100,3.167141
2003-05-01,7.28,7.50,7.25,7.39,15400,3.093916
2003-04-01,6.93,7.27,6.87,7.20,22000,2.99553
2003-03-03,6.88,7.02,6.76,6.90,18500,2.852065
2003-02-03,6.83,7.09,6.66,6.87,26500,2.820322
2003-01-02,6.49,6.83,6.41,6.81,15900,2.776381
2002-12-02,6.51,6.63,6.29,6.45,19400,2.611639
2002-11-01,6.02,6.47,5.96,6.47,15300,2.600759
2002-10-01,6.06,6.22,5.80,6.07,16800,2.42175
2002-09-03,6.40,6.54,6.06,6.06,17700,2.399285
2002-08-01,6.29,6.40,5.92,6.35,18700,2.496032
2002-07-01,6.49,6.68,5.51,6.29,27400,2.453553
2002-06-03,7.09,7.10,6.36,6.40,26300,2.477807
2002-05-01,7.39,7.44,7.00,7.10,13000,2.729846
2002-04-01,7.30,7.44,7.13,7.32,18000,2.796937
2002-03-01,7.34,7.60,7.07,7.30,17000,2.768462
2002-02-01,7.33,7.40,7.17,7.34,11500,2.763264
2002-01-02,7.05,7.44,7.02,7.32,15200,2.735378
2001-12-03,7.52,7.52,6.92,7.00,16300,2.596409
2001-11-01,6.77,7.60,6.71,7.50,14600,2.760345
2001-10-01,6.87,7.20,6.60,6.71,16200,2.450673
2001-09-04,7.47,7.49,5.90,6.86,15100,2.485658
2001-08-01,7.37,7.79,7.31,7.45,14900,2.677508
2001-07-02,7.44,7.52,7.26,7.37,12300,2.629512
2001-06-01,7.35,7.49,7.21,7.35,22400,2.603146
2001-05-01,7.04,7.40,7.04,7.34,19500,2.574796
2001-04-02,7.00,7.15,6.65,7.14,26000,2.485741
2001-03-01,8.29,8.30,6.81,6.99,31800,2.414234
2001-02-01,8.25,8.30,7.71,8.29,16000,2.834398
2001-01-02,7.125,8.25,7.00,8.17,32700,2.768485
2000-12-01,6.875,8.50,6.5625,7.125,34500,2.392609
2000-11-01,7.0625,7.375,6.8125,6.8125,25100,2.263828
2000-10-02,7.625,7.625,6.50,7.00,29000,2.30355
2000-09-01,7.9375,8.00,7.50,7.5625,17900,2.462955
2000-08-01,8.00,8.125,7.625,7.9375,11900,2.561592
2000-07-03,7.625,8.00,7.50,7.9375,13900,2.538497
2000-06-01,6.9375,7.6875,6.9375,7.5625,12300,2.396588
2000-05-01,7.25,7.3125,6.875,6.9375,17500,2.178218
2000-04-03,7.125,7.25,6.8125,7.25,25400,2.253849
2000-03-01,6.9375,7.125,6.875,7.0625,19600,2.173291
2000-02-01,7.1875,7.3125,6.875,6.875,23300,2.093941
2000-01-03,6.875,7.375,6.8125,7.125,31400,2.14846
