Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.26,14.34,14.24,14.29,216400,10.918242
2013-03-01,14.05,14.31,14.03,14.17,119500,10.826555
2013-02-01,14.17,14.26,13.90,14.03,103200,10.663328
2013-01-02,13.64,14.25,13.47,14.20,115200,10.735492
2012-12-03,13.68,13.69,13.06,13.57,203400,10.259198
2012-11-01,14.31,14.39,11.47,13.70,216700,10.241313
2012-10-01,14.21,14.42,14.08,14.32,119200,10.646383
2012-09-04,14.41,14.65,14.05,14.21,164700,10.508807
2012-08-01,15.11,15.22,14.29,14.42,98300,10.608253
2012-07-02,14.48,15.12,14.31,15.12,108200,11.067232
2012-06-01,13.23,15.32,12.89,15.32,154300,11.155332
2012-05-01,13.61,13.82,12.88,13.39,94200,9.69453
2012-04-02,13.49,13.65,13.12,13.61,89600,9.798908
2012-03-01,14.18,14.32,13.16,13.47,120500,9.643148
2012-02-01,13.82,14.25,13.63,14.20,114300,10.111115
2012-01-03,13.65,14.01,13.11,13.83,153100,9.794005
2011-12-01,12.77,13.60,12.61,13.44,136900,9.517818
2011-11-01,12.20,13.14,12.10,12.77,120500,8.93928
2011-10-03,11.98,12.49,10.92,12.29,141700,8.550751
2011-09-01,12.69,12.70,11.70,11.93,98900,8.24887
2011-08-01,12.11,12.80,10.70,12.63,154600,8.678565
2011-07-01,12.54,12.87,11.80,11.83,144700,8.072639
2011-06-01,12.39,12.75,11.91,12.59,164600,8.538893
2011-05-02,11.64,12.52,11.60,12.47,161700,8.405035
2011-04-01,11.65,11.74,11.34,11.64,146000,7.794722
2011-03-01,11.60,11.71,11.20,11.66,97300,7.757482
2011-02-01,11.30,11.62,11.30,11.62,110200,7.680306
2011-01-03,11.63,11.68,11.24,11.32,88800,7.432659
2010-12-01,11.56,11.69,10.90,11.56,104200,7.53964
2010-11-01,11.74,11.74,10.60,11.49,109100,7.445013
2010-10-01,11.68,11.75,11.47,11.72,89200,7.544417
2010-09-01,11.34,11.85,11.32,11.61,134700,7.424685
2010-08-02,11.05,11.61,11.02,11.32,112200,7.192042
2010-07-01,10.26,11.10,10.20,10.99,104300,6.936275
2010-06-01,10.38,10.46,10.06,10.20,82200,6.391946
2010-05-03,10.89,10.90,8.98,10.49,126800,6.527875
2010-04-01,10.63,10.88,10.63,10.81,84800,6.681173
2010-03-01,10.33,10.80,10.33,10.64,89900,6.532712
2010-02-01,9.97,10.37,9.53,10.33,99600,6.299492
2010-01-04,9.83,10.15,9.83,9.96,98800,6.029536
2009-12-01,9.36,10.00,9.35,9.96,101400,5.986683
2009-11-02,9.11,9.50,8.95,9.34,99400,5.572149
2009-10-01,9.75,9.82,9.10,9.14,109400,5.412035
2009-09-01,8.86,9.82,8.78,9.77,107200,5.741885
2009-08-03,8.60,9.08,8.51,8.96,142300,5.223835
2009-07-01,7.91,8.74,7.75,8.59,85800,4.96861
2009-06-01,7.36,7.99,7.31,7.94,53200,4.557399
2009-05-01,6.67,7.43,6.62,7.32,71600,4.168247
2009-04-01,6.18,6.73,5.99,6.60,78500,3.725174
2009-03-02,5.62,6.86,4.78,6.32,123000,3.536953
2009-02-02,7.15,7.28,4.92,5.64,116900,3.121253
