Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,33.98,34.040001,33.560001,33.639999,2518400,30.979214
2013-03-01,31.40,34.580002,31.049999,34.029999,1516800,31.338366
2013-02-01,31.41,32.290001,30.129999,31.610001,2311800,28.904276
2013-01-02,29.08,31.110001,28.75,31.01,1771700,28.355635
2012-12-03,27.280001,28.709999,27.16,28.52,1706900,26.078772
2012-11-01,27.629999,28.60,25.83,27.15,1679000,24.639042
2012-10-01,27.059999,28.709999,26.83,27.540001,1997500,24.992973
2012-09-04,27.34,29.200001,26.530001,26.940001,2198100,24.448463
2012-08-01,25.66,27.74,24.709999,27.440001,1840700,24.711643
2012-07-02,26.51,26.690001,24.26,25.59,2101900,23.045589
2012-06-01,23.93,26.24,23.09,26.23,2565400,23.621954
2012-05-01,27.66,28.219999,23.290001,24.559999,3135100,22.118002
2012-04-02,29.469999,29.959999,26.01,27.67,2123900,24.736368
2012-03-01,27.690001,29.84,26.26,29.51,2208400,26.381287
2012-02-01,27.65,28.32,26.09,27.66,2737500,24.560913
2012-01-03,25.43,27.690001,24.209999,27.309999,2436900,24.250128
2011-12-01,23.879999,25.719999,22.809999,24.60,2988700,21.843763
2011-11-01,24.450001,25.59,21.42,24.129999,4474700,21.426422
2011-10-03,22.42,28.76,20.48,25.780001,3343100,22.250589
2011-09-01,25.35,26.16,22.15,22.67,3821300,19.566364
2011-08-01,28.16,28.790001,21.549999,25.360001,4465100,21.88809
2011-07-01,30.35,31.00,27.10,27.629999,2305200,23.847313
2011-06-01,31.17,31.18,27.809999,30.42,2663200,26.25535
2011-05-02,34.779999,35.00,30.549999,31.27,2339300,26.988981
2011-04-01,32.349998,33.799999,30.379999,33.75,1959000,29.129456
2011-03-01,34.27,34.450001,30.280001,32.110001,2738400,27.71398
2011-02-01,33.060001,34.700001,31.690001,34.259998,2658800,29.569633
2011-01-03,33.080002,33.91,31.75,32.77,2245100,28.283623
2010-12-01,27.93,33.34,27.639999,32.560001,2813900,28.102373
2010-11-01,27.190001,30.23,26.68,27.24,2922000,23.510708
2010-10-01,26.219999,28.379999,25.42,26.84,3048800,22.708147
2010-09-01,23.389999,26.639999,23.35,25.92,2928300,21.929775
2010-08-02,26.15,26.280001,21.190001,23.049999,4133100,19.501595
2010-07-01,23.450001,26.129999,22.35,25.610001,3655300,21.6675
2010-06-01,26.809999,27.790001,23.33,23.440001,3795100,19.831556
2010-05-03,29.58,30.74,24.58,27.190001,4063900,23.004267
2010-04-01,29.48,31.41,28.58,29.219999,3863800,24.72176
2010-03-01,23.24,29.610001,23.10,29.209999,4016900,24.713301
2010-02-01,23.24,24.08,20.889999,23.209999,3410300,19.636963
