Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.469999,17.469999,17.139999,17.34,6000,12.538483
2013-03-01,19.799999,19.799999,16.389999,17.32,37100,12.52402
2013-02-01,22.60,22.870001,19.00,19.690001,18700,14.237759
2013-01-02,20.58,23.73,20.280001,22.59,21600,15.647451
2012-12-03,20.25,20.82,18.92,20.23,17800,14.012746
2012-11-01,25.00,25.00,17.629999,20.25,31900,14.0266
2012-10-01,24.25,25.00,23.950001,24.530001,5000,16.991234
2012-09-04,23.52,24.620001,23.379999,24.10,7700,16.693386
2012-08-01,24.60,25.00,23.110001,23.52,9400,16.291636
2012-07-02,22.58,24.940001,22.10,24.60,19100,16.370079
2012-06-01,23.40,23.50,21.85,22.60,16700,15.039178
2012-05-01,25.17,25.440001,22.85,23.42,9300,15.584846
2012-04-02,25.110001,25.370001,25.00,25.17,2900,16.749386
2012-03-01,25.370001,25.85,25.049999,25.10,3800,16.702805
2012-02-01,25.85,26.57,25.00,25.309999,4300,16.842548
2012-01-03,25.65,25.75,24.77,25.68,2600,16.465988
2011-12-01,25.07,25.379999,24.76,25.200001,1300,16.158213
2011-11-01,24.32,25.49,24.32,25.17,2800,16.138977
2011-10-03,24.27,25.15,23.549999,25.129999,5900,16.113329
2011-09-01,25.00,25.030001,24.110001,24.299999,3100,15.581134
2011-08-01,25.23,25.23,21.360001,25.00,5800,16.029974
2011-07-01,25.110001,25.469999,25.10,25.15,4300,15.49005
2011-06-01,25.049999,25.26,24.58,25.200001,2700,15.520846
2011-05-02,24.99,25.450001,24.790001,25.10,1800,15.459256
2011-04-01,25.190001,25.190001,24.629999,24.799999,1700,15.274483
2011-03-01,24.780001,25.190001,24.48,25.190001,2100,15.514688
2011-02-01,25.15,25.459999,24.469999,24.48,1900,15.077394
2011-01-03,24.83,25.299999,24.709999,25.17,2000,14.918426
2010-12-01,24.799999,25.309999,24.559999,24.90,1600,14.758394
2010-11-01,24.950001,25.40,24.450001,24.84,2800,14.722833
2010-10-01,24.639999,24.99,24.50,24.950001,5000,14.788031
2010-09-01,24.280001,24.969999,24.15,24.73,2200,14.657635
2010-08-02,24.40,25.00,23.52,24.15,5300,14.313865
2010-07-01,23.67,24.40,23.379999,24.09,3100,13.724262
2010-06-01,23.24,24.110001,22.92,23.870001,6700,13.598927
2010-05-03,23.040001,23.440001,22.00,23.219999,4300,13.228617
2010-04-01,22.75,23.35,22.50,22.809999,6300,12.995036
2010-03-01,22.290001,22.99,22.200001,22.75,2300,12.960854
2010-02-01,22.299999,23.40,21.24,22.209999,2800,12.653212
2010-01-04,21.969999,23.77,21.709999,22.16,2600,12.091186
2009-12-01,20.540001,22.200001,20.26,21.83,2200,11.911127
2009-11-02,20.83,21.10,19.950001,20.42,1200,11.141788
2009-10-01,21.629999,21.92,20.50,20.59,1600,11.234545
2009-09-01,20.10,21.60,19.110001,21.32,2700,11.632855
2009-08-03,20.299999,21.620001,19.639999,19.68,2200,10.738021
2009-07-01,17.90,20.48,17.299999,20.280001,2500,10.563719
2009-06-01,16.129999,17.99,15.12,17.50,1800,9.115634
2009-05-01,17.049999,18.85,15.70,16.530001,1300,8.610368
2009-04-01,14.12,18.01,13.40,17.110001,1600,8.912486
2009-03-02,13.14,14.74,9.05,14.12,3000,7.355015
2009-02-02,14.26,15.34,11.10,12.74,2800,6.636182
2009-01-02,12.72,17.27,12.72,14.35,2000,6.971392
2008-12-01,12.20,14.57,11.05,12.73,1600,6.184378
2008-11-03,14.25,15.25,8.56,12.02,4100,5.839452
2008-10-01,18.719999,19.219999,8.31,14.25,8500,6.922811
2008-09-02,20.90,21.60,16.120001,18.57,4200,9.021516
2008-08-01,21.200001,21.790001,19.93,20.959999,2900,10.182604
2008-07-01,21.25,23.49,18.309999,20.950001,8400,9.728702
2008-06-02,23.51,24.34,20.57,21.10,8700,9.798358
2008-05-01,23.440001,23.85,22.52,23.610001,1400,10.963944
2008-04-01,22.719999,23.809999,21.83,23.530001,9500,10.926794
2008-03-03,23.75,24.799999,21.870001,22.82,11800,10.597086
2008-02-01,24.549999,25.540001,22.940001,23.75,8900,11.028957
2008-01-02,22.85,24.76,21.959999,24.440001,6000,10.925222
2007-12-03,23.24,24.07,21.58,22.60,10100,10.102701
2007-11-01,23.90,24.15,21.66,23.34,3400,10.433497
2007-10-01,24.84,24.85,23.84,23.98,1800,10.719591
2007-09-04,24.950001,25.280001,24.51,24.540001,4900,10.969925
2007-08-01,25.49,25.58,23.98,24.85,4300,11.108501
2007-07-02,25.709999,26.02,25.459999,25.50,2000,10.971881
2007-06-01,26.18,26.27,25.58,25.709999,2100,11.062237
2007-05-01,25.889999,26.32,25.60,26.299999,3000,11.316096
2007-04-02,25.860001,26.200001,25.709999,25.940001,1300,11.1612
2007-03-01,25.85,25.99,25.65,25.91,1000,11.148292
2007-02-01,26.639999,26.75,25.459999,25.92,1400,11.152595
2007-01-03,25.969999,26.74,25.969999,26.549999,1300,11.013462
2006-12-01,25.85,26.549999,25.68,26.059999,1600,10.810201
2006-11-01,25.60,26.00,25.60,25.99,1200,10.781163
2006-10-02,25.709999,25.85,25.43,25.60,1300,10.619384
2006-09-01,25.290001,25.74,25.09,25.74,1600,10.677459
2006-08-01,25.450001,26.00,25.00,25.25,2600,10.474197
2006-07-03,25.200001,25.60,24.92,25.60,1400,10.230143
2006-06-01,25.10,25.58,25.049999,25.200001,1500,10.070296
2006-05-01,25.049999,25.389999,24.65,25.08,1700,10.022343
2006-04-03,25.25,25.66,24.65,25.049999,1200,10.010354
2006-03-01,25.10,25.65,24.84,25.200001,2000,10.070296
2006-02-01,25.50,25.790001,24.799999,25.10,1800,10.030334
2006-01-03,25.190001,25.67,25.10,25.50,1200,9.811279
2005-12-01,24.790001,25.33,24.610001,25.190001,2300,9.692005
2005-11-01,25.00,25.10,24.549999,24.799999,1900,9.54195
2005-10-03,25.299999,25.35,24.90,24.969999,800,9.607359
2005-09-01,25.25,25.540001,25.040001,25.35,1100,9.753566
2005-08-01,26.10,26.34,24.77,25.15,1800,9.676615
2005-07-01,25.60,26.25,25.60,26.17,1400,9.698571
2005-06-01,25.10,25.809999,25.030001,25.57,1700,9.476212
2005-05-02,24.66,25.43,24.559999,25.200001,2600,9.33909
2005-04-01,24.75,24.75,24.00,24.65,3300,9.135261
2005-03-01,25.190001,25.59,24.799999,24.82,2800,9.198262
2005-02-01,25.700001,25.85,24.82,25.280001,3000,9.368738
2005-01-03,25.73,26.110001,25.549999,25.690001,1300,9.169008
