Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.34,13.36,13.31,13.35,115800,9.723451
2013-03-01,13.39,13.51,13.06,13.31,82200,9.694317
2013-02-01,13.30,13.39,13.02,13.37,89500,9.673001
2013-01-02,12.83,13.34,12.75,13.26,101600,9.528646
2012-12-03,13.00,13.18,12.52,12.74,92000,9.092412
2012-11-01,13.18,13.22,12.02,12.99,117900,8.980488
2012-10-01,13.27,13.57,12.55,13.12,99700,9.008142
2012-09-04,12.84,13.24,12.62,13.23,77600,9.023421
2012-08-01,12.62,12.93,12.34,12.84,84000,8.696184
2012-07-02,11.99,12.52,11.88,12.52,75200,8.419129
2012-06-01,11.69,12.00,11.41,11.94,70200,7.969286
2012-05-01,11.32,11.94,11.31,11.73,121900,7.768484
2012-04-02,11.37,11.46,11.10,11.32,86200,7.439478
2012-03-01,11.39,11.54,11.02,11.36,129300,7.416347
2012-02-01,11.22,11.36,10.78,11.36,97400,7.36764
2012-01-03,10.50,11.28,10.43,11.13,121600,7.17009
2011-12-01,10.32,10.75,9.94,10.40,140600,6.653331
2011-11-01,10.76,10.78,10.00,10.39,105000,6.599091
2011-10-03,10.02,10.89,9.31,10.80,112600,6.811774
2011-09-01,11.32,11.41,9.89,10.03,123300,6.279559
2011-08-01,12.49,12.77,10.55,11.36,165600,7.064785
2011-07-01,13.04,13.24,11.90,12.39,128700,7.652275
2011-06-01,12.54,13.07,12.01,12.94,190800,7.946383
2011-05-02,12.25,12.93,12.13,12.60,77200,7.690979
2011-04-01,11.96,12.28,11.71,12.25,107800,7.431968
2011-03-01,12.50,12.74,11.94,11.96,116800,7.21045
2011-02-01,12.31,12.50,12.10,12.45,90900,7.461569
2011-01-03,11.56,12.39,11.37,12.27,116100,7.309106
2010-12-01,11.95,11.99,10.64,11.50,180700,6.806437
2010-11-01,12.16,12.42,11.01,11.86,122500,6.789459
2010-10-01,11.95,12.16,11.78,12.09,91700,6.879298
