Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.00,11.14,10.75,10.79,222800,10.79
2013-03-01,10.52,11.93,10.34,10.99,136400,10.99
2013-02-01,9.44,10.95,8.91,10.67,136400,10.67
2013-01-02,10.04,10.18,8.90,9.37,145000,9.37
2012-12-03,8.55,9.97,8.33,9.78,159900,9.78
2012-11-01,8.54,8.99,7.92,8.49,140300,8.49
2012-10-01,9.44,9.77,8.36,8.50,104300,8.50
2012-09-04,9.30,10.00,9.00,9.35,146600,9.35
2012-08-01,9.21,9.97,9.00,9.26,130100,9.26
2012-07-02,8.44,9.83,8.36,9.16,169300,9.16
2012-06-01,8.13,8.86,7.89,8.39,211000,8.39
2012-05-01,8.93,9.02,8.04,8.36,165900,8.36
2012-04-02,9.00,10.13,7.83,8.95,189400,8.95
2012-03-01,8.69,9.55,8.08,9.04,194300,9.04
2012-02-01,8.92,9.74,8.65,8.65,170200,8.65
2012-01-03,8.76,9.30,8.40,8.80,132100,8.80
2011-12-01,8.24,8.87,7.65,8.47,208500,8.47
2011-11-01,8.59,9.25,7.08,8.27,223000,8.27
2011-10-03,6.36,9.73,5.60,9.06,300500,9.06
2011-09-01,8.33,8.54,6.27,6.42,232400,6.42
2011-08-01,8.62,8.63,6.79,8.36,311200,8.36
2011-07-01,7.95,9.91,7.75,8.46,169100,8.46
2011-06-01,8.41,8.44,7.20,7.98,211900,7.98
2011-05-02,7.97,8.83,7.70,8.42,228100,8.42
2011-04-01,7.71,8.56,7.23,7.91,211500,7.91
2011-03-01,6.71,7.73,6.33,7.62,295100,7.62
2011-02-01,6.25,7.00,5.73,6.71,277000,6.71
2011-01-03,6.85,7.10,6.10,6.23,219800,6.23
2010-12-01,7.19,7.20,6.14,6.80,386800,6.80
2010-11-01,6.87,7.23,6.74,7.06,253600,7.06
2010-10-01,7.16,7.71,5.93,6.83,415900,6.83
2010-09-01,5.04,7.14,5.00,7.08,297900,7.08
2010-08-02,6.37,6.37,4.87,4.96,205500,4.96
2010-07-01,6.46,6.80,5.94,6.26,288900,6.26
2010-06-01,7.90,8.04,6.19,6.34,340500,6.34
2010-05-03,9.44,9.67,7.62,7.98,265000,7.98
2010-04-01,8.34,10.34,8.24,9.37,220700,9.37
2010-03-01,7.59,8.86,7.49,8.26,236600,8.26
2010-02-01,8.10,8.47,7.31,7.52,244700,7.52
2010-01-04,8.31,8.67,7.97,8.08,206700,8.08
2009-12-01,7.64,8.34,7.23,8.25,225400,8.25
2009-11-02,7.49,8.03,7.20,7.56,233500,7.56
2009-10-01,8.21,8.31,7.46,7.47,515400,7.47
2009-09-01,9.44,9.50,7.63,8.31,495900,8.31
2009-08-03,9.56,10.64,9.23,9.36,326900,9.36
2009-07-01,10.92,10.97,8.78,9.59,396800,9.59
2009-06-01,12.13,12.93,10.34,10.84,269800,10.84
2009-05-01,10.50,11.97,9.10,11.97,383700,11.97
