Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.94,12.98,12.80,12.83,219800,10.4335
2013-03-01,13.20,13.28,12.27,12.88,210100,10.474161
2013-02-01,13.38,13.43,12.96,13.14,144000,10.633295
2013-01-02,13.29,13.79,13.16,13.30,185500,10.71025
2012-12-03,13.81,13.88,12.80,13.16,235100,10.546786
2012-11-01,13.42,13.84,12.49,13.75,195200,10.966214
2012-10-01,13.23,13.49,12.88,13.30,156900,10.555791
2012-09-04,13.24,13.25,12.85,13.22,119600,10.440156
2012-08-01,13.31,13.38,12.88,13.19,130300,10.364542
2012-07-02,13.06,13.35,12.96,13.27,128200,10.376252
2012-06-01,12.54,12.99,12.46,12.99,128900,10.106912
2012-05-01,12.32,12.57,12.15,12.54,120000,9.707007
2012-04-02,12.28,12.31,12.06,12.28,107300,9.455796
2012-03-01,12.33,12.62,11.46,12.18,173400,9.329152
2012-02-01,12.87,13.06,12.10,12.34,251800,9.402982
2012-01-03,11.34,13.02,11.28,12.87,351700,9.757728
2011-12-01,11.19,11.39,11.06,11.24,126800,8.474354
2011-11-01,11.08,11.16,10.93,11.15,100800,8.357492
2011-10-03,11.01,11.21,10.74,11.05,99200,8.233816
2011-09-01,10.87,11.20,10.63,11.05,110800,8.185162
2011-08-01,10.41,10.82,9.79,10.81,149600,7.959414
2011-07-01,10.56,10.82,10.24,10.29,119900,7.527438
2011-06-01,10.48,10.62,10.21,10.53,110000,7.656034
2011-05-02,10.15,10.45,10.10,10.45,104700,7.551102
2011-04-01,10.15,10.24,9.92,10.08,98500,7.237553
2011-03-01,10.32,10.35,10.05,10.10,120700,7.2057
2011-02-01,9.99,10.37,9.96,10.27,174400,7.280746
2011-01-03,10.04,10.09,9.23,9.95,261500,7.008128
2010-12-01,10.80,10.80,9.63,10.05,333100,7.031851
2010-11-01,11.70,11.75,9.75,10.59,268400,7.36147
2010-10-01,11.79,11.81,11.53,11.64,88400,8.045467
2010-09-01,11.85,12.09,11.47,11.75,92600,8.076263
2010-08-02,11.66,11.82,11.55,11.73,79300,8.018253
2010-07-01,11.34,11.61,11.07,11.61,67000,7.891947
2010-06-01,11.16,11.39,11.02,11.35,92200,7.671259
2010-05-03,11.14,11.27,10.58,11.12,122600,7.47284
2010-04-01,10.96,11.08,10.66,11.08,100200,7.401352
2010-03-01,11.22,11.35,10.91,10.91,128400,7.244884
2010-02-01,11.05,11.39,10.71,11.13,100000,7.348501
2010-01-04,10.45,11.09,10.40,11.04,104700,7.246319
2009-12-01,10.48,10.92,10.34,10.52,140200,6.863943
2009-11-02,10.31,10.47,9.99,10.46,124400,6.78372
2009-10-01,11.19,11.98,9.90,10.14,172700,6.534687
2009-09-01,10.47,11.47,10.38,11.23,107300,7.197268
2009-08-03,10.14,10.45,9.64,10.40,112000,6.625758
2009-07-01,9.31,10.18,9.30,10.12,90000,6.405548
2009-06-01,9.64,9.80,8.95,9.31,110700,5.853846
2009-05-01,9.08,9.74,8.76,9.56,113800,5.97055
2009-04-01,8.48,9.09,8.34,9.01,95200,5.587894
2009-03-02,8.33,8.50,7.67,8.45,111400,5.200655
2009-02-02,7.93,8.99,7.56,8.38,172700,5.114538
2009-01-02,6.73,8.64,6.73,7.90,287600,4.785433
2008-12-01,7.99,7.99,5.05,6.76,542600,4.028666
2008-11-03,9.27,9.85,7.98,8.00,190900,4.767652
2008-10-01,11.11,11.70,6.50,9.27,198200,5.487382
2008-09-02,13.23,13.40,9.22,11.30,131100,6.64224
2008-08-01,13.31,13.37,13.04,13.20,72100,7.721071
2008-07-01,13.43,13.87,13.05,13.29,74100,7.735551
2008-06-02,14.15,14.19,13.20,13.40,74000,7.76249
2008-05-01,14.17,14.18,13.76,14.14,84800,8.153271
2008-04-01,13.98,14.32,13.61,14.05,77000,8.063735
2008-03-03,13.68,14.19,13.44,13.86,110500,7.91757
2008-02-01,15.28,15.40,13.50,13.56,146000,7.71023
2008-01-02,13.65,15.50,13.61,15.30,151000,8.662491
2007-12-03,13.84,14.32,13.23,13.69,253300,7.717758
2007-11-01,14.25,14.31,13.21,13.73,154400,7.704902
2007-10-01,14.72,14.87,14.33,14.40,62900,8.043662
2007-09-04,14.30,14.88,14.27,14.74,74500,8.197299
2007-08-01,14.69,14.92,12.89,14.26,112700,7.895482
2007-07-02,14.71,14.90,14.35,14.63,91300,8.064329
2007-06-01,15.54,15.54,14.50,14.68,94000,8.055987
2007-05-01,15.62,15.73,15.36,15.42,64000,8.426201
2007-04-02,15.70,16.120001,15.36,15.57,75200,8.472853
2007-03-01,15.36,15.74,15.24,15.60,72200,8.453852
2007-02-01,15.39,15.61,15.16,15.27,89000,8.240206
2007-01-03,15.94,15.98,14.95,15.33,111800,8.237645
2006-12-01,15.90,16.049999,15.61,15.96,82000,8.53979
2006-11-01,15.40,15.90,15.32,15.90,79200,8.470089
2006-10-02,15.33,15.64,15.14,15.40,84600,8.166684
2006-09-01,15.46,15.58,15.07,15.33,92700,8.092321
2006-08-01,14.90,15.38,14.87,15.26,82500,8.018297
2006-07-03,14.72,14.96,14.48,14.89,78200,7.787322
2006-06-01,14.52,14.78,14.35,14.64,77800,7.620115
2006-05-01,14.70,14.80,14.40,14.45,106000,7.48538
2006-04-03,14.85,14.86,14.40,14.60,96300,7.527142
2006-03-01,14.93,14.93,14.36,14.75,85100,7.567941
2006-02-01,15.20,15.25,14.20,14.86,228600,7.587521
2006-01-03,15.85,15.98,14.75,15.25,192000,7.748804
2005-12-01,15.51,15.98,15.30,15.83,85700,8.000613
2005-11-01,15.09,15.60,15.04,15.26,102300,7.671293
2005-10-03,15.51,15.51,14.58,15.04,128700,7.51916
2005-09-01,15.59,15.72,15.09,15.36,121000,7.635261
2005-08-01,15.35,15.59,15.11,15.59,95900,7.749591
2005-07-01,15.48,15.72,15.14,15.30,124500,7.563735
2005-06-01,15.03,15.50,15.01,15.43,108800,7.587216
2005-05-02,14.87,15.06,14.82,15.02,106200,7.34509
2005-04-01,14.73,14.87,14.42,14.85,102600,7.221451
2005-03-01,14.86,15.06,14.20,14.62,133600,7.068502
2005-02-01,15.00,15.15,14.61,14.86,153100,7.144088
2005-01-03,14.44,14.99,14.43,14.94,158100,7.142672
2004-12-01,14.18,14.53,14.13,14.44,130100,6.864312
2004-11-01,14.60,14.63,13.86,14.11,132700,6.668637
