Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,131.660004,131.660004,130.050003,130.470001,126200,117.091209
2013-03-01,135.339996,140.089996,129.669998,131.820007,110100,118.30278
2013-02-01,143.820007,143.839996,135.149994,136.979996,88200,122.933647
2013-01-02,144.860001,146.679993,140.169998,142.199997,85200,127.618378
2012-12-03,132.669998,143.940002,131.529999,143.779999,116300,129.036362
2012-11-01,135.809998,138.029999,129.020004,133.149994,109400,119.496384
2012-10-01,130.130005,142.770004,128.210007,135.759995,126600,121.838753
2012-09-04,119.00,131.990005,116.349998,129.160004,169900,115.915543
2012-08-01,126.529999,128.279999,119.510002,120.300003,158000,107.964073
2012-07-02,128.889999,130.660004,119.110001,124.940002,148100,109.913757
2012-06-01,124.00,138.589996,123.839996,129.139999,184600,113.608627
2012-05-01,149.289993,151.75,124.57,126.07,185300,110.907852
2012-04-02,139.899994,150.610001,136.779999,148.820007,155300,128.279617
2012-03-01,150.979996,152.990005,135.869995,140.529999,195400,121.133812
2012-02-01,148.729996,153.350006,145.889999,150.229996,180600,129.494995
2012-01-03,129.369995,149.869995,128.570007,145.50,246400,125.417839
2011-12-01,130.190002,131.179993,114.389999,124.309998,217800,107.152519
2011-11-01,127.139999,135.679993,120.449997,130.75,237200,112.703659
2011-10-03,120.480003,136.880005,113.00,129.610001,345700,111.721008
2011-09-01,129.070007,130.220001,111.290001,120.489998,297300,103.859764
2011-08-01,144.820007,144.820007,115.830002,128.50,419100,108.510643
2011-07-01,146.169998,150.00,140.00,142.229996,216300,120.104813
2011-06-01,144.130005,146.619995,134.149994,146.029999,309800,123.31369
2011-05-02,146.259995,146.449997,131.00,144.119995,405700,121.700806
2011-04-01,154.529999,158.830002,144.00,145.580002,332800,120.409798
2011-03-01,137.009995,152.899994,131.339996,152.25,269400,125.926582
2011-02-01,142.490005,144.070007,131.00,136.330002,263500,112.759087
2011-01-03,133.360001,140.779999,129.259995,139.270004,254800,115.190773
2010-12-01,125.879997,132.139999,123.50,131.490005,242900,108.755905
2010-11-01,124.269997,136.50,119.889999,122.839996,341100,101.601448
2010-10-01,116.660004,130.220001,116.040001,122.949997,392900,101.692429
2010-09-01,110.260002,116.93,108.470001,116.419998,300600,96.291443
2010-08-02,116.50,118.050003,106.720001,108.769997,297400,88.298485
2010-07-01,110.580002,115.989998,103.389999,114.470001,339300,92.925697
2010-06-01,107.080002,118.720001,104.040001,109.730003,506200,89.077812
2010-05-03,115.879997,116.169998,99.019997,107.300003,704900,87.105156
2010-04-01,119.139999,123.18,113.089996,115.129997,440000,91.795334
2010-03-01,113.940002,120.669998,111.360001,117.220001,425200,93.461731
2010-02-01,112.949997,117.400002,104.879997,111.919998,469900,89.235939
2010-01-04,120.709999,132.389999,111.160004,111.489998,478000,88.893089
