Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,29.780001,30.200001,29.57,29.98,2148600,29.98
2013-03-01,30.60,34.900002,27.76,29.629999,2636400,29.629999
2013-02-01,30.75,33.630001,29.09,30.77,2005100,30.77
2013-01-02,30.549999,34.369999,29.129999,30.57,2852000,30.57
2012-12-03,25.469999,29.799999,24.24,29.690001,3237300,29.690001
2012-11-01,20.620001,25.450001,20.549999,24.99,1947400,24.99
2012-10-01,22.030001,23.870001,20.01,20.57,1500800,20.57
2012-09-04,22.51,25.50,21.379999,22.049999,2924000,22.049999
2012-08-01,14.98,24.879999,13.80,22.389999,2868100,22.389999
2012-07-02,17.799999,18.200001,14.48,14.71,1304400,14.71
2012-06-01,19.040001,20.32,16.59,17.290001,1062800,17.290001
2012-05-01,24.50,25.450001,18.50,20.00,1869300,20.00
2012-04-02,24.190001,26.18,20.01,24.57,2164700,24.57
2012-03-01,21.17,26.35,20.50,24.450001,2048200,24.450001
2012-02-01,17.90,21.190001,16.10,21.139999,1929000,21.139999
2012-01-03,16.440001,18.450001,13.71,18.10,1303800,18.10
2011-12-01,16.389999,19.49,15.51,15.69,912700,15.69
2011-11-01,18.50,20.50,15.41,16.42,1538200,16.42
2011-10-03,16.549999,21.49,14.30,20.209999,749500,20.209999
2011-09-01,23.559999,23.99,16.07,16.34,372200,16.34
2011-08-01,23.799999,26.08,17.10,23.799999,694200,23.799999
2011-07-01,19.17,25.75,19.17,23.049999,684800,23.049999
2011-06-01,26.49,26.98,16.01,19.41,1255000,19.41
2011-05-02,28.809999,29.90,24.049999,26.10,1384700,26.10
2011-04-01,29.799999,35.720001,24.01,28.50,4428200,28.50
2011-03-30,27.00,36.209999,26.76,29.59,20372100,29.59
