Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,59.75,59.93,58.00,58.669998,1247400,55.314716
2013-03-01,55.860001,61.68,54.450001,59.75,592000,56.332954
2013-02-01,57.779999,59.349998,54.040001,56.200001,684600,52.985977
2013-01-02,51.00,57.360001,50.41,56.779999,513100,53.245094
2012-12-03,47.580002,51.009998,46.720001,49.93,484100,46.821548
2012-11-01,44.860001,48.25,42.779999,47.07,501200,44.139603
2012-10-01,39.080002,47.00,38.689999,45.119999,544100,42.01297
2012-09-04,40.029999,43.360001,38.349998,39.060001,463100,36.370274
2012-08-01,39.57,42.759998,37.740002,40.009998,476400,37.254852
2012-07-02,35.860001,39.790001,32.759998,39.439999,1045100,36.44825
2012-06-01,42.209999,43.889999,33.950001,36.009998,1030800,33.278435
2012-05-01,48.84,50.259998,40.93,43.209999,815100,39.932274
2012-04-02,52.619999,54.279999,48.110001,48.720001,908600,44.724628
2012-03-01,53.41,55.950001,51.52,52.799999,552200,48.470039
2012-02-01,56.889999,57.630001,51.41,53.23,749900,48.864777
2012-01-03,54.66,57.34,53.619999,56.279999,475000,51.384605
2011-12-01,52.299999,54.349998,49.549999,53.139999,487700,48.517731
2011-11-01,48.810001,53.889999,46.740002,52.279999,755900,47.732536
2011-10-03,37.009998,52.369999,34.279999,50.939999,873500,46.251793
2011-09-01,47.150002,47.630001,37.509998,37.509998,696400,34.057808
2011-08-01,57.150002,57.540001,40.18,47.080002,1097400,42.747047
2011-07-01,57.18,60.380001,55.310001,56.32,659200,50.813774
2011-06-01,54.689999,57.040001,50.029999,56.849998,572100,51.291958
2011-05-02,53.91,55.669998,51.700001,55.00,713400,49.622829
2011-04-01,50.91,54.68,49.32,53.50,812100,48.03355
2011-03-01,48.040001,50.860001,46.16,50.599998,618500,45.429863
2011-02-01,48.689999,52.209999,45.93,47.830002,711900,42.942894
2011-01-03,53.09,53.630001,47.720001,48.080002,589200,42.930695
2010-12-01,44.189999,52.799999,43.889999,52.639999,571000,47.002323
2010-11-01,43.93,45.650002,42.32,43.110001,452700,38.492977
2010-10-01,43.150002,46.799999,41.43,43.75,578000,38.819485
2010-09-01,39.080002,44.110001,38.59,42.77,537700,37.949928
2010-08-02,44.389999,44.450001,37.00,38.369999,561800,34.045795
2010-07-01,40.279999,44.779999,38.07,43.669998,797300,38.494316
