Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.67,21.75,21.27,21.370001,809000,19.899492
2013-03-01,22.709999,22.91,20.73,21.700001,512100,20.206785
2013-02-01,21.940001,22.950001,20.700001,22.780001,572600,21.212469
2013-01-02,21.200001,22.00,20.84,21.91,337200,20.288832
2012-12-03,22.860001,22.950001,20.52,20.889999,480900,19.344303
2012-11-01,22.57,22.92,20.50,22.91,536100,21.21484
2012-10-01,19.32,23.57,19.01,22.49,699800,20.702765
2012-09-04,18.67,20.41,18.200001,19.23,780400,17.70183
2012-08-01,21.16,21.299999,17.809999,18.66,878900,17.177126
2012-07-02,21.18,22.42,20.02,21.07,394500,19.271227
2012-06-01,19.60,21.42,18.83,21.25,418900,19.43586
2012-05-01,21.120001,21.870001,19.25,19.82,511500,18.127941
2012-04-02,23.68,23.879999,20.049999,21.129999,477800,19.220142
2012-03-01,24.51,24.610001,22.93,23.76,324100,21.612429
2012-02-01,23.709999,26.00,23.360001,24.42,623100,22.212772
2012-01-03,22.379999,24.25,20.90,23.549999,295000,21.32163
2011-12-01,20.60,22.74,19.469999,22.08,413400,19.990726
2011-11-01,17.99,21.530001,17.90,20.57,516100,18.623606
2011-10-03,19.90,22.07,18.02,19.940001,939500,17.950033
2011-09-01,22.91,23.139999,19.91,20.190001,333100,18.175083
2011-08-01,27.639999,28.559999,21.16,22.99,527100,20.695648
2011-07-01,27.43,29.629999,26.82,27.389999,281800,24.535923
2011-06-01,27.68,27.73,24.879999,27.49,359500,24.625504
2011-05-02,31.629999,31.75,26.469999,27.719999,387300,24.831537
2011-04-01,28.27,31.620001,27.26,31.27,367900,27.902527
2011-03-01,25.540001,28.25,23.76,28.15,422800,25.118521
2011-02-01,25.059999,26.50,24.41,25.50,530200,22.753899
2011-01-03,23.25,25.57,23.02,24.93,394300,22.154715
2010-12-01,20.360001,23.75,19.870001,23.049999,376800,20.484001
2010-11-01,21.139999,21.41,19.549999,20.02,426000,17.791311
2010-10-01,20.860001,21.48,20.33,21.18,228000,18.721958
2010-09-01,18.370001,21.17,18.219999,20.77,274400,18.359541
2010-08-02,18.780001,18.889999,17.32,18.23,359500,16.114319
2010-07-01,18.17,20.67,17.17,18.610001,915500,16.354313
2010-06-01,20.23,21.299999,17.959999,18.219999,430500,16.011583
2010-05-03,23.379999,23.860001,19.68,20.379999,565800,17.909773
2010-04-01,21.52,23.940001,21.32,23.40,302700,20.463852
2010-03-01,20.85,22.469999,20.40,21.530001,488200,18.828493
2010-02-01,20.99,21.23,19.219999,20.969999,605400,18.338758
2010-01-04,22.66,23.09,20.799999,21.02,449000,18.291754
2009-12-01,24.00,24.77,22.34,22.43,467700,19.518745
2009-11-02,21.860001,25.690001,21.16,23.82,551300,20.728333
2009-10-01,24.65,24.809999,21.790001,21.92,570900,18.997524
2009-09-01,24.75,26.25,23.82,24.540001,359200,21.268215
2009-08-03,24.33,26.809999,22.549999,25.059999,436900,21.718885
2009-07-01,23.389999,25.52,22.59,24.00,376500,20.715414
2009-06-01,24.09,24.34,21.790001,23.450001,451700,20.240686
2009-05-01,22.540001,26.42,22.290001,22.90,814100,19.765957
2009-04-01,18.50,22.540001,18.27,22.40,708200,19.264811
2009-03-02,15.44,19.450001,13.99,18.59,705300,15.988073
2009-02-02,18.25,20.610001,14.77,15.05,871300,12.943545
2009-01-02,21.379999,22.639999,17.209999,18.360001,532300,15.713281
2008-12-01,18.15,22.98,16.84,21.42,682700,18.332159
2008-11-03,18.709999,20.98,16.290001,18.67,758500,15.978591
2008-10-01,22.860001,23.41,15.97,18.57,940400,15.810087
2008-09-02,26.459999,26.50,21.360001,23.360001,483600,19.888189
2008-08-01,26.280001,28.23,25.969999,26.459999,296400,22.527458
2008-07-01,26.799999,26.93,23.629999,26.110001,320500,22.15527
2008-06-02,27.09,27.43,24.120001,27.129999,504500,23.020775
2008-05-01,26.209999,27.99,24.57,27.57,347000,23.394131
2008-04-01,83.12001,89.459999,24.059999,24.950001,673000,21.107224
2008-03-03,71.399994,84.039993,70.260002,82.119987,562700,23.157312
2008-02-01,81.429993,85.379997,67.199997,71.610001,623200,20.193563
2008-01-02,82.350006,84.30999,71.420006,82.389984,556300,23.165228
2007-12-03,73.37001,85.910004,73.37001,82.700012,303800,23.252394
2007-11-01,74.720009,76.830002,69.26001,74.100006,319600,20.834368
2007-10-01,65.25,76.100014,64.820007,74.829994,442300,20.969191
2007-09-04,64.409996,65.82,62.850002,65.100006,189400,18.242611
2007-08-01,65.000008,66.549988,58.070011,64.610016,283300,18.105303
2007-07-02,62.949989,67.250008,61.37001,65.199989,235000,18.199213
2007-06-01,58.959991,64.310013,58.23,62.619987,229700,17.479059
2007-05-01,60.770012,62.570011,55.919998,58.98999,262300,16.46582
2007-04-02,58.409996,62.000008,58.409996,59.079994,195200,16.433062
2007-03-01,57.510002,58.98999,54.050011,58.520012,247700,16.277302
2007-02-01,59.349991,63.249992,55.919998,57.510002,343800,15.996369
2007-01-03,53.52,59.529991,52.749992,59.270012,272800,16.429539
2006-12-01,54.080009,54.239998,50.180008,53.540009,152100,14.841193
2006-11-01,54.419998,54.680008,51.53001,54.080009,154200,14.99088
2006-10-02,53.610001,55.040009,52.02,54.53001,128200,15.055064
2006-09-01,49.199997,54.27,48.710007,53.610001,175700,14.801062
2006-08-01,53.499992,53.960007,48.189987,48.950008,230200,13.514494
2006-07-03,53.180008,54.759991,48.810001,54.00,232500,14.847562
2006-06-01,58.749992,59.499992,48.830009,53.180008,259100,14.622102
2006-05-01,53.900009,60.48999,52.23999,59.000008,315700,16.22234
2006-04-03,49.299992,58.050003,49.23999,53.900009,222500,14.772408
