Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.50,11.51,11.17,11.32,934600,11.32
2013-03-01,10.05,11.56,9.50,11.51,386600,11.51
2013-02-01,8.55,10.35,8.32,10.18,378500,10.18
2013-01-02,8.34,9.09,8.21,8.51,251000,8.51
2012-12-03,8.54,8.91,7.95,8.13,490800,8.13
2012-11-01,8.89,9.07,7.75,8.54,318400,8.54
2012-10-01,8.94,9.08,8.08,8.88,326100,8.88
2012-09-04,9.08,10.00,8.71,8.87,474100,8.87
2012-08-01,8.70,9.71,8.12,9.04,483200,9.04
2012-07-02,9.49,9.91,8.17,8.67,439800,8.67
2012-06-01,8.56,9.64,8.12,9.57,884700,9.57
2012-05-01,10.63,10.88,8.09,8.75,801500,8.75
2012-04-02,11.38,11.62,9.70,10.61,668000,10.61
2012-03-01,11.25,11.49,9.74,11.38,868900,11.38
2012-02-01,11.37,12.12,11.03,11.16,559500,11.16
2012-01-03,11.02,11.69,10.47,11.25,570200,11.25
2011-12-01,13.47,13.80,10.62,10.80,880300,10.80
2011-11-01,12.53,13.79,12.19,13.55,502700,13.55
2011-10-03,11.24,14.24,10.44,13.00,565100,13.00
2011-09-01,13.55,13.70,11.19,11.36,562500,11.36
2011-08-01,16.52,16.690001,12.22,13.49,649500,13.49
2011-07-01,15.99,17.50,15.91,16.290001,359000,16.290001
2011-06-01,17.450001,17.549999,15.15,16.16,540000,16.16
2011-05-02,17.690001,17.950001,16.18,17.40,417700,17.40
2011-04-01,18.290001,18.549999,16.809999,17.690001,439600,17.690001
2011-03-01,18.219999,18.43,16.780001,18.139999,526700,18.139999
2011-02-01,18.139999,18.43,17.66,18.129999,593200,18.129999
2011-01-03,14.87,18.10,14.56,18.10,1006000,18.10
2010-12-01,12.93,14.83,12.93,14.76,441700,14.76
2010-11-01,12.08,13.12,11.90,12.87,144900,12.87
2010-10-01,11.08,12.48,10.91,12.01,183200,12.01
2010-09-01,10.80,11.23,10.48,11.06,184700,11.06
2010-08-02,12.08,12.29,10.53,10.68,215000,10.68
2010-07-01,12.20,12.82,11.76,11.90,170800,11.90
2010-06-01,12.50,13.87,11.98,12.24,417900,12.24
2010-05-03,13.40,13.78,11.59,12.59,335600,12.59
2010-04-01,12.13,13.83,12.06,13.38,272300,13.38
2010-03-01,10.69,12.66,10.69,12.11,358300,12.11
2010-02-01,10.86,11.44,10.46,10.65,148300,10.65
2010-01-04,11.65,12.23,10.75,10.85,251600,10.85
2009-12-01,10.88,11.79,10.55,11.52,267300,11.52
2009-11-02,10.73,11.49,10.45,10.85,185500,10.85
2009-10-01,10.30,11.52,10.12,10.64,590000,10.64
2009-09-01,9.72,10.60,9.63,10.35,1358400,10.35
2009-08-03,9.69,9.77,9.64,9.72,1103900,9.72
2009-07-01,9.60,9.67,9.57,9.67,84500,9.67
2009-06-01,9.53,9.60,9.52,9.59,157200,9.59
2009-05-01,9.50,9.54,9.47,9.53,111400,9.53
2009-04-01,9.42,9.50,9.37,9.48,263300,9.48
2009-03-02,9.40,9.48,9.33,9.42,76300,9.42
2009-02-02,9.27,9.39,9.24,9.38,140100,9.38
2009-01-02,9.15,9.40,9.05,9.30,429800,9.30
2008-12-01,9.00,9.15,8.94,9.15,51100,9.15
2008-11-03,9.01,9.15,8.85,9.00,383700,9.00
2008-10-01,9.05,9.08,8.46,9.08,176400,9.08
2008-09-02,9.35,9.36,8.89,8.95,169500,8.95
2008-08-01,9.23,9.35,9.20,9.34,151300,9.34
2008-07-01,9.29,9.43,9.13,9.26,198100,9.26
2008-06-02,9.22,9.90,9.12,9.29,320600,9.29
2008-05-01,9.14,9.30,9.03,9.26,159100,9.26
2008-04-01,9.41,9.41,9.00,9.13,152500,9.13
2008-03-03,9.11,9.39,9.02,9.18,451200,9.18
2008-02-01,9.20,9.22,9.01,9.12,332400,9.12
2008-01-02,9.09,9.26,8.98,9.20,111400,9.20
2007-12-03,9.05,9.87,8.92,9.19,298000,9.19
2007-11-01,8.99,9.15,8.95,8.95,334400,8.95
2007-10-08,9.08,9.20,8.98,8.99,507000,8.99
