Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.02,15.22,14.67,15.19,63800,11.270626
2013-03-01,14.62,15.30,14.22,15.15,26100,11.240948
2013-02-01,14.66,14.84,13.55,14.64,35300,10.701287
2013-01-02,14.90,15.77,14.43,14.67,31300,10.723216
2012-12-03,13.30,15.00,13.16,14.72,37100,10.759764
2012-11-01,13.37,13.72,11.90,13.24,30200,9.174634
2012-10-01,14.33,14.45,13.31,13.44,25200,9.313223
2012-09-04,14.60,14.99,13.99,14.29,21900,9.902229
2012-08-01,13.73,14.79,13.65,14.50,18200,9.898087
2012-07-02,13.30,13.99,13.19,13.66,19700,9.32468
2012-06-01,12.67,13.30,12.53,13.28,23800,9.065282
2012-05-01,14.04,14.14,12.30,12.92,33100,8.673099
2012-04-02,13.90,14.30,13.19,14.13,17000,9.485363
2012-03-01,13.80,14.16,13.50,13.84,20400,9.290689
2012-02-01,13.22,14.25,13.18,13.71,20400,9.057963
2012-01-03,12.00,13.83,11.95,13.14,20200,8.681375
2011-12-01,11.88,12.00,11.54,11.91,22300,7.868734
2011-11-01,12.28,12.65,11.11,11.88,20400,7.704656
2011-10-03,11.20,12.80,9.99,12.45,23700,8.074324
2011-09-01,12.68,12.82,11.09,11.36,18400,7.367415
2011-08-01,13.69,13.76,10.67,12.68,35300,8.079676
2011-07-01,13.91,14.19,13.35,13.51,19100,8.60855
2011-06-01,14.63,14.73,13.09,13.86,19600,8.83157
2011-05-02,13.96,14.75,13.75,14.74,18900,9.237987
2011-04-01,14.02,14.12,13.45,13.95,17500,8.74287
2011-03-01,14.58,14.64,13.23,13.94,27200,8.736603
2011-02-01,13.89,14.74,13.72,14.49,29300,8.938087
2011-01-03,14.88,15.70,13.59,13.94,41100,8.598822
2010-12-01,14.40,15.20,13.71,14.88,35900,9.178657
2010-11-01,13.02,15.28,12.99,14.29,41100,8.245458
2010-10-01,12.25,13.09,11.82,13.01,38700,7.506887
2010-09-01,11.23,12.94,11.23,12.08,33400,6.970268
