Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.529999,37.75,37.189999,37.369999,2686000,35.608818
2013-03-01,35.279999,37.59,34.669998,37.529999,979800,35.761276
2013-02-01,35.169998,37.150002,34.59,35.549999,1543500,33.874592
2013-01-02,32.240002,35.75,32.220001,35.240002,2200900,33.427692
2012-12-03,28.52,31.84,27.99,31.82,1718900,30.183571
2012-11-01,26.940001,28.34,26.209999,28.26,1378900,26.806654
2012-10-01,26.65,28.139999,25.10,26.889999,1976800,25.365351
2012-09-04,26.34,27.68,25.700001,26.629999,1599300,25.120092
2012-08-01,27.219999,29.200001,25.83,26.299999,1253000,24.808804
2012-07-02,28.620001,29.41,25.90,27.01,1190100,25.34557
2012-06-01,27.690001,29.60,26.00,28.57,1238400,26.809439
2012-05-01,29.799999,30.42,27.799999,28.42,1524300,26.668682
2012-04-02,30.23,32.32,28.00,29.799999,1539900,27.818098
2012-03-01,28.58,31.00,27.639999,30.299999,906700,28.284845
2012-02-01,28.01,30.00,28.01,28.43,1246000,26.539213
2012-01-03,29.129999,30.51,26.92,27.690001,1436000,25.715919
2011-12-01,26.33,28.74,26.200001,28.459999,1526400,26.431023
2011-11-01,25.41,27.27,23.809999,26.49,1609400,24.601469
2011-10-03,20.98,27.959999,20.15,26.43,2147500,24.411303
2011-09-01,24.110001,24.389999,19.690001,21.219999,1956000,19.599236
2011-08-01,27.57,27.68,21.02,23.92,2753100,22.093014
2011-07-01,27.049999,30.16,24.530001,27.379999,2163500,25.127445
2011-06-01,27.389999,27.43,25.440001,27.030001,1663900,24.806242
2011-05-02,30.52,30.610001,26.870001,27.57,1777600,25.301815
2011-04-01,30.889999,31.83,29.049999,30.33,1479100,27.693661
2011-03-01,32.040001,33.290001,29.09,30.60,1580800,27.940193
2011-02-01,31.57,34.16,31.00,31.90,1397200,29.127193
2011-01-03,30.90,34.259998,30.209999,31.360001,1706200,28.508858
2010-12-01,28.23,31.040001,28.09,30.60,1060900,27.817955
2010-11-01,27.43,28.48,26.65,27.719999,1202500,25.199793
2010-10-01,26.219999,27.90,25.049999,27.110001,1235200,24.52729
2010-09-01,21.99,26.50,21.83,26.00,1121500,23.523037
2010-08-02,25.65,26.50,21.16,21.58,1386500,19.52412
2010-07-01,23.530001,26.49,23.17,25.18,1526900,22.651379
2010-06-01,25.02,25.700001,22.51,23.549999,2494200,21.185064
2010-05-03,27.66,28.120001,24.07,25.290001,2315700,22.750332
2010-04-01,30.549999,32.25,26.959999,27.379999,2100000,24.501493
2010-03-01,28.00,31.76,27.879999,30.43,1273500,27.230843
2010-02-01,26.93,28.879999,25.860001,27.90,1821500,24.966825
2010-01-04,26.82,29.620001,26.02,26.92,1804000,23.978487
2009-12-01,22.50,27.40,22.50,26.73,1523600,23.809248
2009-11-02,23.290001,24.85,21.91,22.33,1373500,19.89003
2009-10-01,24.790001,26.76,23.190001,23.200001,1776600,20.558218
2009-09-01,26.10,27.50,24.809999,25.02,1358300,22.170975
2009-08-03,24.77,28.059999,24.15,26.290001,1317800,23.29636
2009-07-01,23.67,25.02,20.24,24.790001,1900100,21.866049
2009-06-01,21.74,23.719999,21.26,23.620001,1641900,20.834049
2009-05-01,24.25,24.25,20.50,21.389999,1919400,18.867073
2009-04-01,17.610001,24.959999,16.950001,24.02,2580500,21.074274
2009-03-02,14.96,18.950001,14.06,17.83,2539000,15.643393
2009-02-02,16.860001,18.43,15.16,15.37,2478600,13.485078
2009-01-02,21.09,21.450001,16.860001,16.950001,2321400,14.764132
2008-12-01,20.25,21.01,17.690001,20.82,1966100,18.135057
2008-11-03,18.77,21.15,16.35,20.889999,2161700,18.19603
2008-10-01,24.48,24.639999,14.31,18.870001,2443300,16.328007
2008-09-02,25.959999,28.690001,22.40,24.75,2104000,21.415905
2008-08-01,25.34,28.370001,24.639999,25.60,1238200,22.151402
2008-07-01,23.75,29.99,21.959999,25.290001,2203700,21.790543
2008-06-02,24.65,25.85,23.469999,23.969999,1665700,20.653194
2008-05-01,23.76,25.92,23.35,24.58,1654900,21.178787
2008-04-01,25.809999,26.60,22.51,23.700001,1923500,20.331135
2008-03-03,26.860001,27.200001,24.25,25.74,1336600,22.081156
2008-02-01,27.75,28.32,25.27,26.950001,1559800,23.11916
2008-01-02,26.629999,28.26,21.209999,27.780001,2108800,23.73074
2007-12-03,26.780001,27.719999,24.799999,27.040001,1280500,23.098604
2007-11-01,30.040001,31.200001,24.41,26.959999,1627900,23.030264
2007-10-01,29.860001,32.950001,29.110001,30.09,1058000,25.604092
2007-09-04,31.27,32.59,28.59,29.860001,1396100,25.408382
2007-08-01,33.880001,34.990002,30.01,31.940001,1201200,27.178289
2007-07-02,36.709999,38.240002,33.990002,33.990002,1232500,28.833044
2007-06-01,35.32,37.240002,34.560001,36.50,1005900,30.962225
2007-05-01,33.310001,35.209999,32.849998,35.139999,1208700,29.808563
2007-04-02,36.98,38.009998,32.779999,33.299999,2051600,28.166695
2007-03-01,38.799999,39.07,35.91,37.009998,1202400,31.304785
2007-02-01,40.700001,42.209999,38.439999,39.07,741800,33.04723
2007-01-03,37.209999,41.400002,37.02,40.700001,1142300,34.34269
2006-12-01,38.68,38.869999,36.610001,37.119999,805900,31.32188
2006-11-01,36.799999,39.50,35.860001,38.59,1082700,32.562267
2006-10-02,33.98,37.77,33.18,36.549999,1242000,30.77739
2006-09-01,31.17,35.029999,29.91,33.970001,1636100,28.60487
2006-08-01,32.299999,33.52,30.23,30.940001,1418100,26.053419
2006-07-03,41.799999,41.900002,30.559999,32.360001,1971800,27.180359
2006-06-01,41.040001,42.009998,37.439999,42.00,1135700,35.277351
2006-05-01,42.349998,43.939999,40.34,41.040001,1023000,34.471012
2006-04-03,38.639999,43.200001,37.630001,42.27,1082500,35.434566
2006-03-01,35.919998,39.50,35.200001,38.610001,813500,32.366421
2006-02-01,36.549999,37.43,35.25,35.919998,874700,30.111418
2006-01-03,37.790001,39.810001,35.889999,36.529999,1108800,30.556332
2005-12-01,38.639999,39.860001,36.759998,37.889999,608800,31.693933
2005-11-01,36.549999,38.919998,35.630001,38.259998,736900,32.003429
2005-10-03,35.57,38.040001,31.98,36.880001,1135600,30.791712
2005-09-01,33.669998,36.470001,33.279999,35.59,814400,29.714668
2005-08-01,34.00,34.189999,32.369999,33.68,774200,28.11998
2005-07-01,25.040001,34.889999,24.66,33.889999,1247400,28.235832
2005-06-01,24.77,25.59,24.139999,24.969999,710200,20.804033
2005-05-02,24.82,26.25,24.82,24.940001,817800,20.779039
2005-04-01,27.02,27.09,23.950001,24.82,1526600,20.622473
2005-03-01,29.16,29.35,26.059999,26.959999,803200,22.400557
2005-02-01,30.10,30.35,27.25,29.17,1122500,24.236805
2005-01-03,29.60,31.17,27.809999,30.34,1097900,25.144745
2004-12-01,27.040001,30.18,25.65,29.43,848600,24.390568
2004-11-01,26.639999,28.90,26.120001,27.030001,853700,22.401531
2004-10-01,25.77,28.129999,25.030001,26.530001,1008300,21.939695
2004-09-01,24.50,27.83,24.309999,25.77,993400,21.311192
2004-08-02,27.780001,28.18,24.450001,24.50,1171500,20.260931
2004-07-01,30.00,30.00,25.77,27.82,1583500,22.95533
2004-06-01,28.01,30.98,28.01,29.77,960800,24.564348
2004-05-03,27.309999,28.85,26.190001,27.98,906100,23.087351
2004-04-01,23.48,30.00,23.469999,27.27,1184300,22.450863
2004-03-01,22.389999,23.90,20.690001,23.620001,1044700,19.445889
2004-02-02,23.50,23.68,21.379999,22.469999,735000,18.499115
2004-01-02,23.34,26.50,23.32,23.49,865700,19.338861
2003-12-01,22.27,23.41,20.450001,23.34,572100,19.21537
2003-11-03,23.610001,24.35,21.799999,22.26,638100,18.326227
2003-10-01,19.50,25.18,19.18,23.610001,1102300,19.437656
2003-09-02,22.25,22.93,18.91,19.50,762000,16.053972
2003-08-01,21.75,22.73,20.059999,22.24,632000,18.309761
2003-07-01,18.84,21.90,18.10,21.709999,1065500,17.873423
2003-06-02,17.02,20.09,17.00,18.940001,854900,15.592936
2003-05-01,16.15,17.99,15.50,16.950001,888500,13.954607
2003-04-01,13.32,16.450001,13.17,16.280001,833200,13.403009
2003-03-03,13.48,14.80,11.44,13.31,990900,10.957866
2003-02-03,15.33,15.39,12.75,13.39,739400,11.023728
2003-01-02,16.120001,16.98,14.45,15.16,900800,12.480934
2002-12-02,19.60,19.90,15.29,16.110001,990300,13.263051
2002-11-01,16.709999,21.65,15.99,19.65,813400,16.177464
2002-10-01,15.87,18.15,11.94,16.700001,1379900,13.748787
2002-09-03,17.07,17.610001,15.37,15.87,750600,13.065464
2002-08-01,19.969999,20.129999,16.799999,17.32,889900,14.25922
2002-07-01,23.10,25.200001,17.83,19.950001,948600,16.42445
2002-06-03,24.700001,24.950001,22.00,23.299999,764300,19.182438
2002-05-01,26.299999,27.15,23.93,24.68,635300,20.318565
2002-04-01,29.299999,29.299999,24.90,26.26,735000,21.61935
2002-03-01,25.85,30.90,25.799999,29.52,725900,24.303246
2002-02-01,26.00,26.60,24.00,26.01,524800,21.41353
2002-01-02,26.00,27.75,23.50,26.219999,653200,21.586418
2001-12-03,25.35,27.889999,24.690001,26.700001,456000,21.981594
2001-11-01,20.379999,27.299999,20.299999,26.950001,532500,22.187414
2001-10-01,19.959999,24.00,18.50,20.629999,735700,16.98428
2001-09-04,24.90,25.75,18.60,20.01,919700,16.473846
2001-08-01,26.15,27.709999,24.799999,24.889999,371700,20.491455
2001-07-02,25.18,26.50,22.549999,26.049999,536800,21.446461
2001-06-01,27.860001,28.700001,22.60,24.889999,712500,20.491455
2001-05-01,27.809999,30.90,26.50,28.200001,587800,23.216515
2001-04-02,22.299999,28.40,20.299999,27.799999,726700,22.887201
2001-03-01,24.309999,24.799999,21.049999,22.35,619200,18.400322
2001-02-01,26.60,27.15,22.549999,24.059999,706200,19.808132
2001-01-02,26.50,27.75,20.9375,26.75,1261100,22.022757
2000-12-01,29.9375,33.875,24.0625,26.50,2017900,21.816936
2000-11-01,30.25,32.50,28.875,29.875,335600,24.595509
2000-10-02,35.125,38.625,27.375,30.50,843000,25.11006
2000-09-01,31.8125,35.3125,29.875,34.6875,633400,28.557547
2000-08-01,34.1875,35.00,30.25,31.8125,538900,26.190615
2000-07-03,28.625,35.3125,28.50,34.375,853000,28.300272
2000-06-01,59.50,65.00,28.00,28.484381,725200,23.45064
2000-05-01,61.875,65.00,55.00,59.375,718300,24.441143
2000-04-03,46.00,61.375,45.625,61.125,1309700,25.161514
2000-03-01,42.25,48.00,37.625,47.421879,835300,19.520758
2000-02-01,38.75,47.5625,38.00,42.25,1004900,17.391804
2000-01-03,28.8125,41.25,24.6875,38.625,1488200,15.899608
