Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.870001,18.950001,18.700001,18.790001,288600,14.943138
2013-03-01,18.18,18.91,17.93,18.879999,115700,15.014711
2013-02-01,18.040001,18.34,17.709999,18.280001,108200,14.302442
2013-01-02,17.10,18.120001,17.10,18.01,107800,14.09119
2012-12-03,17.00,17.370001,16.40,16.99,125100,13.293133
2012-11-01,17.139999,17.370001,15.25,17.040001,160500,13.100523
2012-10-01,17.49,17.68,16.780001,17.02,141100,13.085146
2012-09-04,17.440001,18.33,17.309999,17.40,117800,13.377294
2012-08-01,17.10,17.58,16.969999,17.52,91600,13.247282
2012-07-02,16.52,17.10,16.26,17.030001,110700,12.876781
2012-06-01,15.61,16.51,15.23,16.450001,94700,12.43823
2012-05-01,16.41,16.58,15.15,15.78,104000,11.709986
2012-04-02,16.27,16.51,15.40,16.469999,109400,12.222019
2012-03-01,16.040001,16.48,15.58,16.309999,91200,12.103287
2012-02-01,15.50,16.34,15.43,15.95,105600,11.617492
2012-01-03,14.35,15.48,14.34,15.48,102200,11.275158
2011-12-01,13.97,14.36,13.50,14.15,94200,10.306427
2011-11-01,14.11,14.46,13.53,14.09,92900,10.044832
2011-10-03,12.83,14.35,11.28,14.29,141400,10.187413
2011-09-01,14.76,14.84,12.84,12.86,101700,9.167958
2011-08-01,15.76,15.83,12.10,14.74,179900,10.290208
2011-07-01,16.290001,16.950001,14.76,15.40,122100,10.750963
2011-06-01,17.02,17.15,15.51,16.219999,114300,11.323417
2011-05-02,16.01,17.200001,15.67,17.10,127500,11.713224
2011-04-01,15.30,15.97,14.87,15.92,120600,10.904943
2011-03-01,15.25,15.39,14.60,15.21,128600,10.418605
2011-02-01,14.38,15.40,14.37,15.25,143600,10.241046
2011-01-03,14.34,14.50,13.84,14.37,147400,9.650087
2010-12-01,14.25,14.84,13.57,14.29,160100,9.596364
2010-11-01,13.84,14.89,13.78,14.24,168700,9.358453
2010-10-01,13.23,14.00,13.05,13.79,200700,9.062716
2010-09-01,12.08,13.75,12.05,13.11,226200,8.615823
2010-08-02,11.82,12.08,11.55,12.00,141400,7.712884
2010-07-01,10.51,11.88,10.19,11.71,157300,7.526489
2010-06-01,10.95,11.73,10.44,10.56,135900,6.787338
2010-05-03,12.70,13.00,9.56,11.19,264300,7.066963
2010-04-01,12.05,13.04,11.98,12.67,177000,8.001647
2010-03-01,10.71,12.40,10.69,11.97,185000,7.559567
2010-02-01,10.26,10.85,9.75,10.79,156900,6.701806
2010-01-04,10.42,10.91,10.15,10.26,163800,6.372616
2009-12-01,9.43,10.64,9.43,10.35,148800,6.428516
2009-11-02,9.12,9.65,8.86,9.50,149000,5.783843
2009-10-01,9.86,10.09,8.63,9.03,170200,5.497694
2009-09-01,8.92,10.41,8.26,9.88,162500,6.015197
2009-08-03,8.32,9.50,7.98,9.10,186700,5.43315
2009-07-01,7.32,8.34,6.54,8.21,168000,4.901776
2009-06-01,7.61,8.59,6.50,7.33,208100,4.376372
2009-05-01,5.92,7.64,5.65,7.41,394500,4.305686
2009-04-01,3.62,5.93,3.62,5.87,258000,3.410846
2009-03-02,3.90,4.10,2.76,3.78,239300,2.196423
2009-02-02,5.60,5.89,3.62,3.95,249400,2.134539
2009-01-02,6.15,6.98,5.31,5.55,246000,2.999163
2008-12-01,4.95,6.23,4.50,6.21,291800,3.35582
2008-11-03,8.26,9.46,3.22,5.31,248900,2.765125
2008-10-01,12.80,13.78,3.51,8.19,318100,4.151577
2008-09-02,19.360001,19.620001,11.86,12.97,186800,6.377754
2008-08-01,19.00,20.209999,17.690001,19.02,84200,9.250735
2008-07-01,19.00,19.879999,15.32,18.969999,134800,9.132747
2008-06-02,21.889999,22.389999,19.07,19.10,122600,9.093671
2008-05-01,21.42,22.65,21.35,21.85,94300,10.304457
2008-04-01,19.65,21.799999,19.440001,21.42,92700,10.009626
2008-03-03,20.190001,20.57,17.799999,19.40,118400,8.976577
2008-02-01,21.879999,22.950001,19.290001,20.17,136400,9.236599
2008-01-02,19.049999,21.91,18.15,21.719999,200400,9.853877
2007-12-03,21.950001,23.00,18.48,18.90,296200,8.490893
2007-11-01,25.299999,25.43,20.120001,22.07,148700,9.131404
2007-10-01,25.07,26.950001,24.50,25.549999,93800,10.479081
2007-09-04,24.57,25.459999,24.08,25.08,87900,10.20978
2007-08-01,24.530001,24.940001,19.559999,24.57,186400,9.920214
2007-07-02,26.90,28.049999,23.870001,24.65,173000,9.869403
2007-06-01,29.469999,29.90,25.98,27.030001,159100,10.742501
