Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,71.160004,71.160004,69.059998,69.199997,787000,64.708817
2013-03-01,65.550003,71.300003,64.809998,71.169998,572800,66.550964
2013-02-01,65.389999,72.900002,64.080002,66.589996,770500,61.985344
2013-01-02,63.73,65.699997,62.16,64.720001,516900,60.244656
2012-12-03,57.110001,62.450001,55.740002,62.099998,501900,57.805824
2012-11-01,55.07,58.68,53.09,56.400002,614900,52.499981
2012-10-01,52.77,55.50,49.720001,54.34,566000,50.35873
2012-09-04,51.439999,58.799999,50.580002,52.349998,485700,48.514526
2012-08-01,51.75,54.459999,49.23,51.43,340500,47.661934
2012-07-02,50.799999,52.50,44.91,51.48,699500,47.480434
2012-06-01,45.849998,50.509998,44.810001,50.50,558800,46.576572
2012-05-01,55.950001,57.360001,46.66,47.209999,524700,43.542179
2012-04-02,56.48,57.700001,51.310001,55.889999,739800,51.391735
2012-03-01,54.029999,58.580002,52.259998,56.48,640900,51.93425
2012-02-01,53.810001,57.700001,51.900002,53.720001,684100,49.396389
2012-01-03,49.93,57.299999,49.66,53.200001,743000,48.783726
2011-12-01,48.810001,50.919998,44.650002,48.689999,629200,44.648109
2011-11-01,41.720001,49.139999,41.200001,49.110001,764700,45.033245
2011-10-03,33.650002,46.700001,31.09,44.189999,676000,40.406387
2011-09-01,41.439999,41.880001,32.75,34.009998,609200,31.098013
2011-08-01,47.68,47.889999,36.709999,41.439999,1011100,37.891846
2011-07-01,49.669998,50.610001,45.799999,47.009998,869400,42.858788
2011-06-01,51.060001,51.380001,46.259998,49.650002,900200,45.265663
2011-05-02,56.790001,56.880001,49.950001,51.509998,674800,46.852009
2011-04-01,58.310001,60.599998,53.400002,56.610001,552200,51.490826
2011-03-01,55.650002,58.720001,50.700001,57.779999,668600,52.555019
2011-02-01,52.990002,59.950001,52.990002,55.330002,916000,50.213924
2011-01-03,51.709999,54.740002,50.470001,52.290001,842800,47.455017
2010-12-01,45.209999,51.98,45.169998,51.099998,743500,46.375046
2010-11-01,42.080002,48.009998,41.77,44.450001,777200,40.249187
2010-10-01,42.299999,44.139999,39.650002,41.849998,826100,37.894901
2010-09-01,38.02,42.099998,38.02,41.529999,813800,37.605145
2010-08-02,40.220001,42.029999,34.580002,37.25,880500,33.729633
2010-07-01,36.310001,41.389999,34.91,39.279999,1315000,35.478329
2010-06-01,45.400002,46.50,36.099998,36.150002,999300,32.651264
2010-05-03,49.150002,50.380001,41.279999,45.91,1280300,41.466652
2010-04-01,50.029999,55.470001,48.00,48.810001,1341400,43.991959
2010-03-01,44.630001,50.599998,44.389999,49.23,741500,44.370499
2010-02-01,41.00,44.650002,38.77,44.34,858300,39.876617
2010-01-04,44.080002,49.049999,40.34,40.740002,1006600,36.639004
2009-12-01,41.450001,46.09,40.299999,43.220001,943800,38.869362
2009-11-02,36.650002,41.700001,35.52,40.880001,961400,36.675087
2009-10-01,42.369999,44.959999,36.16,36.48,1401700,32.727669
2009-09-01,36.400002,44.759998,35.630001,42.560001,1126700,38.182281
2009-08-03,34.759998,37.68,33.790001,36.939999,1068600,33.140354
2009-07-01,38.740002,40.110001,32.849998,33.709999,1324000,30.155462
2009-06-01,38.529999,43.799999,36.560001,38.389999,1124400,34.34198
2009-05-01,35.119999,39.580002,31.77,37.990002,1147700,33.984161
2009-04-01,25.41,38.580002,24.98,35.23,1718100,31.431326
2009-03-02,23.16,29.43,19.75,26.33,2050700,23.490969
2009-02-02,21.870001,27.549999,20.25,23.790001,2360400,21.128717
2009-01-02,20.040001,25.360001,18.25,22.129999,1770800,19.654413
2008-12-01,19.690001,25.299999,16.08,19.940001,1548500,17.7094
2008-11-03,24.93,28.139999,12.58,20.620001,1678600,18.209925
2008-10-01,38.049999,38.110001,16.610001,25.040001,2954500,22.113312
2008-09-02,55.889999,55.889999,35.349998,37.970001,1950300,33.532047
2008-08-01,62.279999,62.459999,53.43,57.009998,1253800,50.346638
2008-07-01,76.400002,78.25,56.849998,63.16,1833100,55.679523
2008-06-02,67.919998,78.440002,65.870003,77.089996,1085800,67.959694
2008-05-01,60.279999,68.919998,59.110001,67.970001,1009300,59.919842
2008-04-01,59.790001,64.269997,58.34,60.779999,913300,53.502533
2008-03-03,55.360001,61.299999,53.450001,59.860001,1026400,52.692692
2008-02-01,49.459999,58.700001,47.02,55.459999,1070800,48.734398
2008-01-02,53.880001,54.650002,41.139999,49.209999,1445400,43.242332
2007-12-03,51.029999,56.220001,50.029999,54.200001,819200,47.627197
2007-11-01,57.23,58.419998,46.080002,51.59,1233100,45.262276
2007-10-01,56.50,59.889999,48.709999,58.349998,1178300,51.193134
2007-09-04,52.75,58.00,51.75,56.540001,851100,49.605141
2007-08-01,52.869999,53.450001,39.91,52.970001,1409700,46.473015
2007-07-02,56.720001,63.349998,51.549999,52.540001,1527300,46.020348
2007-06-01,61.470001,63.669998,53.009998,56.259998,1154300,49.278732
2007-05-01,59.25,64.129997,58.119999,61.369999,1027000,53.754635
2007-04-02,48.330002,62.48,48.119999,59.400002,1864200,51.959557
2007-03-01,44.200001,49.00,42.00,48.400002,1180600,42.337418
2007-02-01,41.860001,46.900002,40.84,45.66,1104300,39.867344
2007-01-03,39.779999,42.139999,37.689999,41.639999,891700,36.357338
2006-12-01,38.700001,40.959999,37.150002,39.380001,1175600,34.384056
2006-11-01,34.41,39.02,32.73,38.490002,1045400,33.555275
2006-10-02,32.389999,35.990002,30.40,34.349998,990100,29.946054
2006-09-01,32.50,33.450001,28.43,32.139999,903500,28.019396
2006-08-01,35.00,35.639999,29.799999,32.77,1024700,28.568624
2006-07-03,81.699997,84.360001,35.360001,35.849998,1409000,31.196043
2006-06-01,80.800003,84.419998,66.18,82.949997,1909300,36.09082
2006-05-01,90.25,99.50,77.099998,80.610001,1188800,35.072708
2006-04-03,96.199997,98.239998,85.410004,88.949997,1190800,38.653751
