Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.52,37.549999,36.93,37.220001,3685600,35.615967
2013-03-01,37.470001,38.240002,35.43,37.57,1816200,35.950882
2013-02-01,39.82,41.049999,36.299999,37.790001,1991200,36.161404
2013-01-02,38.900002,42.029999,38.52,39.389999,2173900,37.471054
2012-12-03,36.50,38.700001,35.919998,37.860001,1906600,36.015591
2012-11-01,38.27,39.439999,33.060001,36.299999,2017800,34.531586
2012-10-01,34.689999,38.25,34.32,38.099998,2154900,33.655048
2012-09-04,32.50,36.919998,31.84,34.360001,2333800,30.351379
2012-08-01,32.259998,33.790001,31.469999,32.540001,1529500,28.74371
2012-07-02,31.52,32.43,30.32,32.279999,1589100,28.311453
2012-06-01,27.870001,31.77,27.870001,31.51,1910300,27.63612
2012-05-01,33.07,33.439999,27.719999,28.450001,2079700,24.95232
2012-04-02,31.780001,32.990002,29.90,32.880001,2261100,28.352177
2012-03-01,32.240002,32.790001,29.700001,31.709999,2290200,27.343294
2012-02-01,35.16,35.900002,31.709999,32.16,2733300,27.731325
2012-01-03,31.16,37.27,30.00,34.689999,3344600,29.746002
2011-12-01,31.360001,31.93,28.48,30.18,2242900,25.878767
2011-11-01,29.27,32.950001,27.530001,31.129999,2834300,26.693371
2011-10-03,24.68,32.860001,22.58,30.68,2903100,25.740883
2011-09-01,33.91,34.110001,24.860001,24.99,2773400,20.966904
2011-08-01,35.23,35.25,27.290001,33.77,3473600,28.333429
2011-07-01,32.93,36.82,31.82,34.16,3115500,28.085388
2011-06-01,34.529999,35.630001,30.33,32.869999,4016400,27.024786
2011-05-02,37.240002,37.330002,33.34,34.560001,3204900,28.414259
2011-04-01,40.389999,41.169998,35.299999,37.459999,3576100,30.338139
2011-03-01,42.900002,43.130001,37.75,40.27,2398700,32.613903
2011-02-01,45.619999,47.630001,40.50,42.32,1985700,34.274158
2011-01-03,49.470001,50.349998,42.720001,44.82,1908300,35.829025
2010-12-01,43.099998,49.43,42.450001,48.740002,1583300,38.962669
2010-11-01,43.110001,47.48,41.299999,41.93,2455300,33.518764
2010-10-01,35.439999,43.73,35.299999,42.799999,2421400,33.89941
2010-09-01,31.02,35.380001,31.02,35.119999,1804700,27.816525
2010-08-02,32.060001,32.419998,27.530001,30.23,2280500,23.943439
2010-07-01,26.540001,33.650002,25.65,31.41,3123100,24.581308
2010-06-01,28.719999,32.25,26.23,26.540001,2932700,20.770071
2010-05-03,30.73,30.85,25.559999,29.48,4265900,23.0709
2010-04-01,32.119999,35.349998,30.200001,30.58,2850800,23.539001
2010-03-01,30.030001,32.93,29.25,31.67,2277500,24.378031
2010-02-01,27.26,31.60,26.35,29.360001,4386500,22.599905
2010-01-04,33.34,36.98,26.559999,26.629999,4520900,20.217592
2009-12-01,35.43,36.50,31.67,32.91,2556200,24.985392
2009-11-02,31.940001,36.240002,31.129999,34.84,2452300,26.450653
2009-10-01,30.65,36.389999,28.370001,31.50,3750300,23.781147
2009-09-01,28.23,31.83,26.870001,30.690001,4318700,23.169632
2009-08-03,26.450001,29.790001,25.32,28.26,4140300,21.335085
2009-07-01,20.719999,26.00,18.459999,25.76,4719700,19.376219
2009-06-01,21.879999,25.24,19.200001,20.440001,4665000,15.374609
2009-05-01,18.860001,21.40,17.959999,20.93,4390700,15.743178
2009-04-01,17.09,22.450001,16.799999,18.57,6125100,13.937262
2009-03-02,13.13,18.950001,12.65,17.42,5822800,13.074157
2009-02-02,13.55,17.26,12.60,13.71,6412600,10.207642
2009-01-02,16.24,19.85,13.71,13.94,6488500,10.378885
2008-12-01,13.17,17.200001,10.78,16.059999,5043400,11.95731
2008-11-03,14.74,17.00,9.12,13.76,7296100,10.244868
2008-10-01,19.16,19.16,9.13,14.56,8784400,10.596733
2008-09-02,24.940001,26.200001,18.540001,19.08,6448400,13.886377
2008-08-01,27.610001,27.610001,22.280001,25.530001,5345600,18.580673
2008-07-01,105.999985,108.650009,27.00,27.780001,5212100,19.733795
2008-06-02,108.560005,113.450012,100.119987,106.62999,5307400,25.248554
2008-05-01,112.529999,119.750015,103.169998,110.22998,6100200,26.100985
2008-04-01,101.850006,125.790001,100.820007,114.759995,5717200,26.759912
2008-03-03,114.140007,117.500015,94.100014,103.830002,6391100,24.211241
2008-02-01,95.940002,119.720009,87.279991,114.110016,7776000,26.608351
2008-01-02,106.250015,111.110016,73.250008,94.020004,8081400,21.590866
