Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,51.25,51.32,50.98,51.09,1218600,45.244823
2013-03-01,48.77,51.23,48.490002,51.16,538600,45.306816
2013-02-01,47.07,49.639999,46.700001,48.84,646200,42.810486
2013-01-02,46.240002,46.98,45.57,46.810001,585200,41.031101
2012-12-03,46.43,46.91,44.720001,45.639999,607900,40.005543
2012-11-01,49.240002,49.290001,44.93,46.34,804800,40.185139
2012-10-01,48.599998,49.639999,47.52,49.080002,414400,42.561214
2012-09-04,47.439999,49.189999,47.369999,48.27,817000,41.858799
2012-08-01,49.290001,50.34,47.18,47.360001,520700,40.647541
2012-07-02,48.07,49.759998,47.48,49.169998,474700,42.201
2012-06-01,46.459999,48.240002,46.220001,47.84,815100,41.059509
2012-05-01,46.200001,47.220001,45.32,46.950001,565200,39.875729
2012-04-02,45.849998,46.25,43.32,46.119999,644100,39.170788
2012-03-01,44.990002,46.119999,43.77,45.610001,620800,38.737637
2012-02-01,45.029999,45.849998,44.150002,45.00,827000,37.79517
2012-01-03,45.57,45.580002,43.560001,44.830002,754700,37.65239
2011-12-01,43.610001,45.48,42.279999,45.060001,747300,37.845566
2011-11-01,41.52,43.66,40.509998,43.619999,684600,36.228676
2011-10-03,40.48,43.130001,38.490002,42.279999,769800,35.115738
2011-09-01,40.279999,41.580002,37.740002,40.450001,955800,33.595829
2011-08-01,39.50,40.389999,34.639999,40.220001,1739200,32.99329
2011-07-01,39.459999,41.00,38.959999,39.189999,854400,32.148357
2011-06-01,40.540001,40.689999,38.16,39.369999,980200,32.296013
2011-05-02,41.720001,42.200001,40.16,40.669998,592200,32.952995
2011-04-01,39.759998,41.619999,38.57,41.52,657200,33.641712
2011-03-01,40.59,40.73,37.860001,39.369999,877700,31.899668
2011-02-01,42.50,42.830002,39.849998,40.48,966500,32.404224
2011-01-03,40.939999,42.77,40.240002,42.27,664000,33.83712
2010-12-01,41.060001,41.490002,40.029999,40.599998,722400,32.500282
2010-11-01,41.040001,41.700001,40.330002,40.619999,746300,32.138935
2010-10-01,40.68,41.970001,40.200001,40.84,602700,32.313004
2010-09-01,39.400002,40.82,39.290001,40.32,725200,31.901573
2010-08-02,38.66,39.990002,38.080002,39.029999,753100,30.518728
2010-07-01,35.98,40.060001,35.23,38.310001,807300,29.95574
2010-06-01,36.060001,38.139999,34.810001,35.759998,1223300,27.961817
2010-05-03,39.650002,39.990002,34.73,36.290001,1576700,27.999952
2010-04-01,37.860001,39.830002,37.73,39.470001,564300,30.453518
2010-03-01,36.279999,38.169998,36.279999,37.59,640000,29.002981
2010-02-01,35.73,36.470001,34.23,36.049999,689900,27.463579
2010-01-04,37.959999,38.16,35.610001,35.610001,638400,27.12838
2009-12-01,35.419998,38.639999,35.310001,37.68,606400,28.705345
2009-11-02,34.099998,35.59,33.59,35.200001,741100,26.473919
2009-10-01,34.580002,35.77,33.689999,33.84,822300,25.451061
2009-09-01,34.599998,35.68,33.700001,34.900002,1036400,26.248289
2009-08-03,35.619999,35.689999,33.07,34.68,881600,25.727804
2009-07-01,32.689999,36.389999,31.68,35.349998,667700,26.22485
2009-06-01,30.35,32.66,30.02,32.470001,830300,24.088287
2009-05-01,30.129999,31.48,28.209999,30.02,1044500,21.931757
2009-04-01,30.76,32.700001,30.00,30.219999,1056300,22.077871
2009-03-02,29.629999,31.360001,26.01,30.889999,1398800,22.567354
2009-02-02,33.849998,35.549999,29.65,30.129999,1247000,21.641041
2009-01-02,35.650002,36.889999,32.810001,34.290001,1256300,24.628984
2008-12-01,34.639999,37.619999,31.84,35.599998,2411700,25.569897
2008-11-03,32.900002,35.860001,30.950001,34.75,1041200,24.623768
2008-10-01,38.68,40.240002,27.75,32.91,1475700,23.319948
2008-09-02,39.59,44.060001,37.669998,38.93,1155400,27.585707
2008-08-01,36.93,39.779999,36.139999,39.200001,586800,27.442715
2008-07-01,36.68,37.400002,35.02,36.189999,721200,25.335505
2008-06-02,40.119999,41.02,36.599998,37.00,820400,25.902563
2008-05-01,39.290001,41.32,38.290001,40.139999,699200,27.785656
2008-04-01,36.73,40.25,36.700001,39.43,671000,27.294182
2008-03-03,37.939999,38.400002,35.830002,36.580002,1034000,25.32136
2008-02-01,37.549999,39.240002,37.18,37.869999,799500,25.898651
2008-01-02,42.07,42.700001,36.59,37.290001,947500,25.502001
2007-12-03,42.869999,43.73,42.029999,42.150002,534100,28.825672
2007-11-01,40.099998,43.00,39.720001,42.610001,874400,28.846855
2007-10-01,38.93,40.630001,38.689999,40.59,604300,27.479321
2007-09-04,38.50,39.290001,37.450001,38.740002,570500,26.226877
2007-08-01,37.41,39.650002,32.93,38.380001,898500,25.686897
2007-07-02,38.68,39.75,37.299999,37.380001,857000,25.01762
2007-06-01,42.41,42.619999,37.91,38.290001,711400,25.626663
2007-05-01,43.490002,44.360001,41.18,42.389999,513100,28.0672
2007-04-02,43.419998,45.490002,43.25,43.529999,601500,28.822014
2007-03-01,41.50,43.50,40.27,43.169998,473400,28.583652
