Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.67,14.82,14.21,14.22,3087800,13.039523
2013-03-01,14.03,15.60,13.82,14.73,972500,13.507185
2013-02-01,13.71,14.25,13.13,14.15,620200,12.975333
2013-01-02,12.91,13.91,12.81,13.63,609900,12.498502
2012-12-03,11.77,13.34,11.06,12.74,1127900,11.682385
2012-11-01,10.06,11.80,9.90,11.64,681000,10.590386
2012-10-01,10.03,10.73,9.85,10.01,538300,9.107368
2012-09-04,9.67,10.50,9.17,9.85,716500,8.961796
2012-08-01,8.64,9.86,8.28,9.70,632500,8.742325
2012-07-02,9.11,9.36,7.63,8.57,538300,7.723889
2012-06-01,8.73,9.07,8.06,9.03,803800,8.138474
2012-05-01,8.63,8.88,7.96,8.77,610600,7.819958
2012-04-02,9.54,9.73,8.64,8.64,583300,7.704041
2012-03-01,8.81,9.81,8.25,9.60,666900,8.560045
2012-02-01,8.83,9.86,8.72,8.78,523000,7.755094
2012-01-03,7.71,8.96,7.33,8.71,568200,7.693265
2011-12-01,7.77,8.19,6.63,7.46,825700,6.58918
2011-11-01,6.90,7.85,6.24,7.84,897200,6.867984
2011-10-03,6.26,8.34,6.01,7.41,842200,6.491296
2011-09-01,8.26,8.30,5.40,6.31,1444500,5.527676
2011-08-01,10.05,10.07,6.48,8.28,1093300,7.18335
2011-07-01,11.39,11.94,9.72,9.93,699400,8.614815
2011-06-01,10.86,11.48,9.50,11.39,700000,9.881445
2011-05-02,11.63,11.70,10.06,10.87,509500,9.380726
2011-04-01,11.44,12.12,10.97,11.55,578900,9.967561
2011-03-01,9.70,11.41,9.23,11.38,949200,9.820852
2011-02-01,10.29,10.92,9.51,9.71,1151300,8.334155
2011-01-03,10.62,11.23,10.11,10.22,830900,8.771891
2010-12-01,9.75,10.85,9.60,10.57,664400,9.072298
2010-11-01,8.43,9.69,8.08,9.58,579200,8.190642
2010-10-01,8.41,8.75,7.98,8.41,523600,7.190324
2010-09-01,6.33,8.47,6.26,8.33,924600,7.088762
2010-08-02,7.02,7.40,6.17,6.21,572200,5.28466
2010-07-01,7.77,7.82,6.65,6.91,819800,5.880354
2010-06-01,8.32,8.34,6.69,7.75,982500,6.560926
2010-05-03,8.25,8.59,6.90,8.38,895000,7.094266
2010-04-01,6.52,9.47,6.39,8.21,1222400,6.950349
2010-03-01,6.63,7.54,6.35,6.47,693700,5.443815
2010-02-01,7.13,7.14,6.50,6.57,593200,5.527955
2010-01-04,6.49,7.15,6.24,7.08,502200,5.957065
2009-12-01,5.47,6.79,5.47,6.36,343300,5.351262
2009-11-02,5.78,6.00,4.98,5.46,602000,4.5647
2009-10-01,6.19,6.32,5.44,5.77,519800,4.823868
2009-09-01,6.27,7.68,6.07,6.21,393500,5.155093
2009-08-03,7.41,7.54,6.21,6.25,332900,5.188298
2009-07-01,5.85,7.49,5.41,7.32,648400,6.076535
2009-06-01,4.95,6.33,4.63,5.82,988600,4.831344
2009-05-01,4.49,5.14,4.41,4.83,662700,3.98196
2009-04-01,4.93,5.48,4.00,4.53,847500,3.734633
2009-03-02,4.00,5.87,3.03,5.01,528600,4.063603
2009-02-02,4.28,4.76,3.96,4.03,543200,3.268727
2009-01-02,5.72,5.95,4.24,4.32,1310900,3.503945
2008-12-01,6.42,6.62,5.01,5.62,888300,4.558373
2008-11-03,9.17,9.52,5.08,6.45,541200,5.15479
2008-10-01,10.73,11.26,7.86,9.30,770900,7.432489
2008-09-02,11.34,11.91,9.50,10.75,682100,8.446683
2008-08-01,9.95,11.83,9.80,11.10,629500,8.721691
2008-07-01,9.90,10.89,8.92,9.96,963500,7.82595
2008-06-02,12.60,12.83,9.34,10.03,914900,7.759081
2008-05-01,11.01,12.86,11.00,12.60,607600,9.747201
2008-04-01,11.11,11.66,10.50,11.08,1084300,8.571348
2008-03-03,14.07,14.51,11.03,11.06,1003500,8.441187
2008-02-01,15.28,16.09,13.82,14.18,656700,10.822425
2008-01-02,15.87,16.73,12.86,15.33,920300,11.700126
2007-12-03,15.12,18.49,14.92,15.87,828800,12.112263
2007-11-01,17.690001,17.77,14.60,15.13,683000,10.293756
2007-10-01,17.959999,19.309999,17.049999,17.870001,591900,12.157926
2007-09-04,17.85,18.25,16.379999,17.98,606100,12.135472
2007-08-01,17.540001,18.200001,14.03,17.639999,758800,11.905992
2007-07-02,18.469999,18.959999,17.41,17.41,525200,11.750755
2007-06-01,19.50,20.42,17.90,18.50,545600,12.385201
2007-05-01,19.58,19.969999,18.549999,19.42,433000,13.001114
2007-04-02,19.799999,20.719999,19.18,19.52,672000,13.068061
