Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.40,5.44,5.10,5.20,16777600,5.20
2013-03-01,5.25,6.20,5.05,5.27,11340100,5.27
2013-02-01,7.12,7.13,5.40,5.70,14338900,5.70
2013-01-02,6.45,7.47,6.24,7.08,8526600,7.08
2012-12-03,5.93,7.32,5.86,6.35,13990000,6.35
2012-11-01,6.28,6.66,4.81,5.85,21846200,5.85
2012-10-01,7.01,7.49,6.16,6.22,11980300,6.22
2012-09-04,6.54,7.80,6.47,6.98,10703900,6.98
2012-08-01,6.84,7.21,6.17,6.57,11932300,6.57
2012-07-02,6.61,7.21,6.00,6.82,10534100,6.82
2012-06-01,6.06,6.85,5.55,6.69,13546300,6.69
2012-05-01,8.03,8.16,5.94,6.35,16050500,6.35
2012-04-02,7.84,8.19,6.81,7.99,12506100,7.99
2012-03-01,8.51,8.72,7.53,7.83,13838000,7.83
2012-02-01,7.87,8.98,6.75,8.67,17836400,8.67
2012-01-03,8.49,9.00,7.42,7.78,12816500,7.78
2011-12-01,7.32,9.04,6.26,8.16,11200300,8.16
2011-11-01,7.22,8.30,6.20,7.35,12367600,7.35
2011-10-03,5.50,8.28,4.55,7.66,13918100,7.66
2011-09-01,7.35,7.73,5.56,5.56,12635300,5.56
2011-08-01,11.93,12.14,6.10,7.34,22395600,7.34
2011-07-01,10.68,12.36,10.20,11.52,14029800,11.52
2011-06-01,11.29,11.51,9.86,10.66,10654300,10.66
2011-05-02,12.37,12.67,9.83,11.32,16260200,11.32
2011-04-01,13.10,13.34,11.14,12.36,11489200,12.36
2011-03-01,11.14,12.84,9.71,12.80,14972000,12.80
2011-02-01,7.50,10.90,7.29,10.81,14958500,10.81
2011-01-03,7.41,8.05,6.95,7.44,8897000,7.44
2010-12-01,5.23,7.49,5.16,7.32,9204700,7.32
2010-11-01,5.62,5.90,4.85,5.16,10698100,5.16
2010-10-01,5.79,5.95,5.14,5.47,9322000,5.47
2010-09-01,4.17,5.71,4.10,5.68,9826400,5.68
2010-08-02,5.98,6.17,3.87,4.04,13157000,4.04
2010-07-01,5.84,6.79,5.64,5.90,8754900,5.90
2010-06-01,6.37,7.12,5.81,5.83,7963400,5.83
2010-05-03,7.65,7.67,5.20,6.44,16008300,6.44
2010-04-01,7.78,8.03,6.92,7.51,15941600,7.51
2010-03-01,8.00,8.31,7.13,7.70,7305300,7.70
2010-02-01,8.60,9.25,7.66,7.94,7736200,7.94
2010-01-04,9.71,11.08,8.40,8.46,5540500,8.46
2009-12-01,8.77,10.15,7.97,9.43,7099700,9.43
2009-11-02,10.35,10.93,9.01,9.38,5627000,9.38
2009-10-01,13.02,14.08,9.77,10.23,5236000,10.23
2009-09-01,12.19,15.00,11.00,12.96,5203400,12.96
2009-08-03,9.61,13.22,9.40,12.20,4770200,12.20
2009-07-01,8.61,10.10,7.44,9.35,3971700,9.35
2009-06-01,11.16,11.84,7.75,8.52,5005500,8.52
2009-05-01,8.06,11.82,8.06,10.89,6191800,10.89
2009-04-01,6.44,9.70,6.31,8.16,4331000,8.16
2009-03-02,6.48,7.55,4.49,6.59,3717000,6.59
2009-02-02,6.65,8.29,5.82,6.76,3010900,6.76
2009-01-02,6.21,8.79,5.75,6.66,3960800,6.66
2008-12-01,8.50,8.50,4.92,6.15,3832200,6.15
2008-11-03,10.84,13.23,4.85,8.86,3915700,8.86
2008-10-01,19.540001,19.540001,8.00,10.70,4673700,10.70
2008-09-02,33.209999,33.66,17.459999,19.60,3604600,19.60
2008-08-01,48.369999,50.00,29.60,35.00,3379000,35.00
2008-07-01,64.599998,69.410004,43.610001,48.889999,1834300,48.889999
2008-06-02,55.580002,69.00,54.700001,64.580002,1699600,64.580002
2008-05-01,45.34,57.860001,43.00,55.00,1702900,55.00
2008-04-01,40.290001,47.869999,37.880001,45.18,934400,45.18
2008-03-03,37.619999,41.049999,35.849998,39.150002,1018900,39.150002
2008-02-01,30.389999,38.939999,29.879999,37.639999,912300,37.639999
2008-01-02,35.75,35.75,28.50,30.43,804400,30.43
2007-12-03,31.60,36.439999,30.32,35.860001,341900,35.860001
2007-11-06,30.940001,34.380001,29.530001,31.75,1821100,31.75
