Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,58.59,58.60,58.44,58.47,277000,58.47
2013-03-01,58.70,58.92,58.37,58.43,216300,58.43
2013-02-01,54.03,55.95,53.41,54.12,67400,53.7974
2013-01-01,53.37,54.37,52.3602,53.67,87300,53.3501
2012-12-03,53.00,53.45,50.74,53.37,165200,53.0519
2012-11-01,40.04,53.19,37.93,52.53,311600,51.8667
2012-10-01,40.55,42.71,37.57,40.06,105600,39.5542
2012-09-03,38.13,43.28,37.29,40.21,114200,39.7023
2012-08-01,36.35,39.58,33.24,38.13,74000,37.2578
2012-07-02,35.05,37.92,33.52,36.19,82300,35.3622
2012-06-01,35.16,38.22,33.16,34.93,127900,34.131
2012-05-01,43.10,46.00,35.49,36.13,110800,34.8587
2012-04-02,46.71,48.36,41.05,43.31,104100,41.7861
2012-03-01,49.58,50.47,43.7901,47.00,190000,45.3462
2012-02-01,51.44,56.10,50.6529,54.14,187400,51.8651
2012-01-02,36.21,50.89,34.58,50.40,224500,48.2823
2011-12-01,37.50,41.23,34.77,36.21,149400,34.6885
2011-11-01,36.28,41.49,31.77,37.59,169100,36.0105
2011-10-03,28.77,41.60,25.60,38.72,174600,37.093
2011-09-01,43.48,44.35,28.86,28.90,184000,27.6857
2011-08-01,49.18,50.06,33.56,43.23,270900,41.3346
2011-07-01,50.53,56.30,45.90,47.50,177100,45.4174
2011-06-01,53.07,53.55,41.53,50.39,192200,48.1806
2011-05-02,59.63,65.04,49.32,53.40,197900,50.9917
2011-04-01,50.96,59.99,49.68,59.01,178900,56.3487
2011-03-01,30.55,51.59,29.54,50.93,297200,48.6331
2011-02-01,28.96,31.21,27.291,30.53,108400,29.1531
2011-01-03,28.71,33.71,27.81,28.65,135500,27.3579
2010-12-01,31.20,32.88,27.32,28.25,154200,26.976
2010-11-01,22.19,31.52,21.97,30.39,214700,29.0195
2010-10-01,21.60,23.41,20.58,22.11,114700,21.1129
2010-09-01,16.54,21.68,16.40,21.29,139900,20.3299
2010-08-02,15.06,17.45,14.51,16.26,134900,15.4662
2010-07-01,12.30,15.00,11.215,14.90,116100,14.1726
2010-06-01,14.23,15.20,12.1601,12.22,108600,11.6235
2010-05-03,16.29,16.43,12.95,14.32,109100,13.5533
2010-04-01,13.28,18.24,13.25,16.25,229300,15.38
2010-03-01,12.10,13.30,11.89,13.28,205300,12.569
2010-02-01,11.33,12.17,11.10,12.03,79100,11.3859
2010-01-04,11.99,12.70,11.33,11.37,138900,10.7613
2009-12-01,8.80,12.68,8.40,12.01,206700,11.367
2009-11-02,7.22,9.58,6.81,8.64,213400,8.1774
2009-10-01,7.65,8.50,6.71,7.20,127500,6.8145
2009-09-01,5.52,8.19,5.09,7.67,149600,7.2594
2009-08-03,5.26,6.25,5.05,5.58,127900,5.2813
2009-07-01,6.18,6.40,4.50,5.25,191300,4.9689
2009-06-01,5.22,7.08,5.08,6.13,217100,5.8018
2009-05-01,4.13,5.91,4.00,5.14,260200,4.8648
2009-04-01,2.50,4.75,2.37,4.15,442300,3.9278
2009-03-02,5.86,5.87,2.43,2.44,454000,2.3094
2009-02-02,7.30,9.61,5.70,5.85,142900,5.5368
2009-01-02,8.76,10.13,7.13,7.54,122100,7.1363
2008-12-01,8.00,8.99,6.33,8.75,177000,8.2815
2008-11-03,10.24,10.56,5.52,8.09,443800,7.4938
2008-10-01,24.27,24.75,9.98,10.25,267700,9.4946
2008-09-02,33.21,34.08,22.63,24.69,164500,22.8704
2008-08-01,29.62,35.10,29.25,32.77,126400,30.1572
2008-07-01,30.95,31.97,27.30,29.35,275500,27.0099
2008-06-02,31.24,37.93,30.61,31.15,274600,28.6663
2008-05-01,28.87,32.43,28.37,31.19,149700,28.5508
2008-04-01,22.54,29.31,22.2301,28.87,130900,26.4271
2008-03-03,21.17,23.28,17.68,22.14,182600,20.2666
2008-02-01,21.85,23.92,19.49,21.26,195200,19.3059
2008-01-02,24.97,25.41,19.31,21.59,86800,19.6056
2007-12-03,24.12,27.15,24.00,25.05,77500,22.7475
2007-11-01,26.02,26.04,21.96,24.30,79200,21.9199
2007-10-01,26.60,28.42,24.00,25.90,82300,23.3632
2007-09-04,26.68,29.38,25.00,26.68,77600,24.0668
2007-08-01,27.33,31.95,23.12,26.82,160900,24.0258
2007-07-02,30.13,31.72,26.2601,27.25,122200,24.411
2007-06-01,27.25,30.74,25.66,29.76,144800,26.6595
2007-05-01,30.01,32.11,27.10,28.04,114600,24.9691
2007-04-02,30.03,31.978,29.03,29.82,116700,26.5542
2007-03-01,35.50,36.35,30.00,30.10,123300,26.8035
2007-02-01,34.64,41.40,34.60,36.94,151000,32.6998
2007-01-03,32.50,35.50,31.0401,34.44,93800,30.4867
2006-12-01,30.90,33.56,29.95,32.25,89800,28.5481
2006-11-01,27.40,31.01,25.90,30.95,88200,27.2604
2006-10-02,23.90,27.32,23.80,26.88,50600,23.6756
2006-09-01,22.62,24.57,22.30,23.98,48500,21.1213
2006-08-01,24.32,25.38,22.215,22.55,66600,19.7265
2006-07-03,25.43,26.53,23.81,24.49,54200,21.4236
2006-06-01,24.98,25.98,23.20,25.42,62400,22.2372
2006-05-01,23.50,25.40,21.55,24.88,58500,21.6382
2006-04-03,22.90,24.24,22.24,23.50,37900,20.438
2006-03-01,21.40,23.13,18.79,22.95,37000,19.9597
2006-02-01,20.80,21.72,19.90,21.45,32800,18.5323
2006-01-03,18.90,21.82,18.81,20.86,41100,18.0226
2005-12-01,18.05,20.34,18.05,18.81,26700,16.2514
2005-11-01,19.13,21.25,17.34,17.99,28000,15.4451
2005-10-03,20.00,20.80,18.31,19.23,22900,16.5096
2005-09-01,18.75,20.29,17.85,20.00,29800,17.1707
2005-08-01,19.69,20.77,18.22,18.70,28200,15.9521
2005-07-01,17.87,20.32,17.12,19.68,21200,16.7881
2005-06-01,19.64,20.70,16.99,17.77,33000,15.1587
2005-05-02,19.79,21.30,17.50,19.65,35700,16.6512
2005-04-01,22.63,23.27,19.00,19.77,49300,16.7529
2005-03-01,21.53,24.20,20.85,22.63,44200,19.1764
2005-02-01,19.70,22.11,19.69,21.40,40800,18.0402
2005-01-03,21.98,22.00,18.80,19.58,72800,16.506
2004-12-01,19.86,22.15,19.70,21.81,30500,18.3858
2004-11-01,18.20,20.34,17.95,19.86,21000,16.6657
2004-10-01,17.05,18.40,16.80,18.10,17600,15.1887
2004-09-01,17.70,18.64,15.66,17.08,36100,14.3328
2004-08-02,16.81,18.53,16.50,17.70,23900,14.76
2004-07-01,17.085,17.50,15.75,16.96,19000,14.1429
2004-06-01,15.44,17.14,15.35,17.07,18300,14.2347
2004-05-03,15.10,15.85,14.84,15.54,25500,12.9033
2004-04-01,13.64,16.13,13.62,15.00,27500,12.4549
2004-03-01,14.64,15.18,12.30,13.67,27200,11.3506
2004-02-02,13.46,15.40,13.46,14.84,28800,12.2546
2004-01-02,16.15,16.80,12.66,13.56,29800,11.1976
2003-12-01,16.00,16.97,15.00,16.20,25600,13.3776
2003-11-03,14.10,16.15,13.65,16.00,24200,13.1575
2003-10-01,14.15,14.60,13.57,14.18,12300,11.6609
2003-09-02,13.79,15.16,13.37,14.10,22900,11.5951
2003-08-01,13.80,14.55,12.91,13.81,26700,11.3009
2003-07-01,10.78,14.72,10.18,13.90,25000,11.3745
2003-06-02,9.48,11.90,9.47,10.75,20900,8.7969
2003-05-01,9.07,10.55,9.00,9.45,11900,7.685
2003-04-01,8.00,9.09,7.55,9.06,11600,7.3678
2003-03-03,8.35,8.42,7.85,7.94,25000,6.457
2003-02-03,8.52,8.75,7.44,8.32,13400,6.7098
2003-01-02,7.95,9.58,7.95,8.62,17300,6.9517
2002-12-02,9.29,9.29,7.75,7.90,19700,6.3711
2002-11-01,7.38,9.45,7.36,9.30,10500,7.4355
2002-10-01,9.00,9.08,7.25,7.40,20500,5.9165
2002-09-03,9.50,9.85,8.79,9.00,13000,7.1957
2002-08-01,10.30,10.30,8.93,9.55,10200,7.577
2002-07-01,11.16,11.16,9.12,10.20,9800,8.0927
2002-06-03,10.20,11.55,9.58,11.16,15800,8.8544
2002-05-01,11.98,12.75,9.76,9.90,17800,7.8033
2002-04-01,10.40,12.08,10.29,11.98,12400,9.4428
2002-03-01,9.70,11.72,9.61,10.31,21800,8.1265
2002-02-01,8.20,10.15,8.00,9.70,31900,7.5972
2002-01-02,8.05,9.20,7.55,8.25,18900,6.4616
2001-12-03,7.40,8.48,7.40,8.00,20700,6.2658
