Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,67.00,67.790001,66.900002,67.550003,1424400,65.963638
2013-03-01,60.119999,69.410004,58.849998,67.00,748500,65.426552
2013-02-01,63.00,63.98,59.279999,61.220001,532100,59.782288
2013-01-02,54.580002,63.23,52.599998,62.580002,1118500,61.110352
2012-12-03,54.169998,56.950001,52.389999,53.400002,619200,52.043575
2012-11-01,51.799999,56.150002,50.549999,53.75,831800,52.384686
2012-10-01,48.830002,51.900002,47.57,51.759998,678700,50.445229
2012-09-04,45.889999,51.360001,45.490002,48.759998,627400,47.405807
2012-08-01,44.09,49.00,42.00,45.860001,543900,44.586353
2012-07-02,44.240002,46.290001,40.860001,43.919998,514700,42.70023
2012-06-01,42.50,44.48,40.740002,44.009998,681800,42.668957
2012-05-01,48.490002,49.91,41.93,43.66,1245300,42.32962
2012-04-02,47.25,48.860001,44.860001,48.77,859500,47.283913
2012-03-01,47.150002,51.439999,46.790001,47.279999,842000,45.720253
2012-02-01,45.810001,48.439999,43.98,46.900002,679700,45.352791
2012-01-03,44.799999,47.669998,43.169998,45.580002,875500,44.076336
2011-12-01,44.279999,45.959999,41.540001,43.959999,698500,42.41964
2011-11-01,41.59,46.139999,41.330002,44.279999,1934200,42.728428
2011-10-03,33.549999,45.50,32.34,43.110001,948100,41.599426
2011-09-01,38.93,39.25,32.599998,33.799999,893900,32.536518
2011-08-01,43.490002,43.490002,30.93,38.939999,1482100,37.484379
2011-07-01,46.82,48.299999,42.27,42.84,576900,41.238594
2011-06-01,45.75,47.490002,41.029999,46.810001,754300,45.060196
2011-05-02,44.259998,46.389999,40.349998,46.009998,1142400,44.290096
2011-04-01,46.02,47.23,42.439999,43.75,496300,42.114578
2011-03-01,44.189999,46.07,40.720001,46.02,638800,44.299725
2011-02-01,43.490002,45.52,42.029999,43.869999,550000,42.230091
2011-01-03,43.529999,43.75,40.880001,42.48,553900,40.892052
2010-12-01,40.77,44.48,39.639999,43.400002,477200,41.777664
2010-11-01,35.00,41.009998,34.889999,39.830002,706000,38.341114
2010-10-01,32.189999,35.549999,31.940001,35.18,555500,33.864933
2010-09-01,26.82,32.48,26.74,31.74,489500,30.553526
2010-08-02,30.110001,31.549999,26.209999,26.440001,408700,25.451645
2010-07-01,27.41,31.040001,26.940001,29.77,278900,28.657167
2010-06-01,30.98,32.389999,27.139999,27.50,491900,26.472021
2010-05-03,32.189999,34.290001,27.77,31.049999,912400,29.889318
2010-04-01,32.490002,34.380001,31.68,32.02,352700,30.823059
2010-03-01,28.92,32.349998,27.690001,32.34,443100,31.131098
2010-02-01,26.940001,29.50,26.360001,28.809999,318300,27.733051
2010-01-04,26.98,28.969999,25.719999,27.360001,558000,26.337255
2009-12-01,26.209999,27.76,23.01,26.719999,338900,25.721178
2009-11-02,25.190001,29.07,24.860001,25.85,233100,24.883699
2009-10-01,26.66,28.84,25.08,25.209999,304900,24.267622
2009-09-01,23.59,28.440001,22.200001,26.33,370600,25.345757
2009-08-03,22.120001,24.75,19.75,24.23,337800,23.324257
2009-07-01,21.07,22.639999,19.360001,22.08,386900,21.254627
2009-06-01,18.50,21.280001,17.57,20.82,403000,20.041727
2009-05-01,16.049999,18.889999,15.44,17.99,319600,17.317514
2009-04-01,11.98,16.540001,11.98,15.87,304200,15.276763
2009-03-02,7.51,13.05,6.95,11.45,291300,11.021987
2009-02-02,6.09,8.23,5.91,7.40,274800,7.12338
2009-01-02,8.37,9.62,6.75,7.04,325100,6.776837
2008-12-01,7.34,9.09,7.09,8.67,295000,8.345906
2008-11-03,10.29,12.92,7.44,7.83,349700,7.537306
2008-10-01,21.709999,23.00,9.75,10.18,377900,9.799461
2008-09-02,11.78,26.50,10.06,23.379999,509700,22.506031
2008-08-01,9.88,12.67,9.63,11.52,40300,22.004932
2008-07-01,9.73,10.83,8.60,10.23,43100,19.540836
2008-06-02,12.25,12.75,9.74,9.96,37600,19.025097
2008-05-01,13.28,15.81,12.18,12.43,60000,23.743168
2008-04-01,12.32,13.85,11.37,13.85,34400,25.196552
2008-03-03,11.90,13.16,9.95,12.33,40500,22.431297
2008-02-01,13.73,14.44,11.88,12.17,48800,22.140219
2008-01-02,13.90,15.00,10.53,13.85,97600,25.196552
2007-12-03,13.14,14.84,12.73,14.10,30100,25.651363
2007-11-01,18.83,18.940001,11.60,12.90,50700,23.468267
2007-10-01,17.49,19.66,17.23,18.950001,12400,34.474705
2007-09-04,19.120001,19.389999,16.459999,17.290001,16400,31.454758
2007-08-01,20.120001,23.50,18.48,19.219999,15900,34.770058
2007-07-02,20.870001,22.50,19.709999,19.940001,33100,36.072578
2007-06-01,23.35,23.469999,20.52,21.18,7600,38.315807
2007-05-01,25.389999,25.85,22.33,22.66,9700,40.99321
2007-04-02,25.209999,25.540001,24.049999,24.889999,7100,43.803436
2007-03-01,22.85,25.049999,22.02,25.049999,5700,44.085014
2007-02-01,24.18,24.799999,21.450001,23.23,5300,40.882034
2007-01-03,23.98,24.50,23.33,23.92,6600,42.096352
2006-12-01,23.41,23.91,22.870001,23.50,4900,41.357201
2006-11-01,22.610001,24.49,22.450001,23.309999,7800,41.022823
2006-10-02,20.73,23.299999,20.549999,23.02,5800,40.512459
2006-09-01,20.76,21.200001,19.68,20.77,4800,36.552727
2006-08-01,18.969999,22.370001,18.60,20.280001,8400,35.542702
2006-07-03,17.52,19.25,17.120001,18.90,2300,33.124115
2006-06-01,17.58,18.549999,17.00,17.77,6900,31.143679
2006-05-01,19.35,19.99,17.60,17.639999,20800,30.915838
2006-04-03,18.99,19.700001,18.83,19.26,4100,32.813522
2006-03-01,18.10,19.370001,17.459999,18.98,5900,32.336479
2006-02-01,18.23,18.35,17.42,18.139999,5000,30.905361
2006-01-03,19.10,20.15,17.85,18.200001,9200,31.007586
2005-12-01,18.09,19.35,17.60,18.690001,7000,31.842405
2005-11-01,18.040001,18.290001,16.85,18.02,6700,30.700916
2005-10-03,18.190001,18.35,16.549999,18.09,7400,30.820175
2005-09-01,19.82,20.120001,18.07,18.280001,8200,31.013899
2005-08-01,20.77,21.110001,19.610001,19.870001,6700,33.711498
2005-07-01,19.780001,20.75,19.049999,20.639999,3900,35.017879
2005-06-01,19.049999,19.90,18.99,19.66,6800,33.355209
2005-05-02,19.700001,19.76,18.07,19.040001,24800,31.512585
2005-04-01,20.82,21.969999,19.10,19.629999,7400,32.489075
2005-03-01,21.93,22.01,20.709999,20.83,5400,34.475163
2005-02-01,21.280001,22.23,21.200001,22.00,6200,36.411598
2005-01-03,21.67,21.67,20.450001,21.280001,9100,35.219948
2004-12-01,20.299999,21.82,20.280001,21.67,9100,35.865425
2004-11-01,19.540001,20.77,19.52,20.469999,6300,33.879337
2004-10-01,62.059994,64.450005,19.139999,19.41,3200,32.124962
2004-09-01,55.849995,63.490005,55.729996,62.189999,4000,34.197323
2004-08-02,60.00,61.290001,55.800003,55.900005,2500,30.738552
2004-07-01,63.580002,64.579994,58.000008,60.899998,3200,33.487972
2004-06-01,64.669998,68.299995,60.00,64.300003,7700,35.357582
2004-05-03,64.000008,66.100006,57.199997,64.669998,5800,35.374687
2004-04-01,61.990005,65.749992,60.499992,63.75,3600,34.871445
2004-03-01,58.249992,61.999992,56.020004,61.999992,10400,33.914185
2004-02-02,53.080002,58.999992,52.450005,56.209999,4200,30.747042
2004-01-02,54.689999,58.000008,52.000008,52.350002,2800,28.635612
2003-12-01,53.479996,56.950005,51.019993,55.949997,4500,30.60482
2003-11-03,53.230007,57.499992,52.279991,52.549995,2600,28.745008
2003-10-01,52.300003,59.340004,51.409996,52.969997,2400,28.974751
2003-09-02,51.00,57.00,50.749992,53.329994,3800,29.08728
2003-08-01,49.000008,53.100002,47.269997,52.240005,1400,28.492779
2003-07-01,45.499996,50.500008,44.099998,47.500004,1600,25.907484
2003-06-02,41.880001,48.100006,40.510006,44.410004,8600,24.222134
2003-05-01,40.000004,43.470001,39.049995,41.500004,4000,22.129824
2003-04-01,34.849995,40.330002,34.849995,40.249996,1100,21.463257
2003-03-03,36.119999,36.119999,31.600004,34.849995,900,18.583714
2003-02-03,35.869995,37.170002,34.159996,35.119995,3800,18.727692
2003-01-02,33.979996,39.48,31.309994,36.949993,10400,19.703537
2002-12-02,42.400005,43.009995,29.800007,32.500004,6800,17.330585
2002-11-01,40.999996,42.499996,36.540001,41.400002,1600,22.076496
2002-10-01,39.550007,44.029995,35.500004,41.849998,2800,22.316458
2002-09-03,41.380005,43.750004,37.199997,39.679993,1200,21.067137
2002-08-01,36.989998,42.00,34.999996,41.500004,2700,22.033428
2002-07-01,44.509995,45.989998,34.249996,37.50,5100,19.909721
2002-06-03,52.999992,53.539993,44.170006,44.170006,3400,23.451
2002-05-01,51.940006,54.76001,50.149994,52.999992,4700,27.761707
2002-04-01,50.950005,57.330002,49.249992,50.699997,4600,26.556957
2002-03-01,46.050003,50.890007,46.000004,50.890007,5600,26.656483
2002-02-01,43.069992,46.090004,41.699997,45.00,6700,23.571264
2002-01-02,40.999996,47.25,40.999996,43.999996,5000,23.047455
2001-12-03,37.000004,40.999996,37.000004,40.50,5800,21.214138
2001-11-01,25.750004,37.999996,25.750004,37.999996,2500,19.904619
2001-10-01,27.00,30.75,24.75,26.500004,2100,13.880857
2001-09-04,33.420002,33.420002,23.52,28.000004,4100,14.590858
2001-08-01,35.449993,36.00,31.23,33.420002,10600,17.41523
2001-07-02,35.950005,36.869999,31.009995,32.500004,2900,16.935818
2001-06-01,33.079994,37.999996,31.50,37.699993,6300,19.645542
2001-05-01,30.559994,33.559994,30.00,31.999996,1400,16.010319
2001-04-02,29.625,31.999996,27.229996,30.559994,1500,15.289854
2001-03-01,33.00,34.437496,25.50,29.500004,7400,14.759518
2001-02-01,27.874996,33.00,27.874996,31.999996,1500,16.010319
2001-01-02,22.000004,30.499996,22.000004,27.874996,8300,13.946488
2000-12-01,23.500004,24.375,22.249996,22.249996,1200,11.132174
2000-11-01,25.624996,25.624996,23.875004,23.875004,500,11.945203
2000-10-02,24.250004,24.75,22.624996,24.250004,4100,12.132824
2000-09-01,23.500004,25.50,23.500004,23.500004,6600,11.691638
2000-08-01,24.00,25.000004,22.875,23.500004,2600,11.691638
2000-07-03,24.250004,26.25,24.00,24.00,1300,11.940393
2000-06-01,23.625,26.25,23.625,24.250004,400,12.064775
2000-05-01,28.000004,28.000004,22.000004,24.00,400,11.621981
2000-04-03,25.125,26.25,22.999996,26.25,1700,12.711541
2000-03-01,23.25,29.4375,21.00,25.125,4100,12.166761
2000-02-01,26.749996,29.25,22.875,23.625,4700,11.440387
2000-01-03,32.374996,34.50,27.00,27.00,2000,13.074728
